Milwaukee County, Wisconsin, Average Temperature
201209,61.5,-0.3
201210,48.8,-1.9
201211,38.3,1.7
201212,33.2,8.5
201301,23.7,4.0
201302,22.6,-0.1
201303,29.2,-3.8
201304,42.9,-1.8
201305,56.8,1.2
201306,65.0,-0.7
201307,70.5,-0.9
201308,69.6,0.0
201309,62.9,1.1
201310,50.6,-0.1
201311,35.9,-0.7
201312,20.3,-4.4
201401,12.7,-7.0
201402,14.8,-7.9
201403,27.0,-6.0
201404,43.6,-1.1
201405,56.2,0.6
201406,65.5,-0.2
201407,67.1,-4.3
201408,69.2,-0.4
201409,60.9,-0.9
201410,50.1,-0.6
201411,31.4,-5.2
201412,30.8,6.1
201501,21.2,1.5
201502,13.6,-9.1
201503,33.2,0.2
201504,45.6,0.9
201505,56.7,1.1
201506,63.4,-2.3
201507,69.0,-2.4
201508,68.8,-0.8
201509,66.9,5.1
201510,53.0,2.3
201511,43.7,7.1
201512,37.4,12.7
201601,22.4,2.7
201602,28.3,5.6
201603,39.4,6.4
201604,43.4,-1.3
201605,56.7,1.1
201606,67.8,2.1
201607,73.0,1.6
201608,73.4,3.8
201609,66.9,5.1
201610,54.6,3.9
201611,45.7,9.1
201612,24.8,0.1
201701,26.9,7.2
201702,34.1,11.4
201703,34.9,1.9
201704,49.6,4.9
201705,54.0,-1.6
201706,68.0,2.3
201707,70.6,-0.8
201708,67.8,-1.8
201709,65.4,3.6
201710,55.5,4.8
201711,37.3,0.7
201712,24.6,-0.1
201801,22.7,3.0
201802,25.2,2.5
201803,33.7,0.7
201804,37.0,-7.7
201805,61.3,5.7
201806,65.7,0.0
201807,72.0,0.6
201808,72.0,2.4
201809,64.6,2.8
201810,49.6,-1.1
201811,33.1,-3.5
201812,30.6,5.9
201901,20.3,0.6
201902,22.4,-0.3
201903,31.4,-1.6
201904,45.9,1.2
201905,53.8,-1.8
201906,63.6,-2.1
201907,74.1,2.7
201908,69.7,0.1
201909,66.2,4.4
201910,48.7,-2.0
201911,32.6,-4.0
201912,32.3,7.6
202001,28.8,9.1
