Hillsborough County, Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,60.7,0.8
200002,62.3,1.0
200003,69.6,4.1
200004,70.1,-0.2
200005,78.1,2.3
200006,81.2,1.4
200007,81.5,0.6
200008,81.7,0.6
200009,81.0,1.2
200010,72.6,-1.2
200011,65.2,-0.9
200012,59.8,-1.1
200101,55.0,-4.9
200102,67.7,6.4
200103,65.8,0.3
200104,71.7,1.4
200105,75.8,0.0
200106,81.0,1.2
200107,81.2,0.3
200108,82.0,0.9
200109,78.8,-1.0
200110,73.8,0.0
200111,69.4,3.3
200112,67.1,6.2
200201,61.6,1.7
200202,61.5,0.2
200203,68.8,3.3
200204,74.7,4.4
200205,78.1,2.3
200206,80.3,0.5
200207,81.7,0.8
200208,81.4,0.3
200209,81.9,2.1
200210,78.0,4.2
200211,65.2,-0.9
200212,59.5,-1.4
200301,54.5,-5.4
200302,63.4,2.1
200303,71.4,5.9
200304,71.0,0.7
200305,79.1,3.3
200306,80.5,0.7
200307,82.1,1.2
200308,81.2,0.1
200309,80.1,0.3
200310,75.5,1.7
200311,70.7,4.6
200312,59.2,-1.7
200401,59.0,-0.9
200402,62.6,1.3
200403,66.8,1.3
200404,68.8,-1.5
200405,77.1,1.3
200406,82.2,2.4
200407,82.0,1.1
200408,81.7,0.6
200409,80.5,0.7
200410,75.6,1.8
200411,69.1,3.0
200412,60.1,-0.8
200501,61.8,1.9
200502,63.0,1.7
200503,64.8,-0.7
200504,68.2,-2.1
200505,76.0,0.2
200506,80.1,0.3
200507,83.6,2.7
200508,84.0,2.9
200509,81.5,1.7
200510,75.1,1.3
200511,69.3,3.2
200512,58.9,-2.0
200601,62.4,2.5
200602,60.4,-0.9
200603,66.8,1.3
200604,73.0,2.7
200605,76.4,0.6
200606,81.1,1.3
200607,82.2,1.3
200608,82.8,1.7
200609,80.6,0.8
200610,74.3,0.5
200611,65.7,-0.4
200612,66.9,6.0
200701,63.8,3.9
200702,59.9,-1.4
200703,67.8,2.3
200704,69.9,-0.4
200705,76.0,0.2
200706,80.2,0.4
200707,82.5,1.6
200708,83.9,2.8
200709,81.5,1.7
200710,78.1,4.3
200711,67.4,1.3
200712,67.2,6.3
200801,61.4,1.5
200802,65.7,4.4
200803,67.1,1.6
200804,71.1,0.8
200805,77.8,2.0
200806,81.3,1.5
200807,80.9,0.0
200808,81.4,0.3
200809,80.9,1.1
200810,73.6,-0.2
200811,63.4,-2.7
200812,64.0,3.1
200901,59.3,-0.6
200902,59.7,-1.6
200903,67.3,1.8
200904,71.9,1.6
200905,77.6,1.8
200906,82.0,2.2
200907,82.2,1.3
200908,82.8,1.7
200909,81.7,1.9
200910,77.3,3.5
200911,68.3,2.2
200912,62.9,2.0
201001,54.3,-5.6
201002,54.6,-6.7
201003,60.2,-5.3
201004,71.4,1.1
201005,79.7,3.9
201006,83.8,4.0
201007,83.6,2.7
201008,83.5,2.4
201009,81.8,2.0
201010,74.0,0.2
201011,67.4,1.3
201012,51.9,-9.0
201101,58.1,-1.8
201102,64.2,2.9
201103,68.3,2.8
201104,74.7,4.4
201105,77.2,1.4
201106,81.9,2.1
201107,82.8,1.9
201108,83.6,2.5
201109,81.1,1.3
201110,72.0,-1.8
201111,68.5,2.4
201112,65.3,4.4
201201,61.0,1.1
201202,67.0,5.7
201203,71.9,6.4
201204,72.7,2.4
201205,79.0,3.2
201206,79.9,0.1
201207,82.6,1.7
201208,82.4,1.3
201209,80.7,0.9
201210,75.2,1.4
201211,64.4,-1.7
201212,64.5,3.6
201301,66.1,6.2
201302,64.6,3.3
201303,60.8,-4.7
201304,74.0,3.7
201305,75.5,-0.3
201306,81.5,1.7
201307,81.7,0.8
201308,83.2,2.1
201309,80.8,1.0
201310,76.2,2.4
201311,69.8,3.7
201312,67.4,6.5
201401,57.2,-2.7
201402,64.8,3.5
201403,65.6,0.1
201404,71.7,1.4
201405,77.4,1.6
201406,81.3,1.5
201407,82.3,1.4
201408,83.1,2.0
201409,80.5,0.7
201410,74.4,0.6
201411,63.4,-2.7
201412,63.9,3.0
201501,61.1,1.2
201502,59.0,-2.3
201503,71.7,6.2
201504,76.8,6.5
201505,78.9,3.1
201506,82.2,2.4
201507,82.4,1.5
201508,82.6,1.5
201509,81.6,1.8
201510,76.4,2.6
201511,74.5,8.4
201512,72.1,11.2
201601,59.2,-0.7
201602,61.0,-0.3
201603,70.4,4.9
201604,72.6,2.3
201605,77.3,1.5
201606,82.2,2.4
201607,84.3,3.4
201608,82.9,1.8
201609,82.1,2.3
201610,75.7,1.9
201611,68.1,2.0
201612,68.3,7.4
201701,64.0,4.1
201702,66.8,5.5
201703,67.5,2.0
201704,73.8,3.5
201705,78.8,3.0
201706,81.0,1.2
201707,83.2,2.3
201708,83.5,2.4
201709,81.8,2.0
201710,76.2,2.4
201711,69.3,3.2
201712,65.0,4.1
201801,57.3,-2.6
201802,71.9,10.6
201803,64.4,-1.1
201804,72.8,2.5
201805,77.0,1.2
201806,82.4,2.6
201807,83.0,2.1
201808,83.1,2.0
201809,83.8,4.0
201810,78.8,5.0
201811,69.8,3.7
201812,64.0,3.1
201901,60.1,0.2
201902,69.8,8.5
201903,67.8,2.3
201904,73.4,3.1
201905,80.2,4.4
201906,83.1,3.3
201907,82.8,1.9
201908,83.3,2.2
201909,82.5,2.7
201910,79.9,6.1
201911,68.1,2.0
201912,66.2,5.3
202001,64.1,4.2
