Scotts Bluff County, Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.6,5.8
200002,36.2,7.4
200003,40.0,4.3
200004,47.2,1.6
200005,59.0,3.5
200006,66.2,0.8
200007,75.3,3.0
200008,74.8,4.8
200009,61.8,1.6
200010,49.4,1.0
200011,26.6,-8.5
200012,24.4,-2.3
200101,29.0,4.2
200102,26.4,-2.4
200103,38.0,2.3
200104,47.4,1.8
200105,56.4,0.9
200106,67.0,1.6
200107,76.2,3.9
200108,72.6,2.6
200109,63.8,3.6
200110,48.4,0.0
200111,39.0,3.9
200112,29.9,3.2
200201,29.5,4.7
200202,31.3,2.5
200203,29.9,-5.8
200204,48.1,2.5
200205,54.9,-0.6
200206,71.8,6.4
200207,76.9,4.6
200208,70.0,0.0
200209,61.4,1.2
200210,42.0,-6.4
200211,35.4,0.3
200212,32.0,5.3
200301,32.6,7.8
200302,26.1,-2.7
200303,38.0,2.3
200304,49.2,3.6
200305,56.8,1.3
200306,63.1,-2.3
200307,77.0,4.7
200308,73.8,3.8
200309,58.5,-1.7
200310,52.1,3.7
200311,33.7,-1.4
200312,29.9,3.2
200401,29.2,4.4
200402,30.9,2.1
200403,42.8,7.1
200404,47.7,2.1
200405,57.7,2.2
200406,63.3,-2.1
200407,70.9,-1.4
200408,67.2,-2.8
200409,61.7,1.5
200410,50.2,1.8
200411,35.2,0.1
200412,31.8,5.1
200501,29.6,4.8
200502,34.8,6.0
200503,39.2,3.5
200504,45.8,0.2
200505,54.7,-0.8
200506,65.9,0.5
200507,74.6,2.3
200508,68.8,-1.2
200509,63.7,3.5
200510,49.6,1.2
200511,40.6,5.5
200512,27.4,0.7
200601,35.7,10.9
200602,27.3,-1.5
200603,35.3,-0.4
200604,50.5,4.9
200605,58.3,2.8
200606,70.8,5.4
200607,76.6,4.3
200608,71.9,1.9
200609,56.2,-4.0
200610,46.3,-2.1
200611,36.9,1.8
200612,29.4,2.7
200701,22.6,-2.2
200702,27.9,-0.9
200703,44.1,8.4
200704,45.0,-0.6
200705,58.7,3.2
200706,69.0,3.6
200707,77.1,4.8
200708,74.6,4.6
200709,63.5,3.3
200710,51.4,3.0
200711,39.7,4.6
200712,21.8,-4.9
200801,21.4,-3.4
200802,29.6,0.8
200803,37.7,2.0
200804,44.6,-1.0
200805,54.3,-1.2
200806,64.9,-0.5
200807,74.8,2.5
200808,70.2,0.2
200809,59.2,-1.0
200810,48.2,-0.2
200811,40.5,5.4
200812,24.1,-2.6
200901,29.7,4.9
200902,34.2,5.4
200903,38.6,2.9
200904,44.1,-1.5
200905,57.6,2.1
200906,64.5,-0.9
200907,70.0,-2.3
200908,68.2,-1.8
200909,61.6,1.4
200910,39.7,-8.7
200911,40.3,5.2
200912,19.0,-7.7
201001,28.1,3.3
201002,25.8,-3.0
201003,39.5,3.8
201004,47.3,1.7
201005,53.2,-2.3
201006,66.8,1.4
201007,73.0,0.7
201008,72.9,2.9
201009,62.7,2.5
201010,52.6,4.2
201011,34.6,-0.5
201012,30.7,4.0
201101,26.6,1.8
201102,24.8,-4.0
201103,39.4,3.7
201104,45.6,0.0
201105,51.6,-3.9
201106,65.8,0.4
201107,76.0,3.7
201108,74.6,4.6
201109,61.7,1.5
201110,50.1,1.7
201111,37.0,1.9
201112,26.4,-0.3
201201,30.9,6.1
201202,29.2,0.4
201203,48.0,12.3
201204,52.4,6.8
201205,59.2,3.7
201206,73.5,8.1
201207,77.9,5.6
201208,72.7,2.7
201209,63.7,3.5
201210,47.1,-1.3
201211,41.0,5.9
201212,28.5,1.8
201301,27.8,3.0
201302,29.8,1.0
201303,37.7,2.0
201304,40.2,-5.4
201305,57.5,2.0
201306,69.0,3.6
201307,73.4,1.1
201308,73.8,3.8
201309,65.9,5.7
201310,45.5,-2.9
201311,36.4,1.3
201312,25.5,-1.2
201401,30.0,5.2
201402,20.4,-8.4
201403,37.7,2.0
201404,47.0,1.4
201405,55.9,0.4
201406,64.7,-0.7
201407,72.3,0.0
201408,70.6,0.6
201409,62.2,2.0
201410,52.4,4.0
201411,32.0,-3.1
201412,26.7,0.0
201501,28.0,3.2
201502,32.7,3.9
201503,43.9,8.2
201504,48.0,2.4
201505,52.2,-3.3
201506,69.5,4.1
201507,71.4,-0.9
201508,70.7,0.7
201509,66.2,6.0
201510,53.3,4.9
201511,35.6,0.5
201512,26.6,-0.1
201601,27.6,2.8
201602,36.7,7.9
201603,41.3,5.6
201604,47.2,1.6
201605,54.2,-1.3
201606,71.9,6.5
201607,74.2,1.9
201608,69.3,-0.7
201609,62.5,2.3
201610,53.9,5.5
201611,42.6,7.5
201612,22.8,-3.9
201701,24.8,0.0
201702,35.3,6.5
201703,44.3,8.6
201704,47.9,2.3
201705,54.6,-0.9
201706,68.0,2.6
201707,76.3,4.0
201708,69.2,-0.8
201709,62.3,2.1
201710,47.3,-1.1
201711,41.9,6.8
201712,27.1,0.4
201801,27.3,2.5
201802,25.4,-3.4
201803,39.6,3.9
201804,43.8,-1.8
201805,59.8,4.3
201806,69.3,3.9
201807,73.4,1.1
201808,69.3,-0.7
201809,63.9,3.7
201810,46.0,-2.4
201811,34.8,-0.3
201812,29.9,3.2
201901,30.0,5.2
201902,22.1,-6.7
201903,31.1,-4.6
201904,47.5,1.9
201905,49.6,-5.9
201906,64.5,-0.9
201907,73.2,0.9
201908,71.3,1.3
201909,65.3,5.1
201910,40.7,-7.7
201911,34.6,-0.5
201912,31.0,4.3
202001,32.1,7.3
