Laramie County, Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.1,5.4
200002,34.6,7.5
200003,37.0,4.6
200004,44.9,3.7
200005,55.0,4.4
200006,61.9,1.5
200007,71.2,3.8
200008,70.4,4.8
200009,58.2,1.7
200010,46.4,0.7
200011,25.1,-8.1
200012,24.5,-1.8
200101,27.0,2.3
200102,25.8,-1.3
200103,35.0,2.6
200104,43.8,2.6
200105,52.3,1.7
200106,63.3,2.9
200107,71.4,4.0
200108,68.4,2.8
200109,60.5,4.0
200110,46.6,0.9
200111,38.4,5.2
200112,28.7,2.4
200201,27.1,2.4
200202,28.6,1.5
200203,29.0,-3.4
200204,45.0,3.8
200205,50.9,0.3
200206,66.7,6.3
200207,72.6,5.2
200208,66.3,0.7
200209,58.8,2.3
200210,39.8,-5.9
200211,33.3,0.1
200212,31.3,5.0
200301,34.0,9.3
200302,25.0,-2.1
200303,36.1,3.7
200304,45.4,4.2
200305,52.6,2.0
200306,57.9,-2.5
200307,73.3,5.9
200308,69.4,3.8
200309,55.7,-0.8
200310,50.6,4.9
200311,32.1,-1.1
200312,29.9,3.6
200401,29.7,5.0
200402,27.7,0.6
200403,40.7,8.3
200404,44.2,3.0
200405,53.9,3.3
200406,59.4,-1.0
200407,66.5,-0.9
200408,63.5,-2.1
200409,58.1,1.6
200410,46.8,1.1
200411,33.6,0.4
200412,30.6,4.3
200501,31.0,6.3
200502,31.9,4.8
200503,35.8,3.4
200504,42.4,1.2
200505,51.2,0.6
200506,60.7,0.3
200507,70.8,3.4
200508,65.4,-0.2
200509,60.6,4.1
200510,47.9,2.2
200511,38.4,5.2
200512,26.7,0.4
200601,34.0,9.3
200602,25.9,-1.2
200603,32.4,0.0
200604,46.8,5.6
200605,53.9,3.3
200606,66.6,6.2
200607,71.8,4.4
200608,67.5,1.9
200609,53.3,-3.2
200610,44.3,-1.4
200611,36.2,3.0
200612,28.6,2.3
200701,21.3,-3.4
200702,28.9,1.8
200703,41.2,8.8
200704,42.0,0.8
200705,53.4,2.8
200706,63.7,3.3
200707,72.0,4.6
200708,70.0,4.4
200709,59.0,2.5
200710,48.7,3.0
200711,36.9,3.7
200712,22.5,-3.8
200801,22.6,-2.1
200802,28.7,1.6
200803,34.3,1.9
200804,40.0,-1.2
200805,50.3,-0.3
200806,60.5,0.1
200807,70.8,3.4
200808,65.8,0.2
200809,55.8,-0.7
200810,46.3,0.6
200811,39.3,6.1
200812,24.5,-1.8
200901,29.2,4.5
200902,32.7,5.6
200903,36.0,3.6
200904,40.2,-1.0
200905,53.2,2.6
200906,59.2,-1.2
200907,65.7,-1.7
200908,64.5,-1.1
200909,58.2,1.7
200910,37.4,-8.3
200911,37.8,4.6
200912,20.0,-6.3
201001,28.2,3.5
201002,24.1,-3.0
201003,36.1,3.7
201004,42.4,1.2
201005,48.5,-2.1
201006,61.9,1.5
201007,68.3,0.9
201008,68.2,2.6
201009,60.4,3.9
201010,49.7,4.0
201011,32.9,-0.3
201012,30.6,4.3
201101,26.6,1.9
201102,23.3,-3.8
201103,37.5,5.1
201104,41.8,0.6
201105,46.8,-3.8
201106,61.1,0.7
201107,71.2,3.8
201108,70.7,5.1
201109,58.8,2.3
201110,46.9,1.2
201111,34.9,1.7
201112,25.4,-0.9
201201,31.7,7.0
201202,25.5,-1.6
201203,44.3,11.9
201204,48.6,7.4
201205,54.8,4.2
201206,68.1,7.7
201207,72.6,5.2
201208,69.3,3.7
201209,60.7,4.2
201210,44.6,-1.1
201211,39.9,6.7
201212,27.4,1.1
201301,27.1,2.4
201302,26.1,-1.0
201303,34.2,1.8
201304,36.2,-5.0
201305,52.3,1.7
201306,65.1,4.7
201307,69.2,1.8
201308,69.1,3.5
201309,61.4,4.9
201310,42.7,-3.0
201311,35.6,2.4
201312,25.3,-1.0
201401,28.3,3.6
201402,22.6,-4.5
201403,36.0,3.6
201404,43.4,2.2
201405,51.7,1.1
201406,60.4,0.0
201407,68.2,0.8
201408,65.8,0.2
201409,59.2,2.7
201410,50.1,4.4
201411,31.7,-1.5
201412,28.6,2.3
201501,30.7,6.0
201502,31.4,4.3
201503,41.3,8.9
201504,43.8,2.6
201505,48.3,-2.3
201506,65.2,4.8
201507,67.1,-0.3
201508,67.1,1.5
201509,63.2,6.7
201510,51.8,6.1
201511,33.6,0.4
201512,26.8,0.5
201601,28.1,3.4
201602,34.7,7.6
201603,37.6,5.2
201604,43.4,2.2
201605,49.6,-1.0
201606,66.4,6.0
201607,70.8,3.4
201608,65.7,0.1
201609,59.5,3.0
201610,51.9,6.2
201611,41.0,7.8
201612,24.4,-1.9
201701,25.2,0.5
201702,34.1,7.0
201703,42.6,10.2
201704,43.9,2.7
201705,50.5,-0.1
201706,63.2,2.8
201707,71.2,3.8
201708,65.6,0.0
201709,58.9,2.4
201710,45.1,-0.6
201711,40.8,7.6
201712,29.4,3.1
201801,30.6,5.9
201802,25.2,-1.9
201803,37.1,4.7
201804,42.2,1.0
201805,55.3,4.7
201806,65.0,4.6
201807,69.2,1.8
201808,65.7,0.1
201809,61.1,4.6
201810,43.9,-1.8
201811,32.7,-0.5
201812,28.2,1.9
201901,29.3,4.6
201902,24.4,-2.7
201903,29.9,-2.5
201904,43.9,2.7
201905,46.1,-4.5
201906,59.1,-1.3
201907,69.2,1.8
201908,68.3,2.7
201909,62.0,5.5
201910,38.4,-7.3
201911,33.0,-0.2
201912,29.4,3.1
202001,31.0,6.3
