Hawkins County, Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,35.0,-1.6
200002,44.2,4.8
200003,51.3,4.2
200004,54.1,-1.9
200005,67.5,2.7
200006,73.1,0.7
200007,74.7,-1.0
200008,74.0,-0.6
200009,68.9,-0.3
200010,59.0,1.3
200011,45.8,-0.5
200012,31.0,-7.2
200101,34.0,-2.6
200102,44.5,5.1
200103,43.7,-3.4
200104,58.2,2.2
200105,65.5,0.7
200106,70.9,-1.5
200107,74.2,-1.5
200108,75.2,0.6
200109,65.6,-3.6
200110,55.0,-2.7
200111,51.7,5.4
200112,43.6,5.4
200201,38.6,2.0
200202,40.3,0.9
200203,48.6,1.5
200204,59.5,3.5
200205,62.6,-2.2
200206,74.1,1.7
200207,77.2,1.5
200208,76.8,2.2
200209,72.1,2.9
200210,61.4,3.7
200211,44.5,-1.8
200212,38.5,0.3
200301,31.7,-4.9
200302,38.7,-0.7
200303,52.1,5.0
200304,58.0,2.0
200305,65.3,0.5
200306,69.8,-2.6
200307,74.5,-1.2
200308,75.7,1.1
200309,67.7,-1.5
200310,57.0,-0.7
200311,51.6,5.3
200312,37.0,-1.2
200401,35.0,-1.6
200402,39.1,-0.3
200403,51.2,4.1
200404,56.1,0.1
200405,68.6,3.8
200406,72.0,-0.4
200407,74.8,-0.9
200408,72.2,-2.4
200409,68.9,-0.3
200410,61.6,3.9
200411,51.7,5.4
200412,37.6,-0.6
200501,40.6,4.0
200502,42.1,2.7
200503,45.0,-2.1
200504,56.5,0.5
200505,61.2,-3.6
200506,72.8,0.4
200507,76.8,1.1
200508,77.3,2.7
200509,71.8,2.6
200510,59.5,1.8
200511,48.9,2.6
200512,34.9,-3.3
200601,43.4,6.8
200602,37.9,-1.5
200603,47.5,0.4
200604,60.5,4.5
200605,62.4,-2.4
200606,71.1,-1.3
200607,76.2,0.5
200608,77.7,3.1
200609,65.6,-3.6
200610,54.7,-3.0
200611,47.9,1.6
200612,42.4,4.2
200701,39.1,2.5
200702,34.4,-5.0
200703,53.4,6.3
200704,53.8,-2.2
200705,66.5,1.7
200706,73.5,1.1
200707,73.8,-1.9
200708,79.4,4.8
200709,72.2,3.0
200710,63.5,5.8
200711,46.6,0.3
200712,43.1,4.9
200801,35.0,-1.6
200802,41.4,2.0
200803,47.0,-0.1
200804,57.0,1.0
200805,62.7,-2.1
200806,73.9,1.5
200807,74.2,-1.5
200808,74.2,-0.4
200809,70.5,1.3
200810,56.2,-1.5
200811,44.3,-2.0
200812,40.8,2.6
200901,34.7,-1.9
200902,39.4,0.0
200903,49.8,2.7
200904,56.6,0.6
200905,65.2,0.4
200906,73.2,0.8
200907,71.9,-3.8
200908,74.1,-0.5
200909,69.2,0.0
200910,56.0,-1.7
200911,49.9,3.6
200912,37.4,-0.8
201001,32.8,-3.8
201002,33.1,-6.3
201003,45.6,-1.5
201004,59.5,3.5
201005,67.7,2.9
201006,75.9,3.5
201007,77.9,2.2
201008,77.8,3.2
201009,70.3,1.1
201010,57.3,-0.4
201011,48.4,2.1
201012,30.0,-8.2
201101,32.8,-3.8
201102,42.6,3.2
201103,49.6,2.5
201104,59.6,3.6
201105,64.6,-0.2
201106,73.7,1.3
201107,77.8,2.1
201108,75.8,1.2
201109,68.4,-0.8
201110,56.0,-1.7
201111,49.5,3.2
201112,42.9,4.7
201201,40.2,3.6
201202,43.2,3.8
201203,57.4,10.3
201204,58.2,2.2
201205,68.6,3.8
201206,72.3,-0.1
201207,77.9,2.2
