Buffalo County, Nebraska, Average Temperature
201209,64.5,0.4
201210,48.7,-3.1
201211,40.0,3.3
201212,27.6,2.1
201301,25.6,3.3
201302,29.8,2.6
201303,35.5,-1.2
201304,44.5,-4.3
201305,59.6,0.0
201306,70.2,0.5
201307,73.7,-1.9
201308,74.8,1.4
201309,69.4,5.3
201310,51.4,-0.4
201311,36.8,0.1
201312,24.7,-0.8
201401,25.9,3.6
201402,22.6,-4.6
201403,35.9,-0.8
201404,49.7,0.9
201405,59.5,-0.1
201406,70.2,0.5
201407,71.8,-3.8
201408,73.5,0.1
201409,63.3,-0.8
201410,53.9,2.1
201411,33.9,-2.8
201412,29.0,3.5
201501,28.2,5.9
201502,26.3,-0.9
201503,43.5,6.8
201504,51.6,2.8
201505,57.7,-1.9
201506,70.1,0.4
201507,74.6,-1.0
201508,71.4,-2.0
201509,70.7,6.6
201510,55.5,3.7
201511,42.1,5.4
201512,32.2,6.7
201601,28.0,5.7
201602,35.6,8.4
201603,44.8,8.1
201604,51.9,3.1
201605,58.2,-1.4
201606,74.2,4.5
201607,75.2,-0.4
201608,73.5,0.1
201609,66.5,2.4
201610,56.3,4.5
201611,45.7,9.0
201612,25.8,0.3
201701,27.1,4.8
201702,37.6,10.4
201703,42.9,6.2
201704,51.2,2.4
201705,57.9,-1.7
201706,72.8,3.1
201707,76.6,1.0
201708,69.6,-3.8
201709,66.8,2.7
201710,52.8,1.0
201711,40.1,3.4
201712,27.5,2.0
201801,22.4,0.1
201802,22.5,-4.7
201803,40.1,3.4
201804,41.7,-7.1
201805,64.4,4.8
201806,74.4,4.7
201807,73.8,-1.8
201808,71.6,-1.8
201809,67.1,3.0
201810,48.1,-3.7
201811,34.6,-2.1
201812,28.4,2.9
201901,26.5,4.2
201902,17.9,-9.3
201903,33.2,-3.5
201904,50.8,2.0
201905,55.2,-4.4
201906,68.7,-1.0
201907,75.2,-0.4
201908,72.2,-1.2
201909,69.7,5.6
201910,46.2,-5.6
201911,36.4,-0.3
201912,31.4,5.9
202001,27.3,5.0
