Petersburg Borough, Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,21.9,0.1
200002,26.8,2.7
200003,31.1,2.8
200004,34.3,0.1
200005,41.0,-0.1
200006,47.6,0.1
200007,49.4,-0.1
200008,49.6,-0.3
200009,44.4,-0.3
200010,36.9,-0.1
200011,31.2,3.4
200012,25.1,1.3
200101,31.2,9.4
200102,23.5,-0.6
200103,27.8,-0.5
200104,33.7,-0.5
200105,38.4,-2.7
200106,47.1,-0.4
200107,48.5,-1.0
200108,51.4,1.5
200109,45.0,0.3
200110,35.9,-1.1
200111,26.8,-1.0
200112,23.7,-0.1
200201,26.4,4.6
200202,24.4,0.3
200203,24.3,-4.0
200204,31.4,-2.8
200205,40.2,-0.9
200206,48.4,0.9
200207,48.4,-1.1
200208,50.1,0.2
200209,44.8,0.1
200210,39.3,2.3
200211,33.8,6.0
200212,27.8,4.0
200301,27.8,6.0
200302,26.5,2.4
200303,26.5,-1.8
200304,36.4,2.2
200305,41.6,0.5
200306,48.0,0.5
200307,51.4,1.9
200308,50.6,0.7
200309,44.9,0.2
200310,39.4,2.4
200311,25.9,-1.9
200312,26.2,2.4
200401,21.2,-0.6
200402,29.4,5.3
200403,30.2,1.9
200404,36.2,2.0
200405,45.1,4.0
200406,51.9,4.4
200407,52.3,2.8
200408,53.9,4.0
200409,44.7,0.0
200410,37.1,0.1
200411,30.2,2.4
200412,27.4,3.6
200501,21.5,-0.3
200502,25.3,1.2
200503,31.7,3.4
200504,37.3,3.1
200505,46.5,5.4
200506,50.4,2.9
200507,49.7,0.2
200508,51.8,1.9
200509,45.2,0.5
200510,37.1,0.1
200511,30.2,2.4
200512,29.0,5.2
200601,25.4,3.6
200602,24.0,-0.1
200603,24.2,-4.1
200604,32.9,-1.3
200605,40.9,-0.2
200606,48.2,0.7
200607,49.5,0.0
200608,48.2,-1.7
200609,45.2,0.5
200610,37.3,0.3
200611,17.8,-10.0
200612,28.2,4.4
200701,25.6,3.8
200702,23.5,-0.6
200703,24.8,-3.5
200704,33.4,-0.8
200705,40.0,-1.1
200706,47.6,0.1
200707,49.5,0.0
200708,50.7,0.8
200709,44.5,-0.2
200710,36.0,-1.0
200711,28.7,0.9
200712,21.5,-2.3
200801,21.3,-0.5
200802,23.2,-0.9
200803,29.0,0.7
200804,32.4,-1.8
200805,41.1,0.0
200806,44.5,-3.0
200807,46.7,-2.8
200808,48.7,-1.2
200809,44.9,0.2
200810,36.3,-0.7
200811,30.2,2.4
200812,18.6,-5.2
200901,22.5,0.7
200902,21.4,-2.7
200903,24.5,-3.8
200904,33.0,-1.2
200905,41.2,0.1
200906,48.5,1.0
200907,52.6,3.1
200908,51.0,1.1
200909,45.1,0.4
200910,37.6,0.6
200911,28.7,0.9
200912,21.4,-2.4
201001,27.1,5.3
201002,30.4,6.3
201003,30.7,2.4
201004,35.4,1.2
201005,43.3,2.2
201006,47.0,-0.5
201007,48.3,-1.2
201008,51.0,1.1
201009,46.2,1.5
201010,38.2,1.2
201011,28.5,0.7
201012,21.0,-2.8
201101,23.6,1.8
201102,21.1,-3.0
201103,25.9,-2.4
201104,33.1,-1.1
201105,42.2,1.1
201106,48.3,0.8
201107,48.8,-0.7
201108,48.3,-1.6
201109,44.7,0.0
201110,37.2,0.2
201111,24.6,-3.2
201112,27.2,3.4
201201,21.8,0.0
201202,28.4,4.3
201203,28.0,-0.3
201204,36.0,1.8
201205,38.6,-2.5
201206,46.0,-1.5
201207,48.4,-1.1
