Lea County, New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,44.6,4.6
200002,51.9,7.8
200003,54.3,3.7
200004,63.6,4.1
200005,74.7,6.8
200006,76.4,0.4
200007,81.2,3.1
200008,79.6,2.7
200009,74.2,3.9
200010,61.1,0.9
200011,43.5,-4.9
200012,38.6,-2.1
200101,38.8,-1.2
200102,47.2,3.1
200103,49.3,-1.3
200104,62.6,3.1
200105,71.5,3.6
200106,79.9,3.9
200107,83.1,5.0
200108,79.1,2.2
200109,72.7,2.4
200110,62.1,1.9
200111,51.8,3.4
200112,42.3,1.6
200201,43.5,3.5
200202,42.4,-1.7
200203,49.8,-0.8
200204,64.4,4.9
200205,70.6,2.7
200206,80.0,4.0
200207,78.5,0.4
200208,80.6,3.7
200209,72.1,1.8
200210,59.8,-0.4
200211,47.2,-1.2
200212,42.0,1.3
200301,43.7,3.7
200302,44.9,0.8
200303,53.6,3.0
200304,62.8,3.3
200305,70.7,2.8
200306,75.8,-0.2
200307,79.6,1.5
200308,79.8,2.9
200309,71.4,1.1
200310,64.7,4.5
200311,52.2,3.8
200312,43.6,2.9
200401,43.5,3.5
200402,42.4,-1.7
200403,56.5,5.9
200404,59.1,-0.4
200405,71.0,3.1
200406,76.7,0.7
200407,77.8,-0.3
200408,75.7,-1.2
200409,69.9,-0.4
200410,61.6,1.4
200411,47.0,-1.4
200412,41.4,0.7
200501,45.8,5.8
200502,46.0,1.9
200503,50.8,0.2
200504,58.6,-0.9
200505,68.0,0.1
200506,77.9,1.9
200507,79.3,1.2
200508,76.3,-0.6
200509,74.6,4.3
200510,61.4,1.2
200511,51.3,2.9
200512,42.2,1.5
200601,46.2,6.2
200602,46.2,2.1
200603,54.1,3.5
200604,64.9,5.4
200605,73.1,5.2
200606,79.2,3.2
200607,80.6,2.5
200608,77.4,0.5
200609,67.4,-2.9
200610,60.6,0.4
200611,51.7,3.3
200612,40.9,0.2
200701,36.7,-3.3
200702,45.0,0.9
200703,55.7,5.1
200704,56.8,-2.7
200705,65.4,-2.5
200706,74.4,-1.6
200707,76.4,-1.7
200708,78.6,1.7
200709,73.3,3.0
200710,64.0,3.8
200711,50.7,2.3
200712,42.8,2.1
200801,40.1,0.1
200802,47.1,3.0
200803,52.5,1.9
200804,60.3,0.8
200805,69.4,1.5
200806,80.9,4.9
200807,77.6,-0.5
200808,77.1,0.2
200809,68.8,-1.5
200810,61.1,0.9
200811,50.1,1.7
200812,43.0,2.3
200901,43.0,3.0
200902,49.5,5.4
200903,54.9,4.3
200904,60.4,0.9
200905,70.5,2.6
200906,78.9,2.9
200907,79.7,1.6
200908,79.6,2.7
200909,69.5,-0.8
200910,59.4,-0.8
200911,51.4,3.0
200912,37.4,-3.3
201001,39.2,-0.8
201002,41.2,-2.9
201003,50.8,0.2
201004,60.8,1.3
201005,68.2,0.3
201006,80.9,4.9
201007,77.2,-0.9
201008,80.0,3.1
201009,74.4,4.1
201010,63.0,2.8
201011,49.3,0.9
201012,44.9,4.2
201101,40.0,0.0
201102,41.5,-2.6
201103,57.6,7.0
201104,65.8,6.3
201105,69.7,1.8
201106,83.8,7.8
201107,84.2,6.1
201108,85.0,8.1
201109,72.9,2.6
201110,62.9,2.7
201111,50.4,2.0
201112,36.9,-3.8
201201,44.6,4.6
201202,44.8,0.7
201203,57.0,6.4
201204,66.6,7.1
201205,71.4,3.5
201206,81.2,5.2
201207,80.4,2.3
201208,80.5,3.6
201209,73.0,2.7
201210,61.0,0.8
201211,53.8,5.4
201212,43.3,2.6
201301,40.8,0.8
201302,44.2,0.1
201303,53.3,2.7
201304,59.3,-0.2
201305,69.2,1.3
201306,80.6,4.6
201307,77.6,-0.5
201308,79.6,2.7
201309,73.1,2.8
201310,60.7,0.5
201311,47.8,-0.6
201312,39.5,-1.2
201401,39.8,-0.2
201402,45.4,1.3
201403,51.6,1.0
201404,60.2,0.7
201405,68.1,0.2
201406,79.8,3.8
201407,79.7,1.6
201408,79.2,2.3
201409,70.4,0.1
201410,63.3,3.1
201411,45.8,-2.6
201412,44.4,3.7
201501,38.1,-1.9
201502,44.8,0.7
201503,51.6,1.0
201504,60.1,0.6
201505,65.6,-2.3
201506,76.6,0.6
201507,80.4,2.3
201508,79.8,2.9
201509,75.7,5.4
201510,62.8,2.6
201511,50.0,1.6
201512,43.3,2.6
201601,41.0,1.0
201602,48.2,4.1
201603,55.8,5.2
201604,60.8,1.3
201605,66.9,-1.0
201606,77.8,1.8
201607,84.5,6.4
201608,76.8,-0.1
201609,72.1,1.8
201610,66.0,5.8
201611,52.9,4.5
201612,42.6,1.9
201701,44.3,4.3
201702,51.0,6.9
201703,58.7,8.1
201704,62.3,2.8
201705,67.9,0.0
201706,79.1,3.1
201707,79.9,1.8
201708,75.9,-1.0
201709,72.1,1.8
201710,60.9,0.7
201711,54.2,5.8
201712,42.7,2.0
201801,39.7,-0.3
201802,46.1,2.0
201803,56.0,5.4
201804,60.1,0.6
201805,75.7,7.8
201806,81.8,5.8
201807,80.7,2.6
201808,79.3,2.4
201809,71.0,0.7
201810,60.0,-0.2
201811,46.5,-1.9
201812,41.4,0.7
201901,41.9,1.9
201902,46.4,2.3
201903,49.6,-1.0
201904,60.8,1.3
201905,67.3,-0.6
201906,75.5,-0.5
201907,80.3,2.2
201908,83.2,6.3
201909,76.3,6.0
201910,58.1,-2.1
201911,47.8,-0.6
201912,45.2,4.5
202001,44.2,4.2
