Cascade County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.5,5.5
200002,28.8,4.8
200003,36.5,6.0
200004,44.2,3.3
200005,51.6,1.5
200006,57.3,-0.4
200007,67.8,2.7
200008,66.7,2.9
200009,54.6,0.5
200010,44.0,-0.5
200011,24.3,-7.5
200012,19.6,-4.5
200101,29.3,9.3
200102,18.0,-6.0
200103,34.9,4.4
200104,40.8,-0.1
200105,53.8,3.7
200106,58.3,0.6
200107,66.5,1.4
200108,68.5,4.7
200109,58.8,4.7
200110,44.5,0.0
200111,39.3,7.5
200112,24.8,0.7
200201,25.0,5.0
200202,29.1,5.1
200203,18.2,-12.3
200204,37.0,-3.9
200205,48.2,-1.9
200206,58.0,0.3
200207,69.0,3.9
200208,59.7,-4.1
200209,55.7,1.6
200210,36.8,-7.7
200211,36.8,5.0
200212,30.1,6.0
200301,29.6,9.6
200302,23.6,-0.4
200303,30.8,0.3
200304,44.0,3.1
200305,49.6,-0.5
200306,58.8,1.1
200307,70.2,5.1
200308,69.3,5.5
200309,55.0,0.9
200310,47.9,3.4
200311,26.7,-5.1
200312,29.6,5.5
200401,20.8,0.8
200402,29.7,5.7
200403,39.4,8.9
200404,44.2,3.3
200405,47.1,-3.0
200406,55.2,-2.5
200407,65.9,0.8
200408,62.7,-1.1
200409,53.6,-0.5
200410,43.5,-1.0
200411,35.5,3.7
200412,30.2,6.1
200501,19.8,-0.2
200502,30.8,6.8
200503,34.2,3.7
200504,42.5,1.6
200505,48.6,-1.5
200506,57.0,-0.7
200507,67.1,2.0
200508,64.1,0.3
200509,55.2,1.1
200510,47.0,2.5
200511,35.2,3.4
200512,23.8,-0.3
200601,35.2,15.2
200602,25.5,1.5
200603,31.0,0.5
200604,45.1,4.2
200605,53.0,2.9
200606,60.7,3.0
200607,70.6,5.5
200608,64.7,0.9
200609,55.9,1.8
200610,41.5,-3.0
200611,30.3,-1.5
200612,30.8,6.7
200701,25.8,5.8
200702,23.2,-0.8
200703,40.8,10.3
200704,40.6,-0.3
200705,51.7,1.6
200706,60.3,2.6
200707,73.6,8.5
200708,65.2,1.4
200709,55.0,0.9
200710,46.3,1.8
200711,32.6,0.8
200712,25.4,1.3
200801,21.6,1.6
200802,28.5,4.5
200803,32.8,2.3
200804,37.3,-3.6
200805,49.8,-0.3
200806,56.5,-1.2
200807,65.9,0.8
200808,65.4,1.6
200809,53.4,-0.7
200810,45.1,0.6
200811,38.8,7.0
200812,15.9,-8.2
200901,25.2,5.2
200902,28.9,4.9
200903,29.9,-0.6
200904,39.4,-1.5
200905,49.8,-0.3
200906,56.0,-1.7
200907,64.3,-0.8
200908,63.4,-0.4
200909,61.3,7.2
200910,37.0,-7.5
200911,38.1,6.3
200912,13.9,-10.2
201001,25.3,5.3
201002,26.0,2.0
201003,39.8,9.3
201004,40.9,0.0
201005,45.4,-4.7
201006,56.5,-1.2
201007,63.3,-1.8
201008,62.9,-0.9
201009,54.3,0.2
201010,49.6,5.1
201011,26.3,-5.5
201012,22.9,-1.2
201101,23.6,3.6
201102,17.4,-6.6
201103,31.2,0.7
201104,37.4,-3.5
201105,47.5,-2.6
201106,55.2,-2.5
201107,65.7,0.6
201108,67.1,3.3
201109,59.7,5.6
201110,46.2,1.7
201111,32.9,1.1
201112,29.4,5.3
201201,27.3,7.3
201202,27.3,3.3
201203,39.2,8.7
201204,45.9,5.0
201205,48.9,-1.2
201206,59.2,1.5
201207,69.9,4.8
201208,66.4,2.6
201209,58.7,4.6
201210,41.6,-2.9
201211,35.6,3.8
201212,24.2,0.1
201301,27.1,7.1
201302,30.3,6.3
201303,33.3,2.8
201304,38.0,-2.9
201305,51.1,1.0
201306,58.5,0.8
201307,67.7,2.6
201308,67.3,3.5
201309,59.4,5.3
201310,41.5,-3.0
201311,33.4,1.6
201312,21.0,-3.1
201401,28.4,8.4
201402,14.7,-9.3
201403,30.4,-0.1
201404,42.5,1.6
201405,50.4,0.3
201406,56.0,-1.7
201407,67.9,2.8
201408,65.4,1.6
201409,56.1,2.0
201410,50.3,5.8
201411,26.2,-5.6
201412,27.6,3.5
201501,26.9,6.9
201502,30.4,6.4
201503,41.9,11.4
201504,42.7,1.8
201505,48.9,-1.2
201506,63.6,5.9
201507,65.3,0.2
201508,66.2,2.4
201509,56.6,2.5
201510,48.2,3.7
201511,30.0,-1.8
201512,26.3,2.2
201601,27.0,7.0
201602,37.1,13.1
201603,38.6,8.1
201604,45.1,4.2
201605,49.8,-0.3
201606,61.5,3.8
201607,65.4,0.3
201608,63.7,-0.1
201609,54.4,0.3
201610,45.2,0.7
201611,41.9,10.1
201612,14.2,-9.9
201701,17.1,-2.9
201702,25.3,1.3
201703,37.1,6.6
201704,42.5,1.6
201705,52.6,2.5
201706,59.7,2.0
201707,71.4,6.3
201708,65.2,1.4
201709,55.4,1.3
201710,43.7,-0.8
201711,32.0,0.2
201712,21.1,-3.0
201801,26.6,6.6
201802,12.4,-11.6
201803,30.0,-0.5
201804,37.9,-3.0
201805,55.1,5.0
201806,58.1,0.4
201807,65.3,0.2
201808,63.9,0.1
201809,52.5,-1.6
201810,42.5,-2.0
201811,31.9,0.1
201812,28.0,3.9
201901,27.8,7.8
201902,1.8,-22.2
201903,23.9,-6.6
201904,41.3,0.4
201905,47.4,-2.7
201906,57.6,-0.1
201907,64.0,-1.1
201908,64.5,0.7
201909,54.5,0.4
201910,35.1,-9.4
201911,29.9,-1.9
201912,30.3,6.2
202001,25.9,5.9
