Silver Bow County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.3,4.6
200002,29.1,6.8
200003,31.7,4.2
200004,40.8,4.7
200005,46.2,1.3
200006,54.4,2.2
200007,62.9,2.4
200008,61.8,3.0
200009,48.9,-0.9
200010,39.9,0.1
200011,20.4,-7.4
200012,21.2,0.0
200101,22.7,4.0
200102,19.8,-2.5
200103,32.2,4.7
200104,36.0,-0.1
200105,47.9,3.0
200106,53.3,1.1
200107,61.4,0.9
200108,64.1,5.3
200109,55.4,5.6
200110,40.6,0.8
200111,33.7,5.9
200112,20.2,-1.0
200201,21.9,3.2
200202,22.9,0.6
200203,23.9,-3.6
200204,35.0,-1.1
200205,43.7,-1.2
200206,53.7,1.5
200207,63.8,3.3
200208,56.5,-2.3
200209,51.1,1.3
200210,35.3,-4.5
200211,29.5,1.7
200212,25.6,4.4
200301,27.7,9.0
200302,20.5,-1.8
200303,31.8,4.3
200304,37.6,1.5
200305,45.6,0.7
200306,53.3,1.1
200307,65.6,5.1
200308,64.0,5.2
200309,51.6,1.8
200310,44.1,4.3
200311,23.2,-4.6
200312,23.5,2.3
200401,20.7,2.0
200402,23.6,1.3
200403,36.0,8.5
200404,39.4,3.3
200405,44.2,-0.7
200406,52.4,0.2
200407,61.3,0.8
200408,58.5,-0.3
200409,48.9,-0.9
200410,40.7,0.9
200411,30.0,2.2
200412,27.6,6.4
200501,23.7,5.0
200502,27.6,5.3
200503,31.8,4.3
200504,36.8,0.7
200505,44.9,0.0
200506,50.5,-1.7
200507,62.1,1.6
200508,59.6,0.8
200509,50.0,0.2
200510,42.7,2.9
200511,27.9,0.1
200512,19.6,-1.6
200601,27.6,8.9
200602,20.8,-1.5
200603,29.0,1.5
200604,39.1,3.0
200605,47.4,2.5
200606,56.3,4.1
200607,65.9,5.4
200608,59.1,0.3
200609,51.0,1.2
200610,38.4,-1.4
200611,29.9,2.1
200612,22.6,1.4
200701,19.4,0.7
200702,26.9,4.6
200703,35.4,7.9
200704,38.5,2.4
200705,47.0,2.1
200706,55.9,3.7
200707,68.3,7.8
200708,60.4,1.6
200709,50.1,0.3
200710,40.0,0.2
200711,29.7,1.9
200712,20.9,-0.3
200801,17.6,-1.1
200802,26.4,4.1
200803,26.6,-0.9
200804,31.7,-4.4
200805,44.6,-0.3
200806,51.7,-0.5
200807,61.6,1.1
200808,60.1,1.3
200809,49.3,-0.5
200810,40.4,0.6
200811,34.1,6.3
200812,17.9,-3.3
200901,24.4,5.7
200902,27.4,5.1
200903,27.2,-0.3
200904,35.4,-0.7
200905,46.4,1.5
200906,51.8,-0.4
200907,60.1,-0.4
200908,59.6,0.8
200909,56.1,6.3
200910,33.9,-5.9
200911,29.8,2.0
200912,16.1,-5.1
201001,24.4,5.7
201002,23.9,1.6
201003,33.0,5.5
201004,36.7,0.6
201005,40.4,-4.5
201006,51.4,-0.8
201007,59.2,-1.3
201008,57.6,-1.2
201009,51.4,1.6
201010,44.3,4.5
201011,25.3,-2.5
201012,20.2,-1.0
201101,23.3,4.6
201102,18.7,-3.6
201103,30.3,2.8
201104,32.6,-3.5
201105,42.4,-2.5
201106,50.5,-1.7
201107,61.1,0.6
201108,61.5,2.7
201109,54.4,4.6
201110,41.7,1.9
201111,26.1,-1.7
201112,22.7,1.5
201201,26.1,7.4
201202,24.4,2.1
201203,34.6,7.1
201204,40.8,4.7
201205,44.1,-0.8
201206,54.3,2.1
201207,64.9,4.4
201208,62.0,3.2
201209,54.3,4.5
201210,39.0,-0.8
201211,30.4,2.6
201212,21.2,0.0
201301,20.6,1.9
201302,24.6,2.3
201303,30.7,3.2
201304,34.8,-1.3
201305,46.9,2.0
201306,54.9,2.7
201307,65.0,4.5
201308,62.4,3.6
201309,53.2,3.4
201310,37.2,-2.6
201311,31.0,3.2
201312,20.0,-1.2
201401,27.6,8.9
201402,17.0,-5.3
201403,30.1,2.6
201404,37.6,1.5
201405,47.2,2.3
201406,51.4,-0.8
201407,64.0,3.5
201408,59.9,1.1
201409,51.8,2.0
201410,45.7,5.9
201411,25.9,-1.9
201412,24.9,3.7
201501,28.2,9.5
201502,30.8,8.5
201503,37.0,9.5
201504,38.3,2.2
201505,46.4,1.5
201506,59.9,7.7
201507,60.6,0.1
201508,61.4,2.6
201509,53.1,3.3
201510,46.3,6.5
201511,24.4,-3.4
201512,21.2,0.0
201601,23.2,4.5
201602,30.8,8.5
201603,33.1,5.6
201604,42.1,6.0
201605,45.8,0.9
201606,58.0,5.8
201607,60.8,0.3
201608,59.7,0.9
201609,50.2,0.4
201610,42.7,2.9
201611,35.9,8.1
201612,15.6,-5.6
201701,15.0,-3.7
201702,26.2,3.9
201703,36.7,9.2
201704,38.2,2.1
201705,47.4,2.5
201706,55.3,3.1
201707,66.0,5.5
201708,62.3,3.5
201709,50.8,1.0
201710,38.7,-1.1
201711,29.7,1.9
201712,22.8,1.6
201801,26.9,8.2
201802,19.9,-2.4
201803,29.4,1.9
201804,37.8,1.7
201805,50.4,5.5
201806,53.6,1.4
201807,63.7,3.2
201808,60.4,1.6
201809,50.5,0.7
201810,40.9,1.1
201811,28.7,0.9
201812,21.7,0.5
201901,24.3,5.6
201902,13.8,-8.5
201903,23.6,-3.9
201904,38.5,2.4
201905,45.4,0.5
201906,53.6,1.4
201907,61.2,0.7
201908,61.3,2.5
201909,51.9,2.1
201910,32.2,-7.6
201911,29.8,2.0
201912,24.5,3.3
202001,25.8,7.1
