Gregg County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.0,4.1
200002,56.8,7.2
200003,61.2,4.5
200004,62.9,-1.9
200005,74.4,1.9
200006,78.5,-1.4
200007,83.5,0.4
200008,86.4,3.6
200009,77.5,0.9
200010,67.2,0.8
200011,52.4,-2.6
200012,40.1,-7.5
200101,42.7,-3.2
200102,52.1,2.5
200103,52.8,-3.9
200104,68.9,4.1
200105,73.7,1.2
200106,78.0,-1.9
200107,83.7,0.6
200108,82.6,-0.2
200109,74.0,-2.6
200110,62.9,-3.5
200111,59.5,4.5
200112,50.6,3.0
200201,48.2,2.3
200202,46.5,-3.1
200203,54.2,-2.5
200204,68.6,3.8
200205,72.5,0.0
200206,78.8,-1.1
200207,83.0,-0.1
200208,83.0,0.2
200209,77.8,1.2
200210,65.0,-1.4
200211,53.1,-1.9
200212,47.7,0.1
200301,45.0,-0.9
200302,47.5,-2.1
200303,56.4,-0.3
200304,65.5,0.7
200305,74.5,2.0
200306,77.9,-2.0
200307,82.4,-0.7
200308,83.4,0.6
200309,74.4,-2.2
200310,67.3,0.9
200311,60.1,5.1
200312,48.3,0.7
200401,48.2,2.3
200402,45.7,-3.9
200403,61.8,5.1
200404,64.8,0.0
200405,73.2,0.7
200406,77.9,-2.0
200407,81.1,-2.0
200408,79.5,-3.3
200409,76.3,-0.3
200410,72.2,5.8
200411,58.0,3.0
200412,47.8,0.2
200501,50.8,4.9
200502,52.8,3.2
200503,56.6,-0.1
200504,63.9,-0.9
200505,71.3,-1.2
200506,81.2,1.3
200507,82.5,-0.6
200508,84.6,1.8
200509,80.8,4.2
200510,65.8,-0.6
200511,60.2,5.2
200512,46.4,-1.2
200601,53.3,7.4
200602,47.5,-2.1
200603,60.1,3.4
200604,70.4,5.6
200605,73.6,1.1
200606,79.4,-0.5
200607,84.1,1.0
200608,85.9,3.1
200609,75.0,-1.6
200610,65.5,-0.9
200611,56.6,1.6
200612,49.6,2.0
200701,44.2,-1.7
200702,48.4,-1.2
200703,63.0,6.3
200704,61.6,-3.2
200705,72.6,0.1
200706,79.2,-0.7
200707,79.3,-3.8
200708,83.9,1.1
200709,78.6,2.0
200710,68.2,1.8
200711,58.6,3.6
200712,50.5,2.9
200801,45.1,-0.8
200802,52.0,2.4
200803,58.8,2.1
200804,64.6,-0.2
200805,71.9,-0.6
200806,81.3,1.4
200807,83.7,0.6
200808,81.9,-0.9
200809,73.3,-3.3
200810,64.2,-2.2
200811,55.8,0.8
200812,47.8,0.2
200901,46.6,0.7
200902,54.7,5.1
200903,57.4,0.7
200904,63.1,-1.7
200905,72.0,-0.5
200906,81.2,1.3
200907,83.6,0.5
200908,81.9,-0.9
200909,74.7,-1.9
200910,62.4,-4.0
200911,58.6,3.6
200912,43.6,-4.0
201001,43.4,-2.5
201002,42.4,-7.2
201003,53.9,-2.8
201004,65.7,0.9
201005,76.3,3.8
201006,83.7,3.8
201007,83.3,0.2
201008,86.8,4.0
201009,79.2,2.6
201010,66.3,-0.1
201011,56.9,1.9
201012,47.0,-0.6
201101,43.6,-2.3
201102,49.6,0.0
201103,59.6,2.9
201104,69.9,5.1
201105,72.2,-0.3
201106,85.1,5.2
201107,88.3,5.2
201108,91.1,8.3
201109,78.2,1.6
201110,66.4,0.0
201111,57.5,2.5
201112,46.9,-0.7
201201,51.3,5.4
201202,52.8,3.2
201203,64.8,8.1
201204,69.2,4.4
201205,75.0,2.5
201206,80.7,0.8
201207,83.8,0.7
