Copiah County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.0,2.7
200002,55.4,5.1
200003,61.4,4.1
200004,62.6,-2.0
200005,75.0,2.9
200006,78.2,-0.6
200007,82.5,1.5
200008,83.5,2.9
200009,76.5,0.5
200010,65.4,-0.3
200011,53.0,-2.3
200012,40.8,-7.9
200101,42.5,-4.8
200102,55.4,5.1
200103,52.8,-4.5
200104,68.1,3.5
200105,72.2,0.1
200106,76.5,-2.3
200107,80.8,-0.2
200108,79.5,-1.1
200109,73.5,-2.5
200110,61.7,-4.0
200111,60.2,4.9
200112,52.8,4.1
200201,49.6,2.3
200202,47.4,-2.9
200203,57.9,0.6
200204,67.7,3.1
200205,72.5,0.4
200206,77.7,-1.1
200207,80.8,-0.2
200208,79.8,-0.8
200209,77.9,1.9
200210,68.2,2.5
200211,53.3,-2.0
200212,48.6,-0.1
200301,42.3,-5.0
200302,48.8,-1.5
200303,57.5,0.2
200304,65.2,0.6
200305,74.0,1.9
200306,77.9,-0.9
200307,79.8,-1.2
200308,81.0,0.4
200309,73.9,-2.1
200310,65.3,-0.4
200311,60.0,4.7
200312,46.4,-2.3
200401,47.7,0.4
200402,46.8,-3.5
200403,61.5,4.2
200404,63.2,-1.4
200405,72.4,0.3
200406,77.1,-1.7
200407,79.9,-1.1
200408,77.4,-3.2
200409,75.0,-1.0
200410,71.9,6.2
200411,59.6,4.3
200412,47.4,-1.3
200501,52.0,4.7
200502,53.4,3.1
200503,54.9,-2.4
200504,63.4,-1.2
200505,69.7,-2.4
200506,77.8,-1.0
200507,81.2,0.2
200508,82.2,1.6
200509,78.9,2.9
200510,65.5,-0.2
200511,58.5,3.2
200512,46.9,-1.8
200601,53.2,5.9
200602,48.5,-1.8
200603,58.6,1.3
200604,68.6,4.0
200605,71.9,-0.2
200606,78.7,-0.1
200607,81.5,0.5
200608,82.9,2.3
200609,73.8,-2.2
200610,65.2,-0.5
200611,54.8,-0.5
200612,50.8,2.1
200701,47.6,0.3
200702,48.6,-1.7
200703,61.5,4.2
200704,62.2,-2.4
200705,72.5,0.4
200706,79.6,0.8
200707,79.1,-1.9
200708,83.3,2.7
200709,76.8,0.8
200710,67.4,1.7
200711,56.7,1.4
200712,54.1,5.4
200801,45.7,-1.6
200802,52.3,2.0
200803,58.3,1.0
200804,64.5,-0.1
200805,72.2,0.1
200806,80.3,1.5
200807,82.1,1.1
200808,78.9,-1.7
200809,74.8,-1.2
200810,63.4,-2.3
200811,54.1,-1.2
200812,51.1,2.4
200901,47.7,0.4
200902,53.0,2.7
200903,58.8,1.5
200904,63.8,-0.8
200905,72.5,0.4
200906,80.6,1.8
200907,80.3,-0.7
200908,79.2,-1.4
200909,76.3,0.3
200910,63.9,-1.8
200911,55.2,-0.1
200912,45.7,-3.0
201001,42.3,-5.0
201002,41.9,-8.4
201003,53.2,-4.1
201004,65.8,1.2
201005,75.5,3.4
201006,82.3,3.5
201007,82.9,1.9
201008,83.5,2.9
201009,77.6,1.6
201010,66.2,0.5
201011,57.0,1.7
201012,44.7,-4.0
201101,44.4,-2.9
201102,51.7,1.4
201103,59.3,2.0
201104,67.8,3.2
201105,71.6,-0.5
201106,82.8,4.0
201107,83.0,2.0
201108,84.0,3.4
201109,73.4,-2.6
201110,62.3,-3.4
201111,56.4,1.1
201112,49.8,1.1
201201,53.5,6.2
201202,54.2,3.9
201203,66.3,9.0
201204,66.4,1.8
201205,74.1,2.0
201206,79.6,0.8
201207,81.7,0.7
