Daviess County, Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.4,1.2
200002,44.0,7.5
200003,50.3,4.5
200004,54.7,-1.3
200005,68.4,3.0
200006,74.4,0.4
200007,75.7,-2.1
200008,76.6,0.4
200009,68.0,-1.6
200010,60.8,2.8
200011,44.0,-2.0
200012,25.5,-10.7
200101,31.2,-2.0
200102,40.7,4.2
200103,41.5,-4.3
200104,61.4,5.4
200105,67.9,2.5
200106,72.5,-1.5
200107,77.9,0.1
200108,77.6,1.4
200109,67.6,-2.0
200110,57.1,-0.9
200111,51.6,5.6
200112,41.4,5.2
200201,38.6,5.4
200202,39.2,2.7
200203,45.6,-0.2
200204,59.6,3.6
200205,63.8,-1.6
200206,76.2,2.2
200207,80.0,2.2
200208,78.3,2.1
200209,72.9,3.3
200210,57.1,-0.9
200211,43.9,-2.1
200212,37.2,1.0
200301,28.9,-4.3
200302,32.6,-3.9
200303,48.4,2.6
200304,58.6,2.6
200305,65.2,-0.2
200306,70.0,-4.0
200307,77.2,-0.6
200308,76.9,0.7
200309,66.9,-2.7
200310,58.0,0.0
200311,51.3,5.3
200312,38.4,2.2
200401,32.5,-0.7
200402,36.3,-0.2
200403,50.2,4.4
200404,57.6,1.6
200405,70.3,4.9
200406,74.1,0.1
200407,75.5,-2.3
200408,72.7,-3.5
200409,69.8,0.2
200410,60.6,2.6
200411,51.0,5.0
200412,35.4,-0.8
200501,38.9,5.7
200502,41.4,4.9
200503,43.9,-1.9
200504,58.3,2.3
200505,64.0,-1.4
200506,75.6,1.6
200507,77.8,0.0
200508,79.3,3.1
200509,72.4,2.8
200510,59.3,1.3
200511,49.7,3.7
200512,33.8,-2.4
200601,43.7,10.5
200602,36.6,0.1
200603,47.4,1.6
200604,61.5,5.5
200605,64.3,-1.1
200606,73.9,-0.1
200607,77.9,0.1
200608,78.0,1.8
200609,65.3,-4.3
200610,55.2,-2.8
200611,47.3,1.3
200612,42.1,5.9
200701,38.1,4.9
200702,30.5,-6.0
200703,54.2,8.4
200704,54.7,-1.3
200705,69.8,4.4
200706,75.4,1.4
200707,75.7,-2.1
200708,82.0,5.8
200709,72.9,3.3
200710,63.3,5.3
200711,46.6,0.6
200712,39.9,3.7
200801,33.7,0.5
200802,36.3,-0.2
200803,45.2,-0.6
200804,55.7,-0.3
200805,63.2,-2.2
200806,76.4,2.4
200807,76.9,-0.9
200808,75.0,-1.2
200809,71.8,2.2
200810,58.1,0.1
200811,44.5,-1.5
200812,36.1,-0.1
200901,29.4,-3.8
200902,39.0,2.5
200903,49.5,3.7
200904,56.8,0.8
200905,66.2,0.8
200906,76.2,2.2
200907,73.1,-4.7
200908,74.5,-1.7
200909,69.8,0.2
200910,54.3,-3.7
200911,51.0,5.0
200912,36.6,0.4
201001,29.7,-3.5
201002,31.0,-5.5
201003,47.7,1.9
201004,62.1,6.1
201005,68.9,3.5
201006,79.0,5.0
201007,79.9,2.1
201008,79.9,3.7
201009,71.5,1.9
201010,59.7,1.7
201011,47.5,1.5
201012,30.6,-5.6
201101,30.3,-2.9
201102,39.2,2.7
201103,48.3,2.5
201104,59.4,3.4
201105,65.0,-0.4
201106,76.2,2.2
201107,81.3,3.5
201108,77.1,0.9
201109,67.5,-2.1
201110,57.3,-0.7
201111,50.5,4.5
201112,41.6,5.4
201201,38.7,5.5
201202,41.7,5.2
201203,59.8,14.0
201204,59.5,3.5
201205,71.6,6.2
201206,75.1,1.1
201207,83.2,5.4
201208,76.0,-0.2
