Mercer County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.7,1.5
200002,32.0,6.5
200003,42.4,7.7
200004,47.3,1.6
200005,59.4,2.8
200006,67.3,2.0
200007,66.4,-3.1
200008,66.5,-0.9
200009,61.0,-0.3
200010,52.7,2.6
200011,37.8,-0.8
200012,21.2,-7.0
200101,26.1,1.9
200102,31.4,5.9
200103,32.8,-1.9
200104,49.9,4.2
200105,58.4,1.8
200106,65.6,0.3
200107,68.0,-1.5
200108,70.9,3.5
200109,59.4,-1.9
200110,52.0,1.9
200111,46.2,7.6
200112,36.3,8.1
200201,32.6,8.4
200202,32.8,7.3
200203,37.4,2.7
200204,49.1,3.4
200205,53.3,-3.3
200206,67.9,2.6
200207,72.4,2.9
200208,71.0,3.6
200209,65.4,4.1
200210,48.8,-1.3
200211,39.2,0.6
200212,28.2,0.0
200301,19.1,-5.1
200302,22.7,-2.8
200303,37.7,3.0
200304,49.0,3.3
200305,56.3,-0.3
200306,63.5,-1.8
200307,68.6,-0.9
200308,70.0,2.6
200309,60.6,-0.7
200310,48.6,-1.5
200311,45.0,6.4
200312,30.6,2.4
200401,19.1,-5.1
200402,27.5,2.0
200403,39.3,4.6
200404,47.4,1.7
200405,61.8,5.2
200406,64.3,-1.0
200407,68.5,-1.0
200408,65.9,-1.5
200409,63.9,2.6
200410,51.4,1.3
200411,42.7,4.1
200412,30.1,1.9
200501,26.4,2.2
200502,28.9,3.4
200503,32.0,-2.7
200504,49.3,3.6
200505,53.5,-3.1
200506,69.8,4.5
200507,72.5,3.0
200508,71.2,3.8
200509,64.8,3.5
200510,52.7,2.6
200511,42.9,4.3
200512,25.6,-2.6
200601,35.7,11.5
200602,28.8,3.3
200603,35.8,1.1
200604,50.6,4.9
200605,56.9,0.3
200606,64.6,-0.7
200607,71.8,2.3
200608,70.2,2.8
200609,60.3,-1.0
200610,48.4,-1.7
200611,43.4,4.8
200612,36.6,8.4
200701,30.7,6.5
200702,17.8,-7.7
200703,38.3,3.6
200704,44.6,-1.1
200705,60.2,3.6
200706,67.1,1.8
200707,67.8,-1.7
200708,70.6,3.2
200709,64.2,2.9
200710,57.7,7.6
200711,39.5,0.9
200712,30.8,2.6
200801,28.2,4.0
200802,24.8,-0.7
200803,32.8,-1.9
200804,50.6,4.9
200805,53.3,-3.3
200806,68.0,2.7
200807,70.3,0.8
200808,66.5,-0.9
200809,63.6,2.3
200810,48.7,-1.4
200811,38.6,0.0
200812,29.8,1.6
200901,18.0,-6.2
200902,27.9,2.4
200903,38.4,3.7
200904,48.6,2.9
200905,58.2,1.6
200906,64.2,-1.1
200907,65.8,-3.7
200908,69.2,1.8
200909,62.5,1.2
200910,48.2,-1.9
200911,45.2,6.6
200912,27.8,-0.4
201001,24.0,-0.2
201002,24.2,-1.3
201003,40.6,5.9
201004,52.0,6.3
201005,60.0,3.4
201006,68.5,3.2
201007,72.5,3.0
201008,71.3,3.9
201009,62.6,1.3
201010,51.0,0.9
201011,40.6,2.0
201012,23.4,-4.8
201101,21.5,-2.7
201102,27.8,2.3
201103,34.9,0.2
201104,48.7,3.0
201105,60.2,3.6
201106,67.5,2.2
201107,74.2,4.7
201108,69.6,2.2
201109,64.2,2.9
201110,51.0,0.9
201111,45.8,7.2
201112,34.5,6.3
201201,29.4,5.2
201202,33.6,8.1
201203,48.5,13.8
201204,46.3,0.6
201205,64.0,7.4
201206,67.3,2.0
201207,74.0,4.5
201208,68.8,1.4
201209,61.5,0.2
201210,51.6,1.5
201211,38.3,-0.3
201212,35.7,7.5
201301,28.5,4.3
201302,26.4,0.9
201303,32.7,-2.0
201304,48.0,2.3
201305,60.4,3.8
201306,66.6,1.3
201307,71.6,2.1
201308,67.5,0.1
201309,61.6,0.3
201310,53.6,3.5
201311,37.1,-1.5
201312,30.1,1.9
201401,18.5,-5.7
201402,20.9,-4.6
201403,29.2,-5.5
201404,48.1,2.4
201405,59.1,2.5
201406,68.1,2.8
201407,67.6,-1.9
201408,67.5,0.1
201409,61.9,0.6
201410,52.6,2.5
201411,35.9,-2.7
201412,34.3,6.1
201501,21.2,-3.0
201502,13.0,-12.5
201503,31.4,-3.3
201504,48.9,3.2
201505,63.1,6.5
201506,66.6,1.3
201507,69.8,0.3
201508,68.4,1.0
201509,67.3,6.0
201510,51.5,1.4
201511,46.1,7.5
201512,42.1,13.9
201601,25.0,0.8
201602,30.6,5.1
201603,42.8,8.1
201604,46.3,0.6
201605,57.6,1.0
201606,67.3,2.0
201607,71.8,2.3
201608,73.4,6.0
201609,66.5,5.2
201610,54.2,4.1
201611,42.7,4.1
201612,29.2,1.0
201701,31.8,7.6
201702,36.7,11.2
201703,36.3,1.6
201704,53.5,7.8
201705,56.9,0.3
201706,66.7,1.4
201707,71.0,1.5
201708,67.4,0.0
201709,63.7,2.4
201710,55.7,5.6
201711,39.0,0.4
201712,26.4,-1.8
201801,22.1,-2.1
201802,33.8,8.3
201803,32.0,-2.7
201804,41.7,-4.0
201805,64.4,7.8
201806,66.8,1.5
201807,71.2,1.7
201808,71.3,3.9
201809,66.6,5.3
201810,51.5,1.4
201811,35.6,-3.0
201812,33.2,5.0
201901,24.7,0.5
201902,29.5,4.0
201903,33.4,-1.3
201904,49.0,3.3
201905,59.8,3.2
201906,65.2,-0.1
201907,72.4,2.9
201908,68.6,1.2
201909,65.5,4.2
201910,53.6,3.5
201911,35.6,-3.0
201912,33.5,5.3
202001,31.7,7.5
