Riley County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,31.2,4.8
200002,39.6,7.9
200003,46.2,4.4
200004,53.8,0.4
200005,66.8,3.2
200006,72.2,-1.3
200007,79.3,0.4
200008,84.0,6.9
200009,71.4,3.1
200010,60.1,3.7
200011,35.9,-5.7
200012,19.8,-10.3
200101,28.9,2.5
200102,28.0,-3.7
200103,38.6,-3.2
200104,58.3,4.9
200105,66.0,2.4
200106,72.2,-1.3
200107,82.5,3.6
200108,78.3,1.2
200109,66.3,-2.0
200110,55.6,-0.8
200111,50.1,8.5
200112,35.9,5.8
200201,32.6,6.2
200202,34.5,2.8
200203,38.4,-3.4
200204,56.2,2.8
200205,61.7,-1.9
200206,76.9,3.4
200207,81.7,2.8
200208,78.2,1.1
200209,70.4,2.1
200210,50.0,-6.4
200211,41.3,-0.3
200212,34.6,4.5
200301,28.6,2.2
200302,30.2,-1.5
200303,42.9,1.1
200304,56.2,2.8
200305,62.0,-1.6
200306,69.6,-3.9
200307,80.5,1.6
200308,80.1,3.0
200309,63.8,-4.5
200310,56.9,0.5
200311,41.3,-0.3
200312,34.2,4.1
200401,27.0,0.6
200402,27.9,-3.8
200403,47.5,5.7
200404,55.1,1.7
200405,66.4,2.8
200406,70.5,-3.0
200407,74.7,-4.2
200408,72.2,-4.9
200409,70.7,2.4
200410,58.0,1.6
200411,44.9,3.3
200412,34.2,4.1
200501,27.0,0.6
200502,37.3,5.6
200503,43.8,2.0
200504,55.9,2.5
200505,63.9,0.3
200506,75.2,1.7
200507,78.5,-0.4
200508,77.2,0.1
200509,71.7,3.4
200510,57.2,0.8
200511,45.0,3.4
200512,27.7,-2.4
200601,40.1,13.7
200602,32.7,1.0
200603,44.0,2.2
200604,59.1,5.7
200605,65.2,1.6
200606,75.3,1.8
200607,80.9,2.0
200608,78.6,1.5
200609,63.6,-4.7
200610,54.2,-2.2
200611,44.2,2.6
200612,36.6,6.5
200701,27.2,0.8
200702,28.3,-3.4
200703,52.2,10.4
200704,51.0,-2.4
200705,66.4,2.8
200706,72.7,-0.8
200707,77.6,-1.3
200708,82.1,5.0
200709,69.4,1.1
200710,58.6,2.2
200711,43.2,1.6
200712,27.8,-2.3
200801,27.5,1.1
200802,28.5,-3.2
200803,40.7,-1.1
200804,49.3,-4.1
200805,62.5,-1.1
200806,73.6,0.1
200807,77.8,-1.1
200808,74.3,-2.8
200809,66.2,-2.1
200810,54.8,-1.6
200811,43.3,1.7
200812,26.9,-3.2
200901,28.0,1.6
200902,37.4,5.7
200903,43.2,1.4
200904,51.5,-1.9
200905,63.7,0.1
200906,74.5,1.0
200907,73.6,-5.3
200908,73.2,-3.9
200909,64.6,-3.7
200910,48.7,-7.7
200911,47.2,5.6
200912,24.0,-6.1
201001,22.7,-3.7
201002,28.1,-3.6
201003,43.1,1.3
201004,58.7,5.3
201005,62.4,-1.2
201006,76.7,3.2
201007,79.6,0.7
201008,79.9,2.8
201009,69.8,1.5
201010,58.7,2.3
201011,43.2,1.6
201012,30.2,0.1
201101,23.5,-2.9
201102,28.3,-3.4
201103,42.6,0.8
201104,54.5,1.1
201105,63.1,-0.5
201106,75.6,2.1
201107,84.8,5.9
201108,79.5,2.4
201109,65.2,-3.1
201110,57.5,1.1
201111,42.9,1.3
201112,33.6,3.5
201201,34.1,7.7
201202,36.7,5.0
201203,56.7,14.9
201204,58.9,5.5
201205,69.8,6.2
201206,76.5,3.0
201207,84.8,5.9
201208,74.9,-2.2
