Riley County, Kansas, Average Temperature
201209,66.2,-2.1
201210,53.9,-2.5
201211,45.9,4.3
201212,33.5,3.4
201301,31.3,4.9
201302,32.3,0.6
201303,38.0,-3.8
201304,48.2,-5.2
201305,63.0,-0.6
201306,73.9,0.4
201307,76.4,-2.5
201308,76.5,-0.6
201309,71.9,3.6
201310,55.0,-1.4
201311,40.1,-1.5
201312,26.4,-3.7
201401,25.9,-0.5
201402,25.6,-6.1
201403,39.4,-2.4
201404,53.8,0.4
201405,64.9,1.3
201406,73.8,0.3
201407,75.6,-3.3
201408,78.6,1.5
201409,67.1,-1.2
201410,58.1,1.7
201411,36.7,-4.9
201412,34.3,4.2
201501,29.5,3.1
201502,26.9,-4.8
201503,45.0,3.2
201504,55.7,2.3
201505,62.6,-1.0
201506,75.4,1.9
201507,78.8,-0.1
201508,74.5,-2.6
201509,73.9,5.6
201510,58.6,2.2
201511,48.8,7.2
201512,37.1,7.0
201601,29.5,3.1
201602,39.1,7.4
201603,49.7,7.9
201604,57.7,4.3
201605,63.0,-0.6
201606,78.6,5.1
201607,79.9,1.0
201608,77.1,0.0
201609,71.6,3.3
201610,61.2,4.8
201611,50.6,9.0
201612,29.5,-0.6
201701,32.1,5.7
201702,41.9,10.2
201703,47.9,6.1
201704,55.7,2.3
201705,63.2,-0.4
201706,75.6,2.1
201707,81.0,2.1
201708,72.4,-4.7
201709,71.8,3.5
201710,58.1,1.7
201711,44.5,2.9
201712,32.9,2.8
201801,27.5,1.1
201802,30.0,-1.7
201803,44.8,3.0
201804,46.4,-7.0
201805,72.8,9.2
201806,79.4,5.9
201807,79.5,0.6
201808,76.7,-0.4
201809,70.3,2.0
201810,53.4,-3.0
201811,36.8,-4.8
201812,34.3,4.2
201901,29.3,2.9
201902,25.6,-6.1
201903,38.4,-3.4
201904,56.1,2.7
201905,61.6,-2.0
201906,73.2,-0.3
201907,78.8,-0.1
201908,76.3,-0.8
201909,75.7,7.4
201910,51.7,-4.7
201911,39.7,-1.9
201912,35.4,5.3
202001,31.8,5.4
