Comanche County, Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,42.8,4.5
200002,49.1,6.0
200003,54.8,3.5
200004,59.9,-1.2
200005,73.1,3.6
200006,75.9,-2.4
200007,83.2,0.4
200008,87.2,5.0
200009,76.9,2.4
200010,64.9,1.8
200011,45.3,-4.7
200012,33.7,-6.8
200101,37.8,-0.5
200102,42.9,-0.2
200103,48.0,-3.3
200104,64.2,3.1
200105,70.9,1.4
200106,79.0,0.7
200107,88.0,5.2
200108,83.8,1.6
200109,72.5,-2.0
200110,62.2,-0.9
200111,55.4,5.4
200112,43.2,2.7
200201,42.6,4.3
200202,42.4,-0.7
200203,48.5,-2.8
200204,62.0,0.9
200205,68.2,-1.3
200206,77.7,-0.6
200207,80.5,-2.3
200208,82.8,0.6
200209,75.3,0.8
200210,58.4,-4.7
200211,48.5,-1.5
200212,42.2,1.7
200301,38.6,0.3
200302,40.5,-2.6
200303,51.4,0.1
200304,62.7,1.6
200305,71.1,1.6
200306,74.9,-3.4
200307,84.4,1.6
200308,84.1,1.9
200309,71.4,-3.1
200310,65.4,2.3
200311,51.7,1.7
200312,44.2,3.7
200401,42.1,3.8
200402,40.8,-2.3
200403,57.5,6.2
200404,61.8,0.7
200405,72.2,2.7
200406,76.8,-1.5
200407,79.8,-3.0
200408,77.6,-4.6
200409,75.6,1.1
200410,64.5,1.4
200411,52.3,2.3
200412,43.5,3.0
200501,41.2,2.9
200502,46.8,3.7
200503,52.3,1.0
200504,61.0,-0.1
200505,69.0,-0.5
200506,79.3,1.0
200507,81.8,-1.0
200508,81.1,-1.1
200509,77.4,2.9
200510,63.3,0.2
200511,53.6,3.6
200512,40.4,-0.1
200601,47.9,9.6
200602,43.2,0.1
200603,56.2,4.9
200604,67.7,6.6
200605,72.7,3.2
200606,80.2,1.9
200607,85.9,3.1
200608,86.2,4.0
200609,70.6,-3.9
200610,62.6,-0.5
200611,52.4,2.4
200612,42.8,2.3
200701,37.0,-1.3
200702,41.6,-1.5
200703,59.2,7.9
200704,56.6,-4.5
200705,69.7,0.2
200706,75.6,-2.7
200707,79.5,-3.3
200708,82.8,0.6
200709,75.7,1.2
200710,66.0,2.9
200711,53.0,3.0
200712,39.9,-0.6
200801,40.8,2.5
200802,44.2,1.1
200803,52.9,1.6
200804,59.9,-1.2
200805,70.9,1.4
200806,81.1,2.8
200807,83.5,0.7
200808,80.6,-1.6
200809,71.4,-3.1
200810,62.2,-0.9
200811,52.5,2.5
200812,40.3,-0.2
200901,39.4,1.1
200902,49.6,6.5
200903,55.2,3.9
200904,61.0,-0.1
200905,67.3,-2.2
200906,80.0,1.7
200907,83.1,0.3
200908,82.4,0.2
200909,72.3,-2.2
200910,56.5,-6.6
200911,54.5,4.5
200912,36.0,-4.5
201001,38.2,-0.1
201002,37.7,-5.4
201003,50.3,-1.0
201004,61.5,0.4
201005,69.5,0.0
201006,82.4,4.1
201007,82.1,-0.7
201008,85.6,3.4
201009,76.5,2.0
201010,64.1,1.0
201011,51.9,1.9
201012,42.2,1.7
201101,37.0,-1.3
201102,42.2,-0.9
201103,54.8,3.5
201104,65.2,4.1
201105,71.4,1.9
201106,86.8,8.5
201107,91.7,8.9
201108,91.5,9.3
201109,73.2,-1.3
201110,63.3,0.2
201111,50.8,0.8
201112,41.1,0.6
201201,44.2,5.9
201202,45.6,2.5
201203,59.9,8.6
201204,65.8,4.7
201205,74.4,4.9
201206,80.7,2.4
201207,87.0,4.2
201208,84.0,1.8
