Nicollet County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,14.2,2.3
200002,26.8,9.5
200003,40.8,10.5
200004,45.7,0.3
200005,59.9,1.8
200006,65.5,-2.3
200007,71.2,-1.4
200008,70.2,0.3
200009,60.7,-0.3
200010,51.8,2.9
200011,29.5,-2.4
200012,5.6,-12.1
200101,17.7,5.8
200102,9.2,-8.1
200103,24.9,-5.4
200104,46.6,1.2
200105,59.2,1.1
200106,68.4,0.6
200107,74.0,1.4
200108,71.4,1.5
200109,60.2,-0.8
200110,47.8,-1.1
200111,45.5,13.6
200112,25.9,8.2
200201,23.1,11.2
200202,27.6,10.3
200203,23.7,-6.6
200204,45.2,-0.2
200205,53.8,-4.3
200206,70.3,2.5
200207,75.4,2.8
200208,69.1,-0.8
200209,62.9,1.9
200210,41.4,-7.5
200211,32.3,0.4
200212,25.4,7.7
200301,14.1,2.2
200302,15.5,-1.8
200303,30.1,-0.2
200304,47.0,1.6
200305,56.2,-1.9
200306,67.0,-0.8
200307,71.5,-1.1
200308,72.4,2.5
200309,60.4,-0.6
200310,50.1,1.2
200311,31.0,-0.9
200312,23.2,5.5
200401,11.8,-0.1
200402,19.0,1.7
200403,36.2,5.9
200404,48.7,3.3
200405,56.0,-2.1
200406,64.6,-3.2
200407,69.8,-2.8
200408,64.1,-5.8
200409,65.7,4.7
200410,50.1,1.2
200411,36.8,4.9
200412,22.6,4.9
200501,14.3,2.4
200502,25.4,8.1
200503,30.5,0.2
200504,50.4,5.0
200505,54.9,-3.2
200506,72.1,4.3
200507,73.7,1.1
200508,68.9,-1.0
200509,65.3,4.3
200510,50.9,2.0
200511,36.2,4.3
200512,16.6,-1.1
200601,26.9,15.0
200602,18.6,1.3
200603,31.5,1.2
200604,51.9,6.5
200605,59.7,1.6
200606,69.3,1.5
200607,75.2,2.6
200608,70.6,0.7
200609,58.4,-2.6
200610,45.9,-3.0
200611,35.5,3.6
200612,27.8,10.1
200701,17.8,5.9
200702,10.8,-6.5
200703,36.0,5.7
200704,44.7,-0.7
200705,63.1,5.0
200706,70.2,2.4
200707,73.2,0.6
200708,69.8,-0.1
200709,63.5,2.5
200710,53.0,4.1
200711,33.7,1.8
200712,14.9,-2.8
200801,11.1,-0.8
200802,13.9,-3.4
200803,27.9,-2.4
200804,42.6,-2.8
200805,55.8,-2.3
200806,67.0,-0.8
200807,72.6,0.0
200808,69.1,-0.8
200809,61.9,0.9
200810,48.9,0.0
200811,33.7,1.8
200812,11.6,-6.1
200901,7.3,-4.6
200902,20.5,3.2
200903,31.0,0.7
200904,45.7,0.3
200905,58.5,0.4
200906,66.2,-1.6
200907,67.4,-5.2
200908,67.2,-2.7
200909,64.6,3.6
200910,42.6,-6.3
200911,40.8,8.9
200912,15.6,-2.1
201001,9.0,-2.9
201002,13.6,-3.7
201003,36.7,6.4
201004,54.1,8.7
201005,59.2,1.1
201006,68.0,0.2
201007,73.5,0.9
201008,73.9,4.0
201009,59.4,-1.6
201010,52.1,3.2
201011,33.2,1.3
201012,13.9,-3.8
201101,8.8,-3.1
201102,16.1,-1.2
201103,26.9,-3.4
201104,44.6,-0.8
201105,57.0,-1.1
201106,68.2,0.4
201107,76.7,4.1
201108,70.5,0.6
201109,60.6,-0.4
201110,52.8,3.9
201111,36.6,4.7
201112,25.4,7.7
201201,22.7,10.8
201202,26.6,9.3
201203,46.9,16.6
201204,49.6,4.2
201205,63.0,4.9
201206,70.5,2.7
201207,78.3,5.7
