Nicollet County, Minnesota, Average Temperature
201208,69.4,-0.5
201209,60.8,-0.2
201210,46.5,-2.4
201211,35.6,3.7
201212,21.0,3.3
201301,15.8,3.9
201302,17.3,0.0
201303,24.4,-5.9
201304,38.5,-6.9
201305,56.1,-2.0
201306,67.4,-0.4
201307,72.4,-0.2
201308,70.5,0.6
201309,65.3,4.3
201310,48.2,-0.7
201311,30.6,-1.3
201312,11.7,-6.0
201401,8.3,-3.6
201402,8.1,-9.2
201403,24.7,-5.6
201404,43.2,-2.2
201405,57.4,-0.7
201406,69.0,1.2
201407,69.6,-3.0
201408,71.0,1.1
201409,61.7,0.7
201410,48.7,-0.2
201411,24.3,-7.6
201412,23.5,5.8
201501,17.8,5.9
201502,11.3,-6.0
201503,34.2,3.9
201504,48.1,2.7
201505,57.3,-0.8
201506,68.2,0.4
201507,70.8,-1.8
201508,67.7,-2.2
201509,66.3,5.3
201510,50.5,1.6
201511,38.6,6.7
201512,26.7,9.0
201601,15.9,4.0
201602,24.7,7.4
201603,39.4,9.1
201604,48.4,3.0
201605,59.2,1.1
201606,70.3,2.5
201607,72.2,-0.4
201608,70.4,0.5
201609,64.5,3.5
201610,51.3,2.4
201611,42.6,10.7
201612,17.9,0.2
201701,19.2,7.3
201702,30.9,13.6
201703,32.5,2.2
201704,48.8,3.4
201705,56.9,-1.2
201706,69.4,1.6
201707,72.6,0.0
201708,66.0,-3.9
201709,64.8,3.8
201710,50.0,1.1
201711,32.4,0.5
201712,19.2,1.5
201801,14.6,2.7
201802,14.0,-3.3
201803,30.7,0.4
201804,34.5,-10.9
201805,65.9,7.8
201806,71.3,3.5
201807,73.0,0.4
201808,70.5,0.6
201809,64.5,3.5
201810,45.1,-3.8
201811,26.7,-5.2
201812,24.0,6.3
201901,13.1,1.2
201902,8.2,-9.1
201903,26.1,-4.2
201904,45.9,0.5
201905,54.1,-4.0
201906,67.7,-0.1
201907,72.2,-0.4
201908,68.0,-1.9
201909,65.3,4.3
201910,45.9,-3.0
201911,29.3,-2.6
201912,19.9,2.2
202001,18.9,7.0
