Oklahoma County, Oklahoma, Average Temperature
201208,82.9,1.3
201209,75.1,1.3
201210,60.5,-1.7
201211,53.4,4.5
201212,42.5,3.3
201301,40.7,4.2
201302,41.6,0.2
201303,48.7,-1.0
201304,54.9,-5.1
201305,66.2,-2.4
201306,77.7,0.3
201307,80.1,-2.2
201308,80.7,-0.9
201309,76.4,2.6
201310,61.4,-0.8
201311,47.7,-1.2
201312,35.3,-3.9
201401,37.0,0.5
201402,36.9,-4.5
201403,47.0,-2.7
201404,60.8,0.8
201405,70.1,1.5
201406,77.7,0.3
201407,79.1,-3.2
201408,81.9,0.3
201409,74.9,1.1
201410,66.3,4.1
201411,45.3,-3.6
201412,42.4,3.2
201501,38.7,2.2
201502,38.3,-3.1
201503,52.4,2.7
201504,62.1,2.1
201505,66.8,-1.8
201506,79.1,1.7
201507,82.0,-0.3
201508,79.7,-1.9
201509,77.6,3.8
201510,63.9,1.7
201511,52.0,3.1
201512,45.4,6.2
201601,38.5,2.0
201602,48.4,7.0
201603,55.5,5.8
201604,62.1,2.1
201605,67.1,-1.5
201606,79.8,2.4
201607,83.7,1.4
201608,81.9,0.3
201609,76.0,2.2
201610,68.2,6.0
201611,56.7,7.8
201612,38.9,-0.3
201701,41.0,4.5
201702,51.4,10.0
201703,57.4,7.7
201704,61.5,1.5
201705,67.8,-0.8
201706,78.3,0.9
201707,83.6,1.3
201708,77.6,-4.0
201709,74.0,0.2
201710,63.1,0.9
201711,53.7,4.8
201712,40.5,1.3
201801,37.8,1.3
201802,40.7,-0.7
201803,53.5,3.8
201804,54.4,-5.6
201805,75.3,6.7
201806,80.1,2.7
201807,82.4,0.1
201808,80.4,-1.2
201809,74.0,0.2
201810,60.1,-2.1
201811,45.4,-3.5
201812,40.9,1.7
201901,38.3,1.8
201902,39.6,-1.8
201903,47.3,-2.4
201904,61.4,1.4
201905,67.4,-1.2
201906,75.7,-1.7
201907,81.8,-0.5
201908,82.8,1.2
201909,80.0,6.2
201910,58.0,-4.2
201911,47.6,-1.3
201912,43.5,4.3
202001,42.9,6.4
