Darlington County, South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,42.5,-1.4
200002,48.9,2.9
200003,57.2,3.8
200004,60.6,-1.2
200005,73.4,3.1
200006,78.3,1.1
200007,78.8,-1.2
200008,78.4,-0.4
200009,72.0,-1.6
200010,61.6,-1.2
200011,51.1,-1.4
200012,38.0,-7.0
200101,43.0,-0.9
200102,50.4,4.4
200103,51.4,-2.0
200104,63.1,1.3
200105,70.5,0.2
200106,77.2,0.0
200107,78.0,-2.0
200108,80.1,1.3
200109,70.8,-2.8
200110,60.1,-2.7
200111,58.9,6.4
200112,52.0,7.0
200201,46.0,2.1
200202,47.8,1.8
200203,55.4,2.0
200204,67.7,5.9
200205,68.0,-2.3
200206,77.8,0.6
200207,82.4,2.4
200208,79.9,1.1
200209,75.4,1.8
200210,66.4,3.6
200211,51.4,-1.1
200212,43.0,-2.0
200301,41.0,-2.9
200302,45.7,-0.3
200303,56.3,2.9
200304,60.7,-1.1
200305,69.8,-0.5
200306,76.4,-0.8
200307,79.6,-0.4
200308,80.1,1.3
200309,72.3,-1.3
200310,62.4,-0.4
200311,58.4,5.9
200312,42.2,-2.8
200401,41.7,-2.2
200402,43.6,-2.4
200403,56.7,3.3
200404,62.5,0.7
200405,75.0,4.7
200406,79.2,2.0
200407,80.1,0.1
200408,76.6,-2.2
200409,73.3,-0.3
200410,65.6,2.8
200411,56.7,4.2
200412,45.0,0.0
200501,47.3,3.4
200502,48.3,2.3
200503,52.3,-1.1
200504,60.7,-1.1
200505,66.6,-3.7
200506,76.2,-1.0
200507,81.9,1.9
200508,80.4,1.6
200509,77.5,3.9
200510,64.3,1.5
200511,55.4,2.9
200512,43.8,-1.2
200601,50.1,6.2
200602,45.2,-0.8
200603,54.0,0.6
200604,65.9,4.1
200605,68.3,-2.0
200606,76.4,-0.8
200607,80.6,0.6
200608,81.0,2.2
200609,72.0,-1.6
200610,60.8,-2.0
200611,54.6,2.1
200612,50.8,5.8
200701,47.8,3.9
200702,43.9,-2.1
200703,57.5,4.1
200704,60.6,-1.2
200705,68.7,-1.6
200706,77.0,-0.2
200707,78.6,-1.4
200708,84.3,5.5
200709,75.6,2.0
200710,69.0,6.2
200711,53.0,0.5
200712,52.3,7.3
200801,43.6,-0.3
200802,50.8,4.8
200803,54.7,1.3
200804,62.1,0.3
200805,68.7,-1.6
200806,80.5,3.3
200807,79.7,-0.3
200808,78.6,-0.2
200809,73.3,-0.3
200810,60.8,-2.0
200811,50.1,-2.4
200812,51.2,6.2
200901,43.1,-0.8
200902,46.2,0.2
200903,53.6,0.2
200904,62.0,0.2
200905,71.3,1.0
200906,78.8,1.6
200907,79.1,-0.9
200908,80.3,1.5
200909,73.6,0.0
200910,61.6,-1.2
200911,55.3,2.8
200912,44.4,-0.6
201001,40.1,-3.8
201002,40.4,-5.6
201003,52.4,-1.0
201004,64.7,2.9
201005,73.7,3.4
201006,82.2,5.0
201007,82.1,2.1
201008,81.8,3.0
201009,77.1,3.5
201010,63.9,1.1
201011,53.5,1.0
201012,37.2,-7.8
201101,39.4,-4.5
201102,49.9,3.9
201103,55.4,2.0
201104,64.7,2.9
201105,71.6,1.3
201106,81.4,4.2
201107,83.1,3.1
201108,81.2,2.4
201109,74.1,0.5
201110,61.0,-1.8
201111,55.2,2.7
201112,50.5,5.5
201201,47.7,3.8
201202,49.8,3.8
201203,63.4,10.0
201204,63.3,1.5
201205,73.0,2.7
201206,75.0,-2.2
201207,83.7,3.7
201208,78.2,-0.6
201209,73.6,0.0
201210,63.2,0.4
201211,49.4,-3.1
201212,52.0,7.0
201301,49.3,5.4
201302,46.3,0.3
201303,48.3,-5.1
201304,62.6,0.8
201305,68.3,-2.0
201306,77.9,0.7
201307,79.9,-0.1
201308,77.8,-1.0
201309,73.6,0.0
201310,64.0,1.2
201311,51.5,-1.0
201312,50.0,5.0
201401,39.7,-4.2
201402,47.1,1.1
201403,48.6,-4.8
201404,63.7,1.9
201405,72.3,2.0
201406,79.4,2.2
201407,80.1,0.1
201408,78.3,-0.5
201409,74.5,0.9
201410,65.2,2.4
201411,48.9,-3.6
201412,48.7,3.7
201501,43.0,-0.9
201502,40.1,-5.9
201503,56.0,2.6
201504,64.7,2.9
201505,72.0,1.7
201506,81.6,4.4
201507,83.1,3.1
201508,79.9,1.1
201509,75.6,2.0
201510,63.3,0.5
201511,58.2,5.7
201512,58.7,13.7
201601,42.5,-1.4
201602,47.6,1.6
201603,60.6,7.2
201604,62.3,0.5
201605,70.1,-0.2
201606,79.8,2.6
201607,83.7,3.7
201608,82.7,3.9
201609,77.4,3.8
201610,66.0,3.2
201611,54.9,2.4
201612,48.0,3.0
201701,50.2,6.3
201702,55.4,9.4
201703,54.8,1.4
201704,67.1,5.3
201705,71.7,1.4
201706,77.4,0.2
201707,81.6,1.6
201708,79.9,1.1
201709,74.5,0.9
201710,66.1,3.3
201711,53.3,0.8
201712,46.9,1.9
201801,39.3,-4.6
201802,56.9,10.9
201803,51.0,-2.4
201804,60.0,-1.8
201805,74.6,4.3
201806,81.4,4.2
201807,81.1,1.1
201808,81.0,2.2
201809,80.4,6.8
201810,66.5,3.7
201811,51.6,-0.9
201812,48.9,3.9
201901,46.7,2.8
201902,52.3,6.3
201903,53.3,-0.1
201904,64.1,2.3
201905,75.9,5.6
201906,78.3,1.1
201907,82.6,2.6
201908,81.0,2.2
201909,78.4,4.8
201910,69.1,6.3
201911,50.5,-2.0
201912,50.4,5.4
202001,51.4,7.5
