Albany County, Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.5,5.0
200002,29.1,7.0
200003,31.9,4.2
200004,40.7,4.3
200005,50.3,4.4
200006,57.2,1.6
200007,66.3,3.9
200008,65.7,5.1
200009,53.1,1.4
200010,42.7,1.4
200011,19.7,-9.0
200012,19.6,-1.6
200101,19.9,0.4
200102,21.8,-0.3
200103,30.4,2.7
200104,39.3,2.9
200105,48.6,2.7
200106,58.9,3.3
200107,67.1,4.7
200108,64.4,3.8
200109,56.3,4.6
200110,42.9,1.6
200111,33.2,4.5
200112,22.6,1.4
200201,20.4,0.9
200202,22.4,0.3
200203,24.5,-3.2
200204,40.4,4.0
200205,46.5,0.6
200206,60.8,5.2
200207,67.3,4.9
200208,61.2,0.6
200209,54.1,2.4
200210,36.4,-4.9
200211,28.1,-0.6
200212,25.2,4.0
200301,29.7,10.2
200302,19.9,-2.2
200303,31.1,3.4
200304,40.3,3.9
200305,48.2,2.3
200306,53.6,-2.0
200307,67.9,5.5
200308,64.5,3.9
200309,50.9,-0.8
200310,46.2,4.9
200311,26.5,-2.2
200312,25.1,3.9
200401,23.6,4.1
200402,22.4,0.3
200403,35.9,8.2
200404,39.6,3.2
200405,48.6,2.7
200406,54.5,-1.1
200407,61.8,-0.6
200408,58.0,-2.6
200409,52.5,0.8
200410,42.5,1.2
200411,29.5,0.8
200412,25.1,3.9
200501,27.3,7.8
200502,25.9,3.8
200503,30.5,2.8
200504,38.1,1.7
200505,46.4,0.5
200506,55.7,0.1
200507,66.0,3.6
200508,60.7,0.1
200509,55.2,3.5
200510,44.1,2.8
200511,32.6,3.9
200512,21.0,-0.2
200601,25.9,6.4
200602,20.8,-1.3
200603,28.2,0.5
200604,41.8,5.4
200605,49.6,3.7
200606,61.4,5.8
200607,66.7,4.3
200608,62.4,1.8
200609,48.8,-2.9
200610,39.0,-2.3
200611,32.1,3.4
200612,23.4,2.2
200701,15.4,-4.1
200702,25.6,3.5
200703,36.0,8.3
200704,38.6,2.2
200705,48.5,2.6
200706,58.5,2.9
200707,66.7,4.3
200708,64.3,3.7
200709,54.1,2.4
200710,43.4,2.1
200711,33.7,5.0
200712,18.9,-2.3
200801,17.3,-2.2
200802,22.6,0.5
200803,27.4,-0.3
200804,34.7,-1.7
200805,44.6,-1.3
200806,54.8,-0.8
200807,64.8,2.4
200808,61.5,0.9
200809,51.5,-0.2
200810,42.5,1.2
200811,34.5,5.8
200812,20.9,-0.3
200901,24.5,5.0
200902,27.5,5.4
200903,31.2,3.5
200904,36.1,-0.3
200905,48.5,2.6
200906,54.3,-1.3
200907,61.0,-1.4
200908,59.4,-1.2
200909,53.9,2.2
200910,34.0,-7.3
200911,32.7,4.0
200912,15.1,-6.1
201001,22.1,2.6
201002,19.0,-3.1
201003,30.6,2.9
201004,37.1,0.7
201005,42.8,-3.1
201006,56.5,0.9
201007,63.1,0.7
201008,62.0,1.4
201009,55.8,4.1
201010,45.5,4.2
201011,29.1,0.4
201012,25.7,4.5
201101,20.9,1.4
201102,18.1,-4.0
201103,32.2,4.5
201104,36.4,0.0
201105,42.5,-3.4
201106,55.7,0.1
201107,65.4,3.0
201108,65.0,4.4
201109,54.1,2.4
201110,43.0,1.7
201111,29.5,0.8
201112,19.7,-1.5
201201,25.7,6.2
201202,21.1,-1.0
201203,38.5,10.8
201204,43.5,7.1
201205,49.2,3.3
201206,62.8,7.2
201207,67.3,4.9
201208,63.9,3.3
201209,55.6,3.9
201210,40.8,-0.5
201211,37.0,8.3
201212,23.2,2.0
201301,20.7,1.2
201302,21.2,-0.9
201303,30.3,2.6
201304,32.1,-4.3
201305,47.9,2.0
201306,60.2,4.6
201307,64.7,2.3
201308,63.9,3.3
201309,56.0,4.3
201310,38.2,-3.1
201311,32.0,3.3
201312,20.2,-1.0
201401,22.7,3.2
201402,22.0,-0.1
201403,31.9,4.2
201404,38.3,1.9
201405,47.3,1.4
201406,55.3,-0.3
201407,63.8,1.4
201408,60.1,-0.5
201409,55.0,3.3
201410,46.3,5.0
201411,28.2,-0.5
201412,24.9,3.7
201501,26.7,7.2
201502,27.2,5.1
201503,36.6,8.9
201504,39.3,2.9
201505,44.9,-1.0
201506,60.6,5.0
201507,61.8,-0.6
201508,62.2,1.6
201509,58.1,6.4
201510,48.2,6.9
201511,29.8,1.1
201512,21.9,0.7
201601,21.8,2.3
201602,28.8,6.7
201603,32.0,4.3
201604,38.3,1.9
201605,44.9,-1.0
201606,61.6,6.0
201607,65.0,2.6
201608,60.6,0.0
201609,54.5,2.8
201610,47.1,5.8
201611,36.7,8.0
201612,20.5,-0.7
201701,19.2,-0.3
201702,29.2,7.1
201703,38.0,10.3
201704,38.5,2.1
201705,46.4,0.5
201706,58.2,2.6
201707,65.8,3.4
201708,60.2,-0.4
201709,53.1,1.4
201710,39.8,-1.5
201711,36.9,8.2
201712,25.7,4.5
201801,27.2,7.7
201802,21.8,-0.3
201803,31.9,4.2
201804,38.9,2.5
201805,50.9,5.0
201806,59.8,4.2
201807,64.2,1.8
201808,61.1,0.5
201809,57.2,5.5
201810,39.9,-1.4
201811,27.6,-1.1
201812,21.6,0.4
201901,22.3,2.8
201902,22.2,0.1
201903,26.5,-1.2
201904,40.1,3.7
201905,42.5,-3.4
201906,55.0,-0.6
201907,64.6,2.2
201908,63.3,2.7
201909,56.9,5.2
201910,34.2,-7.1
201911,29.9,1.2
201912,23.8,2.6
202001,24.4,4.9
