Coffee County, Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,38.5,0.8
200002,45.5,5.2
200003,52.1,3.6
200004,54.7,-2.5
200005,68.2,2.8
200006,73.5,0.4
200007,76.7,0.4
200008,75.8,0.5
200009,68.3,-1.4
200010,60.5,2.1
200011,46.8,-0.5
200012,31.4,-8.3
200101,34.7,-3.0
200102,44.9,4.6
200103,44.3,-4.2
200104,60.6,3.4
200105,66.1,0.7
200106,71.2,-1.9
200107,76.2,-0.1
200108,75.3,0.0
200109,66.7,-3.0
200110,55.7,-2.7
200111,53.1,5.8
200112,44.4,4.7
200201,40.6,2.9
200202,39.9,-0.4
200203,48.6,0.1
200204,60.4,3.2
200205,63.5,-1.9
200206,73.9,0.8
200207,78.3,2.0
200208,77.3,2.0
200209,72.9,3.2
200210,61.0,2.6
200211,44.8,-2.5
200212,39.4,-0.3
200301,32.4,-5.3
200302,39.8,-0.5
200303,51.0,2.5
200304,59.0,1.8
200305,65.8,0.4
200306,70.2,-2.9
200307,75.3,-1.0
200308,76.9,1.6
200309,68.1,-1.6
200310,57.8,-0.6
200311,53.2,5.9
200312,39.0,-0.7
200401,37.6,-0.1
200402,39.6,-0.7
200403,52.9,4.4
200404,56.5,-0.7
200405,69.6,4.2
200406,73.7,0.6
200407,74.9,-1.4
200408,71.6,-3.7
200409,69.2,-0.5
200410,63.2,4.8
200411,52.9,5.6
200412,39.0,-0.7
200501,43.5,5.8
200502,44.6,4.3
200503,46.4,-2.1
200504,57.5,0.3
200505,62.0,-3.4
200506,73.3,0.2
200507,77.9,1.6
200508,78.2,2.9
200509,71.6,1.9
200510,58.4,0.0
200511,50.0,2.7
200512,36.4,-3.3
200601,45.4,7.7
200602,38.9,-1.4
200603,49.4,0.9
200604,62.8,5.6
200605,64.6,-0.8
200606,72.6,-0.5
200607,78.0,1.7
200608,79.5,4.2
200609,67.3,-2.4
200610,55.6,-2.8
200611,48.1,0.8
200612,43.1,3.4
200701,40.3,2.6
200702,35.5,-4.8
200703,55.8,7.3
200704,54.3,-2.9
200705,67.5,2.1
200706,75.0,1.9
200707,75.8,-0.5
200708,81.9,6.6
200709,72.4,2.7
200710,62.8,4.4
200711,47.8,0.5
200712,45.9,6.2
200801,36.5,-1.2
200802,42.9,2.6
200803,49.3,0.8
200804,56.8,-0.4
200805,64.3,-1.1
200806,74.6,1.5
200807,76.2,-0.1
200808,74.6,-0.7
200809,71.0,1.3
200810,57.7,-0.7
200811,44.6,-2.7
200812,41.1,1.4
200901,35.7,-2.0
200902,42.3,2.0
200903,50.4,1.9
200904,56.3,-0.9
200905,66.2,0.8
200906,75.4,2.3
200907,73.4,-2.9
200908,74.5,-0.8
200909,70.0,0.3
200910,56.0,-2.4
200911,49.6,2.3
200912,38.7,-1.0
201001,32.4,-5.3
201002,33.1,-7.2
201003,46.3,-2.2
201004,59.9,2.7
201005,68.3,2.9
201006,77.4,4.3
201007,79.0,2.7
201008,79.3,4.0
201009,71.3,1.6
201010,58.6,0.2
201011,50.2,2.9
201012,32.7,-7.0
201101,33.9,-3.8
201102,44.2,3.9
201103,50.5,2.0
201104,60.6,3.4
201105,65.0,-0.4
201106,76.0,2.9
201107,79.0,2.7
201108,76.7,1.4
201109,67.0,-2.7
201110,55.9,-2.5
201111,50.8,3.5
201112,43.2,3.5
201201,42.8,5.1
201202,44.6,4.3
201203,59.8,11.3
201204,59.5,2.3
201205,69.7,4.3
201206,73.6,0.5
201207,79.9,3.6
