Mecklenburg County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,39.8,-0.7
200002,46.2,3.4
200003,54.9,4.7
200004,57.5,-1.4
200005,69.9,2.2
200006,76.2,1.2
200007,77.0,-1.2
200008,76.6,-0.1
200009,69.3,-1.9
200010,60.2,0.1
200011,48.1,-1.6
200012,34.8,-6.9
200101,40.2,-0.3
200102,47.6,4.8
200103,48.2,-2.0
200104,61.2,2.3
200105,67.8,0.1
200106,75.3,0.3
200107,75.9,-2.3
200108,78.8,2.1
200109,68.3,-2.9
200110,57.6,-2.5
200111,55.7,6.0
200112,48.0,6.3
200201,42.7,2.2
200202,44.4,1.6
200203,51.6,1.4
200204,64.2,5.3
200205,65.9,-1.8
200206,76.7,1.7
200207,80.6,2.4
200208,78.3,1.6
200209,72.9,1.7
200210,61.9,1.8
200211,48.2,-1.5
200212,40.7,-1.0
200301,37.6,-2.9
200302,42.5,-0.3
200303,53.7,3.5
200304,58.1,-0.8
200305,66.5,-1.2
200306,73.0,-2.0
200307,77.0,-1.2
200308,78.0,1.3
200309,69.8,-1.4
200310,60.0,-0.1
200311,55.7,6.0
200312,40.4,-1.3
200401,39.5,-1.0
200402,39.8,-3.0
200403,53.6,3.4
200404,59.5,0.6
200405,72.6,4.9
200406,75.4,0.4
200407,78.1,-0.1
200408,74.9,-1.8
200409,70.4,-0.8
200410,62.8,2.7
200411,53.3,3.6
200412,42.0,0.3
200501,44.2,3.7
200502,44.9,2.1
200503,48.7,-1.5
200504,58.8,-0.1
200505,64.8,-2.9
200506,74.5,-0.5
200507,79.8,1.6
200508,79.1,2.4
200509,74.6,3.4
200510,62.0,1.9
200511,52.2,2.5
200512,40.2,-1.5
200601,47.1,6.6
200602,43.4,0.6
200603,51.7,1.5
200604,63.4,4.5
200605,65.6,-2.1
200606,74.7,-0.3
200607,78.7,0.5
200608,79.2,2.5
200609,69.7,-1.5
200610,57.9,-2.2
200611,51.7,2.0
200612,47.2,5.5
200701,44.5,4.0
200702,40.5,-2.3
200703,56.3,6.1
200704,58.6,-0.3
200705,67.5,-0.2
200706,75.9,0.9
200707,77.1,-1.1
200708,83.6,6.9
200709,74.6,3.4
200710,65.9,5.8
200711,50.0,0.3
200712,48.3,6.6
200801,40.2,-0.3
200802,46.5,3.7
200803,51.8,1.6
200804,58.3,-0.6
200805,66.6,-1.1
200806,78.9,3.9
200807,78.2,0.0
200808,77.1,0.4
200809,71.3,0.1
200810,58.3,-1.8
200811,47.0,-2.7
200812,46.5,4.8
200901,39.9,-0.6
200902,44.1,1.3
200903,50.3,0.1
200904,59.8,0.9
200905,68.6,0.9
200906,76.6,1.6
200907,76.8,-1.4
200908,78.5,1.8
200909,71.3,0.1
200910,59.0,-1.1
200911,52.8,3.1
200912,39.9,-1.8
201001,37.4,-3.1
201002,37.9,-4.9
201003,50.5,0.3
201004,62.6,3.7
201005,71.1,3.4
201006,79.8,4.8
201007,81.2,3.0
201008,80.3,3.6
201009,75.1,3.9
201010,61.8,1.7
201011,50.5,0.8
201012,34.6,-7.1
201101,37.0,-3.5
201102,47.3,4.5
201103,51.9,1.7
201104,62.6,3.7
201105,69.4,1.7
201106,78.3,3.3
201107,81.4,3.2
201108,79.0,2.3
201109,71.5,0.3
201110,58.5,-1.6
201111,52.1,2.4
201112,47.5,5.8
201201,44.6,4.1
201202,46.3,3.5
201203,60.6,10.4
201204,60.7,1.8
201205,71.0,3.3
201206,74.0,-1.0
201207,81.7,3.5
