Vanderburgh County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,33.3,1.2
200002,42.8,7.4
200003,49.0,3.8
200004,54.3,-1.5
200005,67.9,2.4
200006,73.9,-0.5
200007,75.5,-2.6
200008,76.4,0.2
200009,67.9,-1.5
200010,60.9,3.0
200011,43.4,-1.9
200012,23.8,-11.5
200101,30.5,-1.6
200102,39.2,3.8
200103,41.5,-3.7
200104,61.6,5.8
200105,67.8,2.3
200106,72.8,-1.6
200107,77.9,-0.2
200108,77.2,1.0
200109,67.7,-1.7
200110,57.3,-0.6
200111,51.6,6.3
200112,40.7,5.4
200201,38.1,6.0
200202,38.3,2.9
200203,43.8,-1.4
200204,58.9,3.1
200205,63.3,-2.2
200206,76.8,2.4
200207,80.7,2.6
200208,79.2,3.0
200209,73.6,4.2
200210,56.5,-1.4
200211,43.5,-1.8
200212,36.8,1.5
200301,27.4,-4.7
200302,31.5,-3.9
200303,46.9,1.7
200304,57.8,2.0
200305,64.9,-0.6
200306,70.1,-4.3
200307,77.6,-0.5
200308,77.4,1.2
200309,67.4,-2.0
200310,58.5,0.6
200311,50.8,5.5
200312,38.0,2.7
200401,30.5,-1.6
200402,35.7,0.3
200403,49.6,4.4
200404,57.5,1.7
200405,69.8,4.3
200406,74.1,-0.3
200407,75.6,-2.5
200408,72.7,-3.5
200409,70.1,0.7
200410,60.5,2.6
200411,50.4,5.1
200412,34.3,-1.0
200501,37.0,4.9
200502,40.7,5.3
200503,43.4,-1.8
200504,57.6,1.8
200505,64.1,-1.4
200506,75.8,1.4
200507,78.1,0.0
200508,79.7,3.5
200509,72.9,3.5
200510,58.9,1.0
200511,49.3,4.0
200512,32.4,-2.9
200601,42.7,10.6
200602,35.5,0.1
200603,46.7,1.5
200604,60.8,5.0
200605,64.3,-1.2
200606,74.6,0.2
200607,78.4,0.3
200608,78.2,2.0
200609,65.5,-3.9
200610,55.2,-2.7
200611,46.7,1.4
200612,40.5,5.2
200701,36.8,4.7
200702,29.0,-6.4
200703,53.2,8.0
200704,54.5,-1.3
200705,70.2,4.7
200706,75.7,1.3
200707,76.5,-1.6
200708,82.8,6.6
200709,73.4,4.0
200710,63.4,5.5
200711,46.1,0.8
200712,38.4,3.1
200801,32.3,0.2
200802,34.5,-0.9
200803,44.6,-0.6
200804,55.1,-0.7
200805,63.2,-2.3
200806,76.6,2.2
200807,77.4,-0.7
200808,75.6,-0.6
200809,71.6,2.2
200810,58.0,0.1
200811,44.2,-1.1
200812,34.8,-0.5
200901,28.3,-3.8
200902,38.0,2.6
200903,49.2,4.0
200904,56.8,1.0
200905,66.4,0.9
200906,76.8,2.4
200907,73.7,-4.4
200908,74.7,-1.5
200909,69.8,0.4
200910,54.2,-3.7
200911,50.5,5.2
200912,35.0,-0.3
201001,28.1,-4.0
201002,30.2,-5.2
201003,47.4,2.2
201004,61.7,5.9
201005,68.9,3.4
201006,79.4,5.0
201007,80.5,2.4
201008,80.8,4.6
201009,71.8,2.4
201010,60.0,2.1
201011,47.2,1.9
201012,29.7,-5.6
201101,28.8,-3.3
201102,37.8,2.4
201103,46.9,1.7
201104,59.3,3.5
201105,64.8,-0.7
201106,76.4,2.0
201107,82.1,4.0
201108,77.8,1.6
201109,67.4,-2.0
201110,57.5,-0.4
201111,49.8,4.5
201112,40.7,5.4
201201,37.4,5.3
201202,40.6,5.2
201203,59.0,13.8
201204,59.1,3.3
201205,72.1,6.6
201206,75.6,1.2
201207,84.2,6.1
