Forrest County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,51.1,2.3
200002,56.1,4.3
200003,62.0,3.7
200004,63.4,-2.0
200005,75.4,2.8
200006,78.9,-0.2
200007,83.1,2.0
200008,82.6,1.9
200009,76.1,-0.1
200010,65.5,-0.5
200011,54.5,-1.7
200012,42.9,-7.2
200101,44.5,-4.3
200102,56.9,5.1
200103,55.0,-3.3
200104,67.7,2.3
200105,73.0,0.4
200106,77.0,-2.1
200107,80.4,-0.7
200108,79.1,-1.6
200109,73.9,-2.3
200110,62.4,-3.6
200111,61.2,5.0
200112,53.8,3.7
200201,49.9,1.1
200202,48.5,-3.3
200203,57.7,-0.6
200204,68.3,2.9
200205,73.1,0.5
200206,78.1,-1.0
200207,80.7,-0.4
200208,79.7,-1.0
200209,78.5,2.3
200210,70.2,4.2
200211,54.1,-2.1
200212,49.1,-1.0
200301,44.6,-4.2
200302,51.1,-0.7
200303,59.1,0.8
200304,65.2,-0.2
200305,75.1,2.5
200306,78.7,-0.4
200307,79.5,-1.6
200308,80.6,-0.1
200309,74.8,-1.4
200310,65.8,-0.2
200311,60.5,4.3
200312,47.1,-3.0
200401,48.3,-0.5
200402,48.3,-3.5
200403,62.0,3.7
200404,64.3,-1.1
200405,72.6,0.0
200406,78.1,-1.0
200407,80.2,-0.9
200408,78.0,-2.7
200409,76.6,0.4
200410,72.1,6.1
200411,60.7,4.5
200412,47.8,-2.3
200501,53.5,4.7
200502,54.5,2.7
200503,55.8,-2.5
200504,63.5,-1.9
200505,71.4,-1.2
200506,78.5,-0.6
200507,81.3,0.2
200508,81.5,0.8
200509,80.0,3.8
200510,67.1,1.1
200511,58.6,2.4
200512,47.5,-2.6
200601,54.3,5.5
200602,50.5,-1.3
200603,60.1,1.8
200604,69.8,4.4
200605,73.4,0.8
200606,80.3,1.2
200607,81.9,0.8
200608,82.9,2.2
200609,75.1,-1.1
200610,66.0,0.0
200611,55.6,-0.6
200612,51.7,1.6
200701,49.1,0.3
200702,49.9,-1.9
200703,62.3,4.0
200704,63.3,-2.1
200705,72.6,0.0
200706,79.5,0.4
200707,79.8,-1.3
200708,84.3,3.6
200709,78.1,1.9
200710,67.9,1.9
200711,57.0,0.8
200712,56.2,6.1
200801,47.0,-1.8
200802,53.3,1.5
200803,58.2,-0.1
200804,65.6,0.2
200805,72.7,0.1
200806,79.8,0.7
200807,81.4,0.3
200808,79.1,-1.6
200809,75.2,-1.0
200810,64.4,-1.6
200811,55.1,-1.1
200812,52.8,2.7
200901,49.8,1.0
200902,53.0,1.2
200903,60.8,2.5
200904,64.5,-0.9
200905,73.2,0.6
200906,81.6,2.5
200907,81.4,0.3
200908,79.7,-1.0
200909,77.3,1.1
200910,65.9,-0.1
200911,55.4,-0.8
200912,47.6,-2.5
201001,43.8,-5.0
201002,43.6,-8.2
201003,54.0,-4.3
201004,65.9,0.5
201005,75.9,3.3
201006,81.6,2.5
201007,82.4,1.3
201008,83.0,2.3
201009,78.2,2.0
201010,67.3,1.3
201011,58.4,2.2
201012,45.0,-5.1
201101,45.7,-3.1
201102,52.3,0.5
201103,61.1,2.8
201104,68.2,2.8
201105,71.9,-0.7
201106,83.1,4.0
201107,82.4,1.3
201108,83.4,2.7
201109,73.9,-2.3
201110,63.0,-3.0
201111,57.6,1.4
201112,51.6,1.5
201201,54.3,5.5
201202,56.1,4.3
201203,66.9,8.6
201204,67.3,1.9
201205,75.0,2.4
201206,79.4,0.3
201207,81.2,0.1
