Williamson County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.1,2.4
200002,42.8,7.5
200003,49.2,4.2
200004,54.4,-1.0
200005,68.0,3.1
200006,73.2,-0.4
200007,75.3,-2.1
200008,77.4,1.8
200009,67.8,-1.1
200010,60.4,2.8
200011,42.8,-2.1
200012,23.5,-11.3
200101,30.8,-0.9
200102,39.2,3.9
200103,41.1,-3.9
200104,61.8,6.4
200105,66.8,1.9
200106,72.3,-1.3
200107,77.5,0.1
200108,76.9,1.3
200109,66.9,-2.0
200110,56.5,-1.1
200111,51.2,6.3
200112,40.0,5.2
200201,37.0,5.3
200202,38.8,3.5
200203,43.6,-1.4
200204,58.6,3.2
200205,63.0,-1.9
200206,75.6,2.0
200207,80.4,3.0
200208,78.3,2.7
200209,72.3,3.4
200210,55.8,-1.8
200211,43.4,-1.5
200212,35.2,0.4
200301,28.0,-3.7
200302,32.5,-2.8
200303,46.6,1.6
200304,57.3,1.9
200305,64.6,-0.3
200306,68.9,-4.7
200307,77.0,-0.4
200308,77.3,1.7
200309,66.0,-2.9
200310,57.2,-0.4
200311,49.5,4.6
200312,37.9,3.1
200401,31.2,-0.5
200402,34.8,-0.5
200403,50.6,5.6
200404,57.0,1.6
200405,69.2,4.3
200406,72.8,-0.8
200407,75.7,-1.7
200408,71.8,-3.8
200409,69.0,0.1
200410,60.0,2.4
200411,50.1,5.2
200412,34.0,-0.8
200501,37.8,6.1
200502,41.4,6.1
200503,43.8,-1.2
200504,57.7,2.3
200505,63.4,-1.5
200506,75.2,1.6
200507,77.7,0.3
200508,79.1,3.5
200509,72.5,3.6
200510,57.6,0.0
200511,49.0,4.1
200512,32.5,-2.3
200601,42.4,10.7
200602,35.5,0.2
200603,47.5,2.5
200604,61.8,6.4
200605,65.0,0.1
200606,74.3,0.7
200607,78.0,0.6
200608,77.6,2.0
200609,65.0,-3.9
200610,54.2,-3.4
200611,46.1,1.2
200612,39.9,5.1
200701,35.4,3.7
200702,30.5,-4.8
200703,54.0,9.0
200704,53.8,-1.6
200705,69.4,4.5
200706,74.8,1.2
200707,75.8,-1.6
200708,82.3,6.7
200709,72.6,3.7
200710,62.0,4.4
200711,45.9,1.0
200712,37.6,2.8
200801,32.6,0.9
200802,34.1,-1.2
200803,45.2,0.2
200804,54.3,-1.1
200805,62.8,-2.1
200806,75.9,2.3
200807,76.8,-0.6
200808,74.5,-1.1
200809,70.2,1.3
200810,57.1,-0.5
200811,43.2,-1.7
200812,34.3,-0.5
200901,29.4,-2.3
200902,38.5,3.2
200903,49.0,4.0
200904,55.9,0.5
200905,65.4,0.5
200906,76.5,2.9
200907,73.6,-3.8
200908,73.3,-2.3
200909,69.2,0.3
200910,53.5,-4.1
200911,50.2,5.3
200912,34.3,-0.5
201001,28.4,-3.3
201002,31.1,-4.2
201003,46.9,1.9
201004,61.2,5.8
201005,67.8,2.9
201006,78.8,5.2
201007,80.2,2.8
201008,79.4,3.8
201009,69.7,0.8
201010,58.2,0.6
201011,47.1,2.2
201012,29.4,-5.4
201101,29.0,-2.7
201102,36.8,1.5
201103,46.7,1.7
201104,59.6,4.2
201105,64.8,-0.1
201106,76.7,3.1
201107,81.8,4.4
201108,77.5,1.9
201109,66.4,-2.5
201110,57.0,-0.6
201111,49.3,4.4
201112,39.7,4.9
201201,37.7,6.0
201202,41.0,5.7
201203,59.6,14.6
201204,59.0,3.6
201205,70.9,6.0
201206,74.3,0.7
201207,84.1,6.7
201208,76.1,0.5
