Elkhart County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.1,0.3
200002,32.2,7.3
200003,43.5,8.1
200004,47.3,0.4
200005,61.2,3.0
200006,67.9,0.0
200007,69.6,-2.5
200008,70.1,0.3
200009,62.6,-0.4
200010,55.3,4.0
200011,37.8,-0.5
200012,16.2,-10.8
200101,24.2,1.4
200102,28.8,3.9
200103,34.1,-1.3
200104,52.2,5.3
200105,61.3,3.1
200106,66.8,-1.1
200107,71.6,-0.5
200108,71.8,2.0
200109,60.8,-2.2
200110,51.6,0.3
200111,46.8,8.5
200112,34.8,7.8
200201,32.4,9.6
200202,32.0,7.1
200203,33.7,-1.7
200204,49.3,2.4
200205,54.5,-3.7
200206,70.6,2.7
200207,75.2,3.1
200208,71.8,2.0
200209,67.3,4.3
200210,49.5,-1.8
200211,37.5,-0.8
200212,27.9,0.9
200301,18.9,-3.9
200302,22.6,-2.3
200303,37.5,2.1
200304,49.9,3.0
200305,56.7,-1.5
200306,66.1,-1.8
200307,71.0,-1.1
200308,71.7,1.9
200309,61.5,-1.5
200310,50.2,-1.1
200311,43.3,5.0
200312,31.4,4.4
200401,20.0,-2.8
200402,25.5,0.6
200403,40.8,5.4
200404,50.7,3.8
200405,61.8,3.6
200406,66.5,-1.4
200407,70.3,-1.8
200408,66.4,-3.4
200409,64.9,1.9
200410,51.9,0.6
200411,41.7,3.4
200412,28.4,1.4
200501,23.3,0.5
200502,29.6,4.7
200503,33.3,-2.1
200504,51.6,4.7
200505,56.5,-1.7
200506,73.3,5.4
200507,74.2,2.1
200508,72.1,2.3
200509,67.0,4.0
200510,53.0,1.7
200511,42.0,3.7
200512,23.5,-3.5
200601,35.8,13.0
200602,29.1,4.2
200603,37.4,2.0
200604,52.4,5.5
200605,58.0,-0.2
200606,68.1,0.2
200607,74.0,1.9
200608,70.8,1.0
200609,60.9,-2.1
200610,48.6,-2.7
200611,42.1,3.8
200612,35.3,8.3
200701,29.0,6.2
200702,16.8,-8.1
200703,42.3,6.9
200704,46.8,-0.1
200705,64.1,5.9
200706,70.6,2.7
200707,71.2,-0.9
200708,72.6,2.8
200709,66.1,3.1
200710,58.6,7.3
200711,39.2,0.9
200712,28.6,1.6
200801,25.1,2.3
200802,23.4,-1.5
200803,33.8,-1.6
200804,50.4,3.5
200805,56.0,-2.2
200806,69.6,1.7
200807,72.1,0.0
200808,69.8,0.0
200809,65.3,2.3
200810,50.8,-0.5
200811,38.0,-0.3
200812,25.3,-1.7
200901,15.6,-7.2
200902,28.5,3.6
200903,40.1,4.7
200904,48.6,1.7
200905,59.4,1.2
200906,68.5,0.6
200907,67.3,-4.8
200908,69.0,-0.8
200909,63.2,0.2
200910,48.4,-2.9
200911,44.0,5.7
200912,27.5,0.5
201001,22.2,-0.6
201002,25.0,0.1
201003,41.9,6.5
201004,54.2,7.3
201005,61.6,3.4
201006,70.7,2.8
201007,74.6,2.5
201008,73.5,3.7
201009,64.5,1.5
201010,54.2,2.9
201011,40.5,2.2
201012,23.6,-3.4
201101,20.6,-2.2
201102,24.7,-0.2
201103,36.1,0.7
201104,47.9,1.0
201105,60.5,2.3
201106,69.8,1.9
201107,76.4,4.3
201108,70.7,0.9
201109,61.3,-1.7
201110,52.5,1.2
201111,44.3,6.0
201112,34.2,7.2
201201,28.8,6.0
201202,31.9,7.0
201203,52.1,16.7
201204,49.5,2.6
201205,65.2,7.0
201206,70.4,2.5
201207,78.8,6.7
201208,69.2,-0.6
201209,62.6,-0.4
201210,50.4,-0.9
201211,38.6,0.3
201212,35.4,8.4
201301,27.2,4.4
201302,26.4,1.5
201303,31.9,-3.5
201304,46.7,-0.2
201305,63.0,4.8
201306,68.8,0.9
201307,71.5,-0.6
201308,69.6,-0.2
201309,64.8,1.8
201310,52.6,1.3
201311,37.4,-0.9
201312,25.4,-1.6
201401,15.5,-7.3
201402,17.4,-7.5
201403,28.5,-6.9
201404,48.4,1.5
201405,60.0,1.8
201406,71.0,3.1
201407,68.0,-4.1
201408,71.0,1.2
201409,62.3,-0.7
201410,51.1,-0.2
201411,33.4,-4.9
201412,32.2,5.2
201501,21.0,-1.8
201502,14.0,-10.9
201503,33.3,-2.1
201504,49.4,2.5
201505,62.6,4.4
201506,68.4,0.5
201507,69.9,-2.2
201508,69.2,-0.6
201509,67.4,4.4
201510,53.3,2.0
201511,44.0,5.7
201512,39.6,12.6
201601,24.6,1.8
201602,29.6,4.7
201603,42.8,7.4
201604,48.1,1.2
201605,58.8,0.6
201606,70.0,2.1
201607,73.5,1.4
201608,74.2,4.4
201609,67.8,4.8
201610,56.3,5.0
201611,45.3,7.0
201612,25.6,-1.4
201701,30.3,7.5
201702,37.8,12.9
201703,37.2,1.8
201704,53.0,6.1
201705,57.8,-0.4
201706,69.9,2.0
201707,72.0,-0.1
201708,67.9,-1.9
201709,65.7,2.7
201710,56.3,5.0
201711,39.2,0.9
201712,25.8,-1.2
201801,23.9,1.1
201802,29.1,4.2
201803,34.7,-0.7
201804,41.2,-5.7
201805,66.5,8.3
201806,70.6,2.7
201807,73.0,0.9
201808,72.6,2.8
201809,67.6,4.6
201810,51.9,0.6
201811,34.1,-4.2
201812,32.5,5.5
201901,21.8,-1.0
201902,27.2,2.3
201903,33.7,-1.7
201904,48.1,1.2
201905,58.4,0.2
201906,67.8,-0.1
201907,74.7,2.6
201908,69.8,0.0
201909,68.0,5.0
201910,52.1,0.8
201911,34.3,-4.0
201912,33.8,6.8
202001,31.1,8.3
