Marion County, Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,26.4,-0.3
200002,36.9,7.2
200003,45.6,5.8
200004,50.8,0.0
200005,64.5,2.9
200006,70.7,-0.2
200007,72.2,-2.7
200008,71.7,-0.9
200009,64.2,-1.8
200010,57.0,3.1
200011,40.2,-1.0
200012,19.1,-11.2
200101,27.8,1.1
200102,33.9,4.2
200103,37.5,-2.3
200104,57.3,6.5
200105,64.2,2.6
200106,69.4,-1.5
200107,74.0,-0.9
200108,74.1,1.5
200109,63.9,-2.1
200110,54.2,0.3
200111,49.0,7.8
200112,36.9,6.6
200201,34.4,7.7
200202,35.5,5.8
200203,38.7,-1.1
200204,53.7,2.9
200205,58.7,-2.9
200206,73.0,2.1
200207,77.1,2.2
200208,75.5,2.9
200209,69.6,3.6
200210,52.7,-1.2
200211,39.9,-1.3
200212,32.2,1.9
200301,21.4,-5.3
200302,25.0,-4.7
200303,42.3,2.5
200304,53.5,2.7
200305,60.8,-0.8
200306,67.9,-3.0
200307,73.2,-1.7
200308,73.8,1.2
200309,63.5,-2.5
200310,53.1,-0.8
200311,46.1,4.9
200312,33.6,3.3
200401,24.5,-2.2
200402,30.4,0.7
200403,44.0,4.2
200404,53.8,3.0
200405,66.4,4.8
200406,69.9,-1.0
200407,72.2,-2.7
200408,69.0,-3.6
200409,67.9,1.9
200410,55.0,1.1
200411,46.1,4.9
200412,30.6,0.3
200501,30.1,3.4
200502,35.6,5.9
200503,37.2,-2.6
200504,54.5,3.7
200505,59.5,-2.1
200506,73.7,2.8
200507,75.0,0.1
200508,75.0,2.4
200509,69.0,3.0
200510,54.9,1.0
200511,44.1,2.9
200512,26.2,-4.1
200601,39.1,12.4
200602,31.7,2.0
200603,40.0,0.2
200604,55.6,4.8
200605,60.2,-1.4
200606,69.6,-1.3
200607,75.8,0.9
200608,73.7,1.1
200609,62.7,-3.3
200610,51.2,-2.7
200611,44.5,3.3
200612,37.4,7.1
200701,32.0,5.3
200702,19.0,-10.7
200703,47.1,7.3
200704,49.6,-1.2
200705,66.7,5.1
200706,72.6,1.7
200707,72.4,-2.5
200708,77.9,5.3
200709,69.2,3.2
200710,60.2,6.3
200711,42.2,1.0
200712,32.6,2.3
200801,27.5,0.8
200802,28.3,-1.4
200803,38.5,-1.3
200804,52.1,1.3
200805,58.1,-3.5
200806,72.1,1.2
200807,73.6,-1.3
200808,71.6,-1.0
200809,67.8,1.8
200810,54.2,0.3
200811,40.2,-1.0
200812,29.2,-1.1
200901,20.9,-5.8
200902,32.0,2.3
200903,44.6,4.8
200904,51.6,0.8
200905,62.1,0.5
200906,71.8,0.9
200907,69.2,-5.7
200908,70.8,-1.8
200909,66.0,0.0
200910,50.0,-3.9
200911,45.8,4.6
200912,30.1,-0.2
201001,23.5,-3.2
201002,24.7,-5.0
201003,43.5,3.7
201004,57.9,7.1
201005,64.4,2.8
201006,74.5,3.6
201007,76.6,1.7
201008,76.2,3.6
201009,67.9,1.9
201010,55.8,1.9
201011,42.8,1.6
201012,24.0,-6.3
201101,23.1,-3.6
201102,31.9,2.2
201103,41.8,2.0
201104,53.4,2.6
201105,62.3,0.7
201106,72.3,1.4
201107,79.8,4.9
201108,73.8,1.2
201109,64.0,-2.0
201110,53.7,-0.2
201111,47.1,5.9
201112,36.4,6.1
201201,32.1,5.4
201202,35.5,5.8
201203,54.9,15.1
201204,52.4,1.6
201205,67.6,6.0
201206,72.4,1.5
201207,81.4,6.5
201208,72.3,-0.3
