Mercer County, New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.8,1.0
200002,35.8,4.9
200003,46.2,6.4
200004,50.5,0.7
200005,62.7,2.4
200006,70.8,1.7
200007,71.6,-2.4
200008,71.5,-0.5
200009,64.8,-0.5
200010,55.2,1.1
200011,44.0,0.7
200012,29.5,-3.6
200101,30.4,0.6
200102,35.6,4.7
200103,38.9,-0.9
200104,51.9,2.1
200105,62.3,2.0
200106,72.0,2.9
200107,72.0,-2.0
200108,76.1,4.1
200109,65.5,0.2
200110,56.2,2.1
200111,50.0,6.7
200112,42.2,9.1
200201,37.6,7.8
200202,39.2,8.3
200203,44.0,4.2
200204,53.8,4.0
200205,59.6,-0.7
200206,70.8,1.7
200207,76.9,2.9
200208,76.7,4.7
200209,68.4,3.1
200210,54.3,0.2
200211,43.5,0.2
200212,33.2,0.1
200301,26.6,-3.2
200302,28.7,-2.2
200303,41.8,2.0
200304,48.7,-1.1
200305,57.5,-2.8
200306,67.8,-1.3
200307,75.2,1.2
200308,75.9,3.9
200309,67.3,2.0
200310,53.1,-1.0
200311,48.9,5.6
200312,36.3,3.2
200401,24.9,-4.9
200402,33.7,2.8
200403,43.6,3.8
200404,52.3,2.5
200405,66.7,6.4
200406,69.8,0.7
200407,73.8,-0.2
200408,73.0,1.0
200409,68.0,2.7
200410,53.9,-0.2
200411,46.6,3.3
200412,35.7,2.6
200501,30.6,0.8
200502,34.7,3.8
200503,37.7,-2.1
200504,53.3,3.5
200505,57.4,-2.9
200506,73.2,4.1
200507,76.7,2.7
200508,77.0,5.0
200509,70.5,5.2
200510,56.4,2.3
200511,47.8,4.5
200512,32.8,-0.3
200601,39.0,9.2
200602,34.5,3.6
200603,42.5,2.7
200604,54.0,4.2
200605,62.2,1.9
200606,71.1,2.0
200607,77.4,3.4
200608,74.2,2.2
200609,64.5,-0.8
200610,53.6,-0.5
200611,49.9,6.6
200612,42.3,9.2
200701,37.1,7.3
200702,26.9,-4.0
200703,41.7,1.9
200704,48.8,-1.0
200705,63.8,3.5
200706,71.5,2.4
200707,74.1,0.1
200708,74.2,2.2
200709,68.6,3.3
200710,62.5,8.4
200711,43.5,0.2
200712,35.9,2.8
200801,35.0,5.2
200802,35.6,4.7
200803,42.6,2.8
200804,53.8,4.0
200805,58.7,-1.6
200806,73.7,4.6
200807,76.8,2.8
200808,71.6,-0.4
200809,67.8,2.5
200810,53.3,-0.8
200811,43.7,0.4
200812,36.7,3.6
200901,27.0,-2.8
200902,35.3,4.4
200903,41.4,1.6
200904,53.1,3.3
200905,62.2,1.9
200906,68.3,-0.8
200907,72.6,-1.4
200908,75.2,3.2
200909,64.8,-0.5
200910,53.4,-0.7
200911,49.6,6.3
200912,35.1,2.0
201001,32.0,2.2
201002,31.7,0.8
201003,47.3,7.5
201004,56.3,6.5
201005,64.8,4.5
201006,74.7,5.6
201007,79.4,5.4
201008,75.9,3.9
201009,70.0,4.7
201010,56.4,2.3
201011,45.3,2.0
201012,31.4,-1.7
201101,27.5,-2.3
201102,34.8,3.9
201103,42.0,2.2
201104,54.8,5.0
201105,64.7,4.4
201106,72.5,3.4
201107,79.3,5.3
201108,74.4,2.4
201109,69.4,4.1
201110,56.3,2.2
201111,49.3,6.0
201112,40.8,7.7
201201,35.9,6.1
201202,38.9,8.0
201203,50.6,10.8
201204,53.3,3.5
201205,65.9,5.6
201206,70.4,1.3
201207,78.0,4.0
201208,75.1,3.1
201209,67.3,2.0
201210,56.6,2.5
201211,41.2,-2.1
201212,40.6,7.5
201301,34.1,4.3
201302,32.9,2.0
201303,39.0,-0.8
201304,51.8,2.0
201305,61.2,0.9
201306,71.6,2.5
201307,78.2,4.2
201308,71.6,-0.4
201309,64.5,-0.8
201310,57.3,3.2
201311,43.1,-0.2
201312,35.7,2.6
201401,26.2,-3.6
201402,29.3,-1.6
201403,35.8,-4.0
201404,50.8,1.0
201405,62.3,2.0
201406,71.2,2.1
201407,74.6,0.6
201408,71.0,-1.0
201409,67.4,2.1
201410,56.9,2.8
201411,41.7,-1.6
201412,39.0,5.9
201501,28.0,-1.8
201502,22.7,-8.2
201503,36.1,-3.7
201504,52.4,2.6
201505,66.9,6.6
201506,71.0,1.9
201507,76.0,2.0
201508,74.9,2.9
201509,71.3,6.0
201510,54.8,0.7
201511,50.0,6.7
201512,48.6,15.5
201601,31.2,1.4
201602,35.9,5.0
201603,47.6,7.8
201604,51.1,1.3
201605,60.8,0.5
201606,71.4,2.3
201607,77.7,3.7
201608,77.1,5.1
201609,69.6,4.3
201610,56.5,2.4
201611,46.6,3.3
201612,36.6,3.5
201701,36.3,6.5
201702,40.6,9.7
201703,39.0,-0.8
201704,56.0,6.2
201705,60.3,0.0
201706,71.2,2.1
201707,76.0,2.0
201708,71.8,-0.2
201709,68.5,3.2
201710,60.7,6.6
201711,44.2,0.9
201712,33.3,0.2
201801,29.3,-0.5
201802,39.6,8.7
201803,38.7,-1.1
201804,48.2,-1.6
201805,65.8,5.5
201806,70.7,1.6
201807,76.6,2.6
201808,77.2,5.2
201809,70.2,4.9
201810,56.3,2.2
201811,42.1,-1.2
201812,38.1,5.0
201901,32.0,2.2
201902,35.4,4.5
201903,40.2,0.4
201904,55.6,5.8
201905,63.2,2.9
201906,71.0,1.9
201907,78.9,4.9
201908,75.4,3.4
201909,69.7,4.4
201910,58.4,4.3
201911,42.0,-1.3
201912,36.6,3.5
202001,38.0,8.2
