Caldwell County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,55.8,6.1
200002,61.2,7.9
200003,66.0,5.8
200004,68.2,0.2
200005,78.0,3.2
200006,80.8,-0.4
200007,85.5,1.5
200008,85.2,1.1
200009,80.7,1.9
200010,70.9,1.3
200011,57.1,-1.7
200012,46.4,-5.1
200101,48.3,-1.4
200102,56.7,3.4
200103,55.4,-4.8
200104,70.5,2.5
200105,76.0,1.2
200106,81.1,-0.1
200107,85.1,1.1
200108,84.8,0.7
200109,76.6,-2.2
200110,67.1,-2.5
200111,62.9,4.1
200112,53.7,2.2
200201,52.8,3.1
200202,50.5,-2.8
200203,58.8,-1.4
200204,73.3,5.3
200205,76.2,1.4
200206,81.1,-0.1
200207,81.5,-2.5
200208,83.8,-0.3
200209,78.2,-0.6
200210,69.3,-0.3
200211,56.7,-2.1
200212,53.1,1.6
200301,49.5,-0.2
200302,52.0,-1.3
200303,59.7,-0.5
200304,69.9,1.9
200305,79.5,4.7
200306,81.3,0.1
200307,82.1,-1.9
200308,84.0,-0.1
200309,76.4,-2.4
200310,70.1,0.5
200311,63.6,4.8
200312,52.6,1.1
200401,53.6,3.9
200402,51.2,-2.1
200403,65.8,5.6
200404,67.7,-0.3
200405,74.9,0.1
200406,79.6,-1.6
200407,81.8,-2.2
200408,82.3,-1.8
200409,78.8,0.0
200410,75.5,5.9
200411,61.2,2.4
200412,51.8,0.3
200501,55.8,6.1
200502,56.3,3.0
200503,60.9,0.7
200504,67.1,-0.9
200505,74.4,-0.4
200506,82.1,0.9
200507,84.2,0.2
200508,84.6,0.5
200509,83.7,4.9
200510,69.6,0.0
200511,64.1,5.3
200512,51.5,0.0
200601,56.8,7.1
200602,53.4,0.1
200603,65.9,5.7
200604,74.8,6.8
200605,77.5,2.7
200606,81.6,0.4
200607,84.6,0.6
200608,87.0,2.9
200609,78.4,-0.4
200610,71.0,1.4
200611,62.1,3.3
200612,53.6,2.1
200701,47.3,-2.4
200702,53.8,0.5
200703,65.2,5.0
200704,64.5,-3.5
200705,74.4,-0.4
200706,80.2,-1.0
200707,80.0,-4.0
200708,83.0,-1.1
200709,79.0,0.2
200710,71.2,1.6
200711,62.0,3.2
200712,54.6,3.1
200801,49.6,-0.1
200802,58.4,5.1
200803,62.1,1.9
200804,68.2,0.2
200805,77.9,3.1
200806,85.4,4.2
200807,84.0,0.0
200808,84.4,0.3
200809,77.8,-1.0
200810,69.2,-0.4
200811,61.2,2.4
200812,51.6,0.1
200901,51.9,2.2
200902,60.4,7.1
200903,63.4,3.2
200904,68.2,0.2
200905,77.2,2.4
200906,84.8,3.6
200907,87.4,3.4
200908,87.1,3.0
200909,77.5,-1.3
200910,68.3,-1.3
200911,59.9,1.1
200912,46.6,-4.9
201001,48.3,-1.4
201002,46.9,-6.4
201003,57.8,-2.4
201004,67.8,-0.2
201005,77.4,2.6
201006,82.6,1.4
201007,83.3,-0.7
201008,86.4,2.3
201009,79.9,1.1
201010,69.4,-0.2
201011,61.1,2.3
201012,53.0,1.5
201101,49.1,-0.6
201102,54.1,0.8
201103,65.3,5.1
201104,74.1,6.1
201105,77.5,2.7
201106,85.4,4.2
201107,87.1,3.1
201108,89.4,5.3
201109,82.0,3.2
201110,70.2,0.6
201111,62.1,3.3
201112,52.3,0.8
201201,54.4,4.7
201202,56.5,3.2
201203,66.1,5.9
201204,72.0,4.0
201205,76.8,2.0
201206,83.1,1.9
201207,83.6,-0.4
201208,85.6,1.5
201209,78.8,0.0
201210,68.9,-0.7
201211,62.3,3.5
201212,56.0,4.5
201301,52.4,2.7
201302,57.1,3.8
201303,60.4,0.2
201304,65.8,-2.2
201305,74.1,-0.7
201306,83.4,2.2
201307,83.9,-0.1
201308,85.5,1.4
201309,80.9,2.1
201310,70.1,0.5
201311,56.6,-2.2
201312,48.7,-2.8
201401,46.9,-2.8
201402,52.8,-0.5
201403,57.3,-2.9
201404,68.0,0.0
201405,73.2,-1.6
201406,82.1,0.9
201407,84.1,0.1
201408,86.4,2.3
201409,79.9,1.1
201410,73.6,4.0
201411,55.2,-3.6
201412,55.5,4.0
201501,48.0,-1.7
201502,51.4,-1.9
201503,59.9,-0.3
201504,71.0,3.0
201505,75.9,1.1
201506,81.1,-0.1
201507,85.3,1.3
201508,86.6,2.5
201509,81.5,2.7
201510,73.4,3.8
201511,62.1,3.3
201512,56.6,5.1
201601,51.0,1.3
201602,58.7,5.4
201603,64.9,4.7
201604,69.1,1.1
201605,74.7,-0.1
201606,82.4,1.2
201607,87.1,3.1
201608,83.9,-0.2
201609,81.3,2.5
201610,74.2,4.6
201611,66.5,7.7
201612,55.6,4.1
201701,57.1,7.4
201702,64.2,10.9
201703,67.7,7.5
201704,70.7,2.7
201705,75.5,0.7
201706,83.2,2.0
201707,87.3,3.3
201708,84.6,0.5
201709,78.9,0.1
201710,69.6,0.0
201711,65.5,6.7
201712,52.0,0.5
201801,47.0,-2.7
201802,55.2,1.9
201803,66.0,5.8
201804,65.3,-2.7
201805,78.9,4.1
201806,85.0,3.8
201807,85.4,1.4
201808,85.9,1.8
201809,79.4,0.6
201810,68.5,-1.1
201811,55.4,-3.4
201812,52.6,1.1
201901,51.4,1.7
201902,56.4,3.1
201903,60.2,0.0
201904,68.3,0.3
201905,76.9,2.1
201906,82.0,0.8
201907,85.0,1.0
201908,88.7,4.6
201909,85.9,7.1
201910,70.3,0.7
201911,57.4,-1.4
201912,54.2,2.7
202001,55.7,6.0
