Columbus County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,42.4,-2.4
200002,49.4,2.8
200003,56.7,3.1
200004,60.4,-0.9
200005,72.4,2.9
200006,77.4,1.3
200007,77.9,-1.3
200008,77.6,-0.6
200009,72.7,-0.8
200010,61.9,-1.2
200011,50.9,-2.3
200012,39.2,-6.6
200101,43.4,-1.4
200102,50.5,3.9
200103,51.6,-2.0
200104,62.4,1.1
200105,69.3,-0.2
200106,77.6,1.5
200107,77.5,-1.7
200108,79.1,0.9
200109,71.1,-2.4
200110,61.0,-2.1
200111,59.2,6.0
200112,52.4,6.6
200201,47.5,2.7
200202,48.4,1.8
200203,56.2,2.6
200204,66.7,5.4
200205,68.2,-1.3
200206,77.1,1.0
200207,81.0,1.8
200208,78.8,0.6
200209,76.4,2.9
200210,66.8,3.7
200211,52.6,-0.6
200212,43.8,-2.0
200301,40.6,-4.2
200302,46.5,-0.1
200303,57.5,3.9
200304,60.6,-0.7
200305,70.1,0.6
200306,76.6,0.5
200307,79.4,0.2
200308,79.9,1.7
200309,72.5,-1.0
200310,62.9,-0.2
200311,59.5,6.3
200312,43.5,-2.3
200401,42.0,-2.8
200402,44.4,-2.2
200403,56.0,2.4
200404,62.2,0.9
200405,74.0,4.5
200406,78.4,2.3
200407,80.4,1.2
200408,76.6,-1.6
200409,74.0,0.5
200410,65.4,2.3
200411,56.2,3.0
200412,45.3,-0.5
200501,46.9,2.1
200502,48.2,1.6
200503,51.9,-1.7
200504,60.1,-1.2
200505,66.5,-3.0
200506,76.6,0.5
200507,82.4,3.2
200508,80.7,2.5
200509,77.7,4.2
200510,65.3,2.2
200511,56.1,2.9
200512,44.5,-1.3
200601,50.3,5.5
200602,45.7,-0.9
200603,52.8,-0.8
200604,64.7,3.4
200605,67.8,-1.7
200606,75.6,-0.5
200607,80.3,1.1
200608,80.8,2.6
200609,71.9,-1.6
200610,61.3,-1.8
200611,54.9,1.7
200612,51.4,5.6
200701,48.6,3.8
200702,44.2,-2.4
200703,56.8,3.2
200704,60.3,-1.0
200705,68.5,-1.0
200706,76.5,0.4
200707,78.7,-0.5
200708,82.7,4.5
200709,75.7,2.2
200710,69.4,6.3
200711,53.4,0.2
200712,52.1,6.3
200801,44.4,-0.4
200802,51.2,4.6
200803,54.8,1.2
200804,62.6,1.3
200805,68.4,-1.1
200806,79.5,3.4
200807,79.1,-0.1
200808,78.2,0.0
200809,73.8,0.3
200810,61.4,-1.7
200811,51.3,-1.9
200812,51.9,6.1
200901,44.0,-0.8
200902,46.5,-0.1
200903,53.4,-0.2
200904,61.9,0.6
200905,71.0,1.5
200906,78.4,2.3
200907,78.5,-0.7
200908,79.8,1.6
200909,72.9,-0.6
200910,62.6,-0.5
200911,56.1,2.9
200912,45.8,0.0
201001,40.6,-4.2
201002,41.6,-5.0
201003,52.6,-1.0
201004,63.8,2.5
201005,72.7,3.2
201006,81.8,5.7
201007,81.6,2.4
201008,81.1,2.9
201009,76.5,3.0
201010,64.2,1.1
201011,53.6,0.4
201012,37.1,-8.7
201101,39.6,-5.2
201102,50.2,3.6
201103,54.8,1.2
201104,64.3,3.0
201105,70.7,1.2
201106,80.8,4.7
201107,82.4,3.2
201108,80.7,2.5
201109,74.0,0.5
201110,61.4,-1.7
201111,55.8,2.6
201112,50.8,5.0
201201,48.2,3.4
201202,50.2,3.6
201203,62.2,8.6
201204,62.8,1.5
201205,72.4,2.9
201206,74.3,-1.8
201207,83.1,3.9
201208,78.3,0.1
201209,73.3,-0.2
201210,63.2,0.1
201211,49.2,-4.0
201212,51.2,5.4
201301,49.3,4.5
201302,46.4,-0.2
201303,47.7,-5.9
201304,61.5,0.2
201305,67.9,-1.6
201306,76.8,0.7
201307,79.1,-0.1
201308,77.4,-0.8
201309,72.8,-0.7
201310,63.5,0.4
201311,51.9,-1.3
201312,49.9,4.1
201401,40.4,-4.4
201402,47.0,0.4
201403,48.6,-5.0
201404,63.2,1.9
201405,72.0,2.5
201406,78.3,2.2
201407,78.7,-0.5
201408,77.8,-0.4
201409,74.0,0.5
201410,65.1,2.0
201411,49.6,-3.6
201412,48.5,2.7
201501,44.0,-0.8
201502,39.7,-6.9
201503,55.1,1.5
201504,63.8,2.5
201505,70.8,1.3
201506,80.5,4.4
201507,81.7,2.5
201508,79.1,0.9
201509,75.5,2.0
201510,64.0,0.9
201511,58.3,5.1
201512,59.5,13.7
201601,42.6,-2.2
201602,47.8,1.2
201603,60.4,6.8
201604,61.5,0.2
201605,69.3,-0.2
201606,78.8,2.7
201607,82.8,3.6
201608,81.1,2.9
201609,76.5,3.0
201610,66.2,3.1
201611,53.9,0.7
201612,48.3,2.5
201701,50.2,5.4
201702,54.9,8.3
201703,53.5,-0.1
201704,67.0,5.7
201705,71.7,2.2
201706,76.5,0.4
201707,80.6,1.4
201708,78.8,0.6
201709,74.4,0.9
201710,66.3,3.2
201711,53.7,0.5
201712,46.9,1.1
201801,40.2,-4.6
201802,56.8,10.2
201803,50.3,-3.3
201804,59.4,-1.9
201805,73.7,4.2
201806,79.9,3.8
201807,79.1,-0.1
201808,80.2,2.0
201809,79.3,5.8
201810,66.4,3.3
201811,53.4,0.2
201812,49.4,3.6
201901,46.3,1.5
201902,52.6,6.0
201903,53.3,-0.3
201904,63.4,2.1
201905,74.7,5.2
201906,77.0,0.9
201907,80.9,1.7
201908,79.5,1.3
201909,76.6,3.1
201910,67.8,4.7
201911,50.6,-2.6
201912,50.2,4.4
202001,50.9,6.1
