Kanawha County, West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,31.9,-1.4
200002,42.2,6.6
200003,49.0,5.0
200004,53.4,-0.3
200005,65.8,2.8
200006,72.4,1.6
200007,71.5,-3.1
200008,72.3,-0.9
200009,65.8,-1.5
200010,57.8,1.9
200011,43.2,-1.5
200012,27.9,-7.9
200101,31.9,-1.4
200102,40.4,4.8
200103,40.0,-4.0
200104,57.8,4.1
200105,64.1,1.1
200106,70.4,-0.4
200107,72.5,-2.1
200108,75.3,2.1
200109,65.2,-2.1
200110,55.2,-0.7
200111,50.4,5.7
200112,42.5,6.7
200201,36.9,3.6
200202,39.0,3.4
200203,45.3,1.3
200204,57.1,3.4
200205,60.1,-2.9
200206,72.7,1.9
200207,76.0,1.4
200208,75.6,2.4
200209,70.6,3.3
200210,57.4,1.5
200211,43.6,-1.1
200212,35.8,0.0
200301,28.2,-5.1
200302,33.5,-2.1
200303,48.4,4.4
200304,56.4,2.7
200305,62.4,-0.6
200306,67.2,-3.6
200307,73.4,-1.2
200308,74.6,1.4
200309,66.1,-1.2
200310,54.9,-1.0
200311,49.9,5.2
200312,35.5,-0.3
200401,31.0,-2.3
200402,35.9,0.3
200403,47.9,3.9
200404,54.8,1.1
200405,68.6,5.6
200406,70.4,-0.4
200407,73.7,-0.9
200408,71.3,-1.9
200409,68.0,0.7
200410,58.1,2.2
200411,49.1,4.4
200412,36.7,0.9
200501,37.6,4.3
200502,39.1,3.5
200503,40.5,-3.5
200504,55.9,2.2
200505,58.9,-4.1
200506,72.9,2.1
200507,76.5,1.9
200508,76.8,3.6
200509,70.0,2.7
200510,57.1,1.2
200511,47.3,2.6
200512,32.1,-3.7
200601,41.6,8.3
200602,35.4,-0.2
200603,43.7,-0.3
200604,59.1,5.4
200605,60.5,-2.5
200606,69.1,-1.7
200607,74.7,0.1
200608,76.3,3.1
200609,64.2,-3.1
200610,53.6,-2.3
200611,47.2,2.5
200612,41.4,5.6
200701,38.4,5.1
200702,26.6,-9.0
200703,50.3,6.3
200704,53.0,-0.7
200705,65.9,2.9
200706,72.5,1.7
200707,72.8,-1.8
200708,78.6,5.4
200709,70.4,3.1
200710,62.1,6.2
200711,45.6,0.9
200712,39.9,4.1
200801,32.9,-0.4
200802,37.4,1.8
200803,45.0,1.0
200804,56.7,3.0
200805,59.7,-3.3
200806,72.4,1.6
200807,73.1,-1.5
200808,71.8,-1.4
200809,70.1,2.8
200810,55.0,-0.9
200811,42.4,-2.3
200812,37.2,1.4
200901,29.9,-3.4
200902,37.2,1.6
200903,46.9,2.9
200904,55.7,2.0
200905,63.6,0.6
200906,70.9,0.1
200907,70.4,-4.2
200908,73.5,0.3
200909,67.5,0.2
200910,53.8,-2.1
200911,48.7,4.0
200912,34.9,-0.9
201001,29.7,-3.6
201002,29.6,-6.0
201003,45.5,1.5
201004,58.4,4.7
201005,66.3,3.3
201006,75.0,4.2
201007,76.5,1.9
201008,76.3,3.1
201009,68.4,1.1
201010,56.9,1.0
201011,46.0,1.3
201012,27.6,-8.2
201101,29.8,-3.5
201102,40.0,4.4
201103,45.6,1.6
201104,58.5,4.8
201105,64.0,1.0
201106,72.4,1.6
201107,78.0,3.4
201108,74.5,1.3
201109,67.6,0.3
201110,54.4,-1.5
201111,49.7,5.0
201112,41.2,5.4
201201,37.8,4.5
201202,39.7,4.1
201203,55.8,11.8
201204,54.4,0.7
201205,68.4,5.4
201206,70.7,-0.1
201207,78.0,3.4
201208,73.7,0.5
