Tom Green County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,50.2,5.6
200002,56.9,7.9
200003,62.3,6.2
200004,68.7,3.9
200005,80.8,7.9
200006,79.0,-1.0
200007,86.0,3.2
200008,84.9,2.6
200009,77.7,2.2
200010,66.0,0.5
200011,48.9,-4.8
200012,42.3,-3.6
200101,42.7,-1.9
200102,50.5,1.5
200103,51.8,-4.3
200104,66.3,1.5
200105,75.2,2.3
200106,82.8,2.8
200107,86.4,3.6
200108,82.5,0.2
200109,73.8,-1.7
200110,64.9,-0.6
200111,57.9,4.2
200112,47.4,1.5
200201,47.8,3.2
200202,46.0,-3.0
200203,54.8,-1.3
200204,69.6,4.8
200205,75.5,2.6
200206,80.8,0.8
200207,80.1,-2.7
200208,83.7,1.4
200209,75.2,-0.3
200210,63.2,-2.3
200211,50.8,-2.9
200212,46.3,0.4
200301,45.4,0.8
200302,47.3,-1.7
200303,57.4,1.3
200304,67.0,2.2
200305,76.6,3.7
200306,77.9,-2.1
200307,81.6,-1.2
200308,82.8,0.5
200309,73.2,-2.3
200310,65.9,0.4
200311,56.5,2.8
200312,48.6,2.7
200401,48.8,4.2
200402,46.9,-2.1
200403,61.5,5.4
200404,63.5,-1.3
200405,74.2,1.3
200406,79.6,-0.4
200407,80.7,-2.1
200408,78.8,-3.5
200409,73.9,-1.6
200410,67.7,2.2
200411,54.0,0.3
200412,45.8,-0.1
200501,49.9,5.3
200502,50.2,1.2
200503,55.2,-0.9
200504,63.7,-1.1
200505,71.7,-1.2
200506,79.8,-0.2
200507,82.3,-0.5
200508,79.4,-2.9
200509,78.5,3.0
200510,64.7,-0.8
200511,56.9,3.2
200512,45.9,0.0
200601,51.5,6.9
200602,49.7,0.7
200603,60.8,4.7
200604,70.0,5.2
200605,76.6,3.7
200606,81.2,1.2
200607,83.6,0.8
200608,84.6,2.3
200609,73.0,-2.5
200610,66.0,0.5
200611,57.4,3.7
200612,47.3,1.4
200701,40.3,-4.3
200702,48.5,-0.5
200703,61.0,4.9
200704,61.7,-3.1
200705,70.1,-2.8
200706,77.3,-2.7
200707,77.8,-5.0
200708,80.4,-1.9
200709,76.3,0.8
200710,68.2,2.7
200711,57.0,3.3
200712,47.5,1.6
200801,44.1,-0.5
200802,52.2,3.2
200803,57.6,1.5
200804,64.8,0.0
200805,75.0,2.1
200806,83.8,3.8
200807,81.9,-0.9
200808,80.1,-2.2
200809,71.5,-4.0
200810,64.4,-1.1
200811,54.7,1.0
200812,47.0,1.1
200901,46.5,1.9
200902,54.7,5.7
200903,60.1,4.0
200904,64.5,-0.3
200905,73.4,0.5
200906,82.6,2.6
200907,83.0,0.2
200908,83.1,0.8
200909,72.9,-2.6
200910,63.5,-2.0
200911,55.7,2.0
200912,43.0,-2.9
201001,44.4,-0.2
201002,43.6,-5.4
201003,53.9,-2.2
201004,64.6,-0.2
201005,73.0,0.1
201006,83.0,3.0
201007,80.7,-2.1
201008,84.9,2.6
201009,77.5,2.0
201010,65.9,0.4
201011,55.7,2.0
201012,48.1,2.2
201101,43.2,-1.4
201102,47.7,-1.3
201103,61.7,5.6
201104,71.2,6.4
201105,75.0,2.1
201106,86.6,6.6
201107,87.7,4.9
201108,87.5,5.2
201109,76.6,1.1
201110,65.8,0.3
201111,55.2,1.5
201112,44.9,-1.0
201201,48.4,3.8
201202,50.8,1.8
201203,61.3,5.2
201204,70.8,6.0
201205,75.6,2.7
201206,83.3,3.3
201207,83.9,1.1
201208,84.2,1.9
