Montgomery County, Alabama, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,48.7,1.6
200002,53.9,3.9
200003,60.5,3.9
200004,61.4,-2.7
200005,75.4,3.5
200006,78.8,0.3
200007,83.5,2.7
200008,81.6,1.3
200009,74.4,-1.4
200010,65.4,0.2
200011,54.6,-0.5
200012,41.1,-6.9
200101,43.3,-3.8
200102,55.0,5.0
200103,53.2,-3.4
200104,65.5,1.4
200105,71.8,-0.1
200106,76.7,-1.8
200107,80.3,-0.5
200108,79.2,-1.1
200109,72.8,-3.0
200110,61.6,-3.6
200111,60.3,5.2
200112,52.4,4.4
200201,48.2,1.1
200202,47.6,-2.4
200203,57.0,0.4
200204,68.0,3.9
200205,72.1,0.2
200206,77.8,-0.7
200207,81.0,0.2
200208,80.6,0.3
200209,78.4,2.6
200210,69.3,4.1
200211,52.2,-2.9
200212,46.6,-1.4
200301,42.4,-4.7
200302,50.0,0.0
200303,59.8,3.2
200304,64.3,0.2
200305,73.8,1.9
200306,77.2,-1.3
200307,79.7,-1.1
200308,80.5,0.2
200309,74.4,-1.4
200310,64.9,-0.3
200311,59.3,4.2
200312,45.2,-2.8
200401,45.8,-1.3
200402,47.0,-3.0
200403,60.7,4.1
200404,62.3,-1.8
200405,74.1,2.2
200406,78.4,-0.1
200407,81.0,0.2
200408,78.0,-2.3
200409,75.0,-0.8
200410,69.9,4.7
200411,59.2,4.1
200412,46.5,-1.5
200501,50.1,3.0
200502,53.0,3.0
200503,54.9,-1.7
200504,62.0,-2.1
200505,69.4,-2.5
200506,77.9,-0.6
200507,81.4,0.6
200508,81.0,0.7
200509,78.5,2.7
200510,64.5,-0.7
200511,57.0,1.9
200512,45.0,-3.0
200601,52.7,5.6
200602,48.2,-1.8
200603,57.4,0.8
200604,67.9,3.8
200605,71.3,-0.6
200606,79.0,0.5
200607,82.9,2.1
200608,83.1,2.8
200609,74.1,-1.7
200610,63.4,-1.8
200611,53.6,-1.5
200612,51.4,3.4
200701,48.3,1.2
200702,46.8,-3.2
200703,60.7,4.1
200704,61.2,-2.9
200705,71.4,-0.5
200706,80.3,1.8
200707,80.8,0.0
200708,85.5,5.2
200709,76.9,1.1
200710,67.5,2.3
200711,54.1,-1.0
200712,52.3,4.3
200801,44.2,-2.9
200802,50.6,0.6
200803,56.4,-0.2
200804,64.2,0.1
200805,72.1,0.2
200806,80.0,1.5
200807,80.8,0.0
200808,79.4,-0.9
200809,76.0,0.2
200810,63.1,-2.1
200811,52.5,-2.6
200812,52.0,4.0
200901,47.2,0.1
200902,49.3,-0.7
200903,58.6,2.0
200904,63.0,-1.1
200905,72.9,1.0
200906,80.6,2.1
200907,79.0,-1.8
200908,79.2,-1.1
200909,76.7,0.9
200910,65.2,0.0
200911,53.5,-1.6
200912,46.1,-1.9
201001,41.7,-5.4
201002,42.2,-7.8
201003,52.1,-4.5
201004,64.5,0.4
201005,74.8,2.9
201006,82.0,3.5
201007,84.0,3.2
201008,84.0,3.7
201009,78.8,3.0
201010,65.4,0.2
201011,55.8,0.7
201012,41.0,-7.0
201101,41.9,-5.2
201102,51.1,1.1
201103,59.8,3.2
201104,67.2,3.1
201105,70.8,-1.1
201106,82.6,4.1
201107,82.5,1.7
201108,83.3,3.0
201109,74.0,-1.8
201110,61.6,-3.6
201111,56.3,1.2
201112,50.9,2.9
201201,50.9,3.8
201202,53.6,3.6
201203,65.6,9.0
201204,66.2,2.1
201205,73.8,1.9
201206,77.3,-1.2
201207,82.8,2.0
