Grand Forks County, North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,8.1,5.1
200002,22.6,13.7
200003,35.1,11.7
200004,41.2,0.1
200005,55.7,1.2
200006,61.9,-2.1
200007,69.9,0.7
200008,68.1,1.0
200009,56.4,-0.4
200010,46.4,2.2
200011,24.6,-0.9
200012,-0.8,-10.8
200101,13.2,10.2
200102,3.8,-5.1
200103,24.8,1.4
200104,42.8,1.7
200105,56.9,2.4
200106,64.1,0.1
200107,70.3,1.1
200108,69.9,2.8
200109,58.5,1.7
200110,42.2,-2.0
200111,37.2,11.7
200112,17.4,7.4
200201,14.3,11.3
200202,22.3,13.4
200203,17.5,-5.9
200204,38.7,-2.4
200205,48.3,-6.2
200206,67.0,3.0
200207,71.7,2.5
200208,66.6,-0.5
200209,60.5,3.7
200210,34.8,-9.4
200211,25.9,0.4
200212,19.0,9.0
200301,7.4,4.4
200302,4.8,-4.1
200303,22.0,-1.4
200304,43.6,2.5
200305,54.6,0.1
200306,64.3,0.3
200307,69.0,-0.2
200308,71.0,3.9
200309,57.1,0.3
200310,47.4,3.2
200311,20.7,-4.8
200312,18.1,8.1
200401,-0.2,-3.2
200402,12.4,3.5
200403,26.2,2.8
200404,41.6,0.5
200405,49.6,-4.9
200406,60.3,-3.7
200407,66.4,-2.8
200408,60.3,-6.8
200409,59.9,3.1
200410,45.1,0.9
200411,32.6,7.1
200412,14.7,4.7
200501,2.0,-1.0
200502,13.8,4.9
200503,24.6,1.2
200504,47.5,6.4
200505,52.6,-1.9
200506,66.3,2.3
200507,69.8,0.6
200508,66.1,-1.0
200509,60.6,3.8
200510,46.0,1.8
200511,30.2,4.7
200512,16.7,6.7
200601,22.1,19.1
200602,7.4,-1.5
200603,24.1,0.7
200604,48.8,7.7
200605,56.6,2.1
200606,66.7,2.7
200607,73.2,4.0
200608,68.3,1.2
200609,57.1,0.3
200610,41.1,-3.1
200611,28.3,2.8
200612,21.8,11.8
200701,10.0,7.0
200702,3.8,-5.1
200703,27.4,4.0
200704,41.5,0.4
200705,56.9,2.4
200706,67.0,3.0
200707,71.6,2.4
200708,65.3,-1.8
200709,58.2,1.4
200710,47.3,3.1
200711,28.5,3.0
200712,7.7,-2.3
200801,4.3,1.3
200802,4.4,-4.5
200803,21.5,-1.9
200804,40.0,-1.1
200805,50.8,-3.7
200806,62.2,-1.8
200807,68.0,-1.2
200808,67.7,0.6
200809,57.6,0.8
200810,45.4,1.2
200811,29.0,3.5
200812,1.8,-8.2
200901,-1.0,-4.0
200902,9.1,0.2
200903,20.3,-3.1
200904,39.7,-1.4
200905,50.8,-3.7
200906,62.4,-1.6
200907,65.3,-3.9
200908,64.6,-2.5
200909,64.1,7.3
200910,39.5,-4.7
200911,36.1,10.6
200912,7.2,-2.8
201001,7.4,4.4
201002,8.6,-0.3
201003,32.6,9.2
201004,49.6,8.5
201005,55.8,1.3
201006,64.3,0.3
201007,70.5,1.3
201008,69.8,2.7
201009,54.8,-2.0
201010,48.4,4.2
201011,27.1,1.6
201012,8.2,-1.8
201101,1.2,-1.8
201102,9.4,0.5
201103,19.3,-4.1
201104,40.7,-0.4
201105,52.7,-1.8
201106,63.8,-0.2
201107,71.9,2.7
201108,68.8,1.7
201109,58.8,2.0
201110,49.7,5.5
201111,31.0,5.5
201112,21.5,11.5
201201,16.3,13.3
201202,19.2,10.3
201203,38.4,15.0
201204,46.0,4.9
201205,57.3,2.8
201206,66.6,2.6
201207,74.5,5.3
