Lexington County, South Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,43.0,-1.3
200002,49.4,2.7
200003,57.9,4.1
200004,60.5,-1.5
200005,74.3,3.7
200006,79.0,1.6
200007,80.3,0.2
200008,79.5,0.6
200009,72.0,-1.8
200010,62.3,-0.7
200011,51.8,-1.1
200012,37.8,-7.6
200101,43.3,-1.0
200102,52.0,5.3
200103,52.3,-1.5
200104,64.4,2.4
200105,71.4,0.8
200106,77.0,-0.4
200107,78.8,-1.3
200108,80.5,1.6
200109,71.5,-2.3
200110,60.9,-2.1
200111,58.4,5.5
200112,51.0,5.6
200201,47.1,2.8
200202,47.6,0.9
200203,56.8,3.0
200204,68.0,6.0
200205,69.0,-1.6
200206,77.9,0.5
200207,82.4,2.3
200208,79.9,1.0
200209,75.6,1.8
200210,66.1,3.1
200211,51.5,-1.4
200212,43.6,-1.8
200301,41.7,-2.6
200302,46.5,-0.2
200303,56.7,2.9
200304,60.9,-1.1
200305,70.4,-0.2
200306,76.1,-1.3
200307,79.0,-1.1
200308,80.0,1.1
200309,72.2,-1.6
200310,63.0,0.0
200311,58.4,5.5
200312,42.5,-2.9
200401,42.9,-1.4
200402,44.3,-2.4
200403,57.3,3.5
200404,62.6,0.6
200405,74.7,4.1
200406,79.0,1.6
200407,80.7,0.6
200408,77.4,-1.5
200409,73.4,-0.4
200410,66.4,3.4
200411,55.8,2.9
200412,45.2,-0.2
200501,48.0,3.7
200502,48.1,1.4
200503,52.9,-0.9
200504,61.0,-1.0
200505,67.9,-2.7
200506,76.4,-1.0
200507,81.4,1.3
200508,80.8,1.9
200509,77.4,3.6
200510,64.9,1.9
200511,55.4,2.5
200512,43.5,-1.9
200601,50.5,6.2
200602,46.2,-0.5
200603,54.4,0.6
200604,66.5,4.5
200605,69.6,-1.0
200606,76.8,-0.6
200607,80.9,0.8
200608,81.1,2.2
200609,72.7,-1.1
200610,61.4,-1.6
200611,53.6,0.7
200612,50.1,4.7
200701,48.0,3.7
200702,45.0,-1.7
200703,58.6,4.8
200704,61.2,-0.8
200705,69.8,-0.8
200706,77.8,0.4
200707,78.7,-1.4
200708,85.1,6.2
200709,76.0,2.2
200710,68.4,5.4
200711,53.8,0.9
200712,51.7,6.3
200801,43.2,-1.1
200802,50.7,4.0
200803,54.9,1.1
200804,61.5,-0.5
200805,70.0,-0.6
200806,80.7,3.3
200807,80.4,0.3
200808,79.2,0.3
200809,73.9,0.1
200810,61.0,-2.0
200811,49.4,-3.5
200812,50.8,5.4
200901,43.8,-0.5
200902,46.8,0.1
200903,54.5,0.7
200904,62.0,0.0
200905,71.5,0.9
200906,79.8,2.4
200907,79.7,-0.4
200908,80.5,1.6
200909,74.2,0.4
200910,62.1,-0.9
200911,55.1,2.2
200912,44.2,-1.2
201001,40.4,-3.9
201002,40.9,-5.8
201003,52.4,-1.4
201004,65.0,3.0
201005,74.1,3.5
201006,82.1,4.7
201007,82.8,2.7
201008,81.6,2.7
201009,76.9,3.1
201010,63.9,0.9
201011,53.9,1.0
201012,38.0,-7.4
201101,40.6,-3.7
201102,50.3,3.6
201103,56.0,2.2
201104,65.5,3.5
201105,71.8,1.2
201106,80.8,3.4
201107,83.3,3.2
201108,81.7,2.8
201109,74.2,0.4
201110,60.5,-2.5
201111,54.6,1.7
201112,50.2,4.8
201201,48.3,4.0
201202,51.1,4.4
201203,63.9,10.1
201204,65.1,3.1
201205,73.4,2.8
201206,75.6,-1.8
201207,83.4,3.3
201208,78.3,-0.6
201209,73.8,0.0
201210,63.5,0.5
201211,50.9,-2.0
201212,51.5,6.1
201301,50.6,6.3
201302,46.3,-0.4
201303,48.8,-5.0
201304,62.9,0.9
201305,67.7,-2.9
201306,77.2,-0.2
201307,78.6,-1.5
201308,77.3,-1.6
201309,74.0,0.2
201310,64.8,1.8
201311,51.1,-1.8
201312,49.9,4.5
201401,39.4,-4.9
201402,48.1,1.4
201403,50.8,-3.0
201404,63.9,1.9
201405,72.3,1.7
201406,79.1,1.7
201407,80.2,0.1
201408,79.2,0.3
201409,74.4,0.6
201410,65.1,2.1
201411,49.1,-3.8
201412,49.0,3.6
201501,43.6,-0.7
201502,41.5,-5.2
201503,56.9,3.1
201504,65.1,3.1
201505,72.0,1.4
201506,80.9,3.5
201507,83.0,2.9
201508,80.2,1.3
201509,74.2,0.4
201510,62.8,-0.2
201511,57.2,4.3
201512,58.2,12.8
201601,43.1,-1.2
201602,47.9,1.2
201603,61.0,7.2
201604,64.1,2.1
201605,70.7,0.1
201606,80.7,3.3
201607,84.8,4.7
201608,82.5,3.6
201609,77.5,3.7
201610,66.4,3.4
201611,55.8,2.9
201612,48.8,3.4
201701,51.6,7.3
201702,55.9,9.2
201703,56.1,2.3
201704,67.8,5.8
201705,72.0,1.4
201706,77.6,0.2
201707,81.4,1.3
201708,80.0,1.1
201709,74.5,0.7
201710,66.4,3.4
201711,54.2,1.3
201712,48.1,2.7
201801,41.4,-2.9
201802,58.2,11.5
201803,52.7,-1.1
201804,61.2,-0.8
201805,75.1,4.5
201806,81.1,3.7
201807,81.4,1.3
201808,80.8,1.9
201809,80.1,6.3
201810,67.1,4.1
201811,51.5,-1.4
201812,48.2,2.8
201901,46.3,2.0
201902,52.8,6.1
201903,54.6,0.8
201904,64.4,2.4
201905,76.0,5.4
201906,77.0,-0.4
201907,82.0,1.9
201908,80.7,1.8
201909,79.2,5.4
201910,68.6,5.6
201911,50.3,-2.6
201912,49.8,4.4
202001,50.4,6.1
