Stutsman County, North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,11.2,5.2
200002,21.4,10.0
200003,34.5,9.6
200004,41.1,-0.1
200005,55.7,1.9
200006,61.1,-2.1
200007,69.4,0.1
200008,67.6,0.6
200009,56.9,0.4
200010,46.7,2.5
200011,23.1,-3.4
200012,2.0,-10.4
200101,16.0,10.0
200102,5.2,-6.2
200103,25.6,0.7
200104,42.7,1.5
200105,56.4,2.6
200106,63.1,-0.1
200107,70.6,1.3
200108,70.1,3.1
200109,58.6,2.1
200110,42.4,-1.8
200111,37.8,11.3
200112,18.4,6.0
200201,17.4,11.4
200202,24.1,12.7
200203,17.2,-7.7
200204,38.3,-2.9
200205,49.0,-4.8
200206,66.7,3.5
200207,71.3,2.0
200208,66.4,-0.6
200209,59.8,3.3
200210,34.8,-9.4
200211,29.0,2.5
200212,19.4,7.0
200301,9.1,3.1
200302,7.5,-3.9
200303,22.6,-2.3
200304,43.9,2.7
200305,52.7,-1.1
200306,62.5,-0.7
200307,68.8,-0.5
200308,71.5,4.5
200309,57.0,0.5
200310,47.8,3.6
200311,21.6,-4.9
200312,20.6,8.2
200401,3.4,-2.6
200402,15.4,4.0
200403,29.9,5.0
200404,43.1,1.9
200405,49.8,-4.0
200406,59.2,-4.0
200407,66.5,-2.8
200408,60.8,-6.2
200409,58.9,2.4
200410,44.6,0.4
200411,33.1,6.6
200412,18.9,6.5
200501,6.3,0.3
200502,19.4,8.0
200503,28.4,3.5
200504,47.2,6.0
200505,51.6,-2.2
200506,65.6,2.4
200507,69.8,0.5
200508,66.1,-0.9
200509,60.6,4.1
200510,46.4,2.2
200511,31.3,4.8
200512,17.9,5.5
200601,25.2,19.2
200602,14.0,2.6
200603,28.2,3.3
200604,48.8,7.6
200605,56.0,2.2
200606,65.2,2.0
200607,73.7,4.4
200608,68.6,1.6
200609,55.6,-0.9
200610,40.0,-4.2
200611,28.4,1.9
200612,22.8,10.4
200701,11.2,5.2
200702,6.3,-5.1
200703,31.7,6.8
200704,40.3,-0.9
200705,56.6,2.8
200706,65.9,2.7
200707,72.2,2.9
200708,65.1,-1.9
200709,58.2,1.7
200710,46.6,2.4
200711,29.2,2.7
200712,11.6,-0.8
200801,8.1,2.1
200802,8.5,-2.9
200803,25.4,0.5
200804,39.4,-1.8
200805,51.0,-2.8
200806,61.3,-1.9
200807,68.7,-0.6
200808,68.1,1.1
200809,57.1,0.6
200810,44.8,0.6
200811,29.5,3.0
200812,5.3,-7.1
200901,3.1,-2.9
200902,10.5,-0.9
200903,18.6,-6.3
200904,38.7,-2.5
200905,51.7,-2.1
200906,61.1,-2.1
200907,65.2,-4.1
200908,64.8,-2.2
200909,62.8,6.3
200910,38.3,-5.9
200911,36.4,9.9
200912,8.4,-4.0
201001,8.7,2.7
201002,8.8,-2.6
201003,32.0,7.1
201004,48.3,7.1
201005,53.5,-0.3
201006,64.0,0.8
201007,69.6,0.3
201008,69.6,2.6
201009,54.5,-2.0
201010,48.3,4.1
201011,27.8,1.3
201012,9.2,-3.2
201101,5.1,-0.9
201102,10.4,-1.0
201103,18.0,-6.9
201104,39.4,-1.8
201105,51.3,-2.5
201106,62.6,-0.6
201107,72.0,2.7
201108,68.4,1.4
201109,57.6,1.1
201110,48.6,4.4
201111,31.4,4.9
201112,23.0,10.6
201201,19.6,13.6
201202,21.4,10.0
201203,40.7,15.8
201204,45.8,4.6
201205,56.0,2.2
201206,66.4,3.2
201207,74.0,4.7
