Boone County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,21.7,2.5
200002,31.1,8.2
200003,43.0,8.6
200004,47.3,0.3
200005,61.1,2.7
200006,66.5,-1.6
200007,70.3,-2.3
200008,70.6,0.4
200009,63.0,0.4
200010,54.4,3.4
200011,35.9,-0.7
200012,13.2,-10.8
200101,21.8,2.6
200102,23.0,0.1
200103,33.3,-1.1
200104,52.6,5.6
200105,61.0,2.6
200106,67.0,-1.1
200107,74.2,1.6
200108,72.2,2.0
200109,60.7,-1.9
200110,50.4,-0.6
200111,47.5,10.9
200112,31.8,7.8
200201,29.2,10.0
200202,31.2,8.3
200203,32.6,-1.8
200204,48.4,1.4
200205,54.4,-4.0
200206,70.0,1.9
200207,75.9,3.3
200208,71.7,1.5
200209,65.7,3.1
200210,48.7,-2.3
200211,35.4,-1.2
200212,27.6,3.6
200301,18.4,-0.8
200302,21.3,-1.6
200303,34.6,0.2
200304,47.3,0.3
200305,56.4,-2.0
200306,65.4,-2.7
200307,71.2,-1.4
200308,73.0,2.8
200309,62.6,0.0
200310,50.5,-0.5
200311,39.3,2.7
200312,29.8,5.8
200401,17.8,-1.4
200402,25.1,2.2
200403,40.5,6.1
200404,49.4,2.4
200405,59.4,1.0
200406,66.1,-2.0
200407,69.7,-2.9
200408,65.6,-4.6
200409,65.3,2.7
200410,52.3,1.3
200411,41.3,4.7
200412,26.0,2.0
200501,21.8,2.6
200502,30.8,7.9
200503,33.1,-1.3
200504,51.8,4.8
200505,56.2,-2.2
200506,73.6,5.5
200507,73.5,0.9
200508,72.1,1.9
200509,67.9,5.3
200510,53.1,2.1
200511,39.8,3.2
200512,19.8,-4.2
200601,32.8,13.6
200602,25.8,2.9
200603,36.0,1.6
200604,52.2,5.2
200605,59.2,0.8
200606,67.1,-1.0
200607,74.3,1.7
200608,71.6,1.4
200609,60.4,-2.2
200610,46.8,-4.2
200611,41.1,4.5
200612,30.0,6.0
200701,25.5,6.3
200702,15.7,-7.2
200703,40.3,5.9
200704,45.8,-1.2
200705,63.0,4.6
200706,69.5,1.4
200707,71.2,-1.4
200708,72.8,2.6
200709,65.6,3.0
200710,57.1,6.1
200711,37.1,0.5
200712,23.2,-0.8
200801,20.1,0.9
200802,18.6,-4.3
200803,32.1,-2.3
200804,49.0,2.0
200805,55.4,-3.0
200806,69.0,0.9
200807,71.6,-1.0
200808,69.5,-0.7
200809,64.4,1.8
200810,49.9,-1.1
200811,37.8,1.2
200812,18.7,-5.3
200901,12.3,-6.9
200902,25.4,2.5
200903,37.3,2.9
200904,46.8,-0.2
200905,58.9,0.5
200906,67.6,-0.5
200907,66.2,-6.4
200908,67.3,-2.9
200909,63.5,0.9
200910,46.7,-4.3
200911,43.4,6.8
200912,23.6,-0.4
201001,18.0,-1.2
201002,23.9,1.0
201003,39.9,5.5
201004,54.1,7.1
201005,61.2,2.8
201006,69.6,1.5
201007,74.8,2.2
201008,73.5,3.3
201009,62.8,0.2
201010,53.3,2.3
201011,40.1,3.5
201012,18.8,-5.2
201101,18.1,-1.1
201102,23.6,0.7
201103,35.2,0.8
201104,46.3,-0.7
201105,58.1,-0.3
201106,68.8,0.7
201107,76.9,4.3
201108,71.1,0.9
201109,60.1,-2.5
201110,52.3,1.3
201111,40.8,4.2
201112,31.4,7.4
201201,26.1,6.9
201202,30.3,7.4
201203,50.8,16.4
201204,48.1,1.1
201205,63.6,5.2
201206,70.5,2.4
201207,79.1,6.5
201208,70.2,0.0
