McLean County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.0,1.7
200002,35.4,8.3
200003,45.4,7.5
200004,50.6,0.8
200005,64.1,3.2
200006,69.3,-1.0
200007,71.7,-2.6
200008,73.3,1.4
200009,66.2,1.3
200010,57.2,4.0
200011,37.5,-1.6
200012,16.4,-11.1
200101,23.7,0.4
200102,29.2,2.1
200103,35.7,-2.2
200104,56.1,6.3
200105,64.1,3.2
200106,68.8,-1.5
200107,74.7,0.4
200108,73.4,1.5
200109,63.3,-1.6
200110,52.9,-0.3
200111,49.3,10.2
200112,34.2,6.7
200201,32.4,9.1
200202,33.4,6.3
200203,36.2,-1.7
200204,51.6,1.8
200205,57.5,-3.4
200206,73.0,2.7
200207,76.6,2.3
200208,73.0,1.1
200209,67.8,2.9
200210,50.7,-2.5
200211,38.1,-1.0
200212,30.4,2.9
200301,20.9,-2.4
200302,24.6,-2.5
200303,40.4,2.5
200304,52.4,2.6
200305,60.1,-0.8
200306,67.1,-3.2
200307,73.4,-0.9
200308,73.6,1.7
200309,63.3,-1.6
200310,53.2,0.0
200311,43.3,4.2
200312,31.8,4.3
200401,22.6,-0.7
200402,28.0,0.9
200403,43.7,5.8
200404,52.7,2.9
200405,65.1,4.2
200406,69.1,-1.2
200407,71.9,-2.4
200408,67.1,-4.8
200409,67.0,2.1
200410,53.3,0.1
200411,43.7,4.6
200412,29.6,2.1
200501,26.3,3.0
200502,34.5,7.4
200503,36.4,-1.5
200504,54.2,4.4
200505,60.5,-0.4
200506,74.7,4.4
200507,75.0,0.7
200508,73.9,2.0
200509,70.2,5.3
200510,55.0,1.8
200511,42.8,3.7
200512,23.4,-4.1
200601,36.6,13.3
200602,29.8,2.7
200603,40.4,2.5
200604,55.4,5.6
200605,61.5,0.6
200606,70.2,-0.1
200607,76.2,1.9
200608,72.6,0.7
200609,63.1,-1.8
200610,50.4,-2.8
200611,43.4,4.3
200612,34.1,6.6
200701,29.0,5.7
200702,18.2,-8.9
200703,46.0,8.1
200704,49.4,-0.4
200705,67.3,6.4
200706,71.8,1.5
200707,71.6,-2.7
200708,76.7,4.8
200709,68.8,3.9
200710,59.3,6.1
200711,41.0,1.9
200712,28.2,0.7
200801,25.3,2.0
200802,24.0,-3.1
200803,37.1,-0.8
200804,50.9,1.1
200805,57.3,-3.6
200806,72.5,2.2
200807,73.4,-0.9
200808,70.3,-1.6
200809,66.1,1.2
200810,53.3,0.1
200811,40.0,0.9
200812,24.6,-2.9
200901,17.8,-5.5
200902,30.5,3.4
200903,41.9,4.0
200904,50.1,0.3
200905,62.1,1.2
200906,71.8,1.5
200907,69.0,-5.3
200908,69.7,-2.2
200909,64.4,-0.5
200910,49.3,-3.9
200911,45.4,6.3
200912,27.6,0.1
201001,19.0,-4.3
201002,24.2,-2.9
201003,42.5,4.6
201004,57.5,7.7
201005,63.5,2.6
201006,73.5,3.2
201007,76.6,2.3
201008,76.1,4.2
201009,66.8,1.9
201010,55.5,2.3
201011,41.8,2.7
201012,20.8,-6.7
201101,20.8,-2.5
201102,27.8,0.7
201103,39.8,1.9
201104,50.6,0.8
201105,61.4,0.5
201106,71.8,1.5
201107,78.8,4.5
201108,73.3,1.4
201109,62.2,-2.7
201110,53.6,0.4
201111,44.5,5.4
201112,34.8,7.3
201201,30.3,7.0
201202,34.2,7.1
201203,55.2,17.3
201204,54.0,4.2
201205,67.7,6.8
201206,71.6,1.3
201207,80.9,6.6
201208,72.6,0.7
201209,64.4,-0.5
201210,51.6,-1.6
201211,40.2,1.1
201212,36.2,8.7
201301,27.9,4.6
201302,28.5,1.4
201303,33.5,-4.4
201304,49.5,-0.3
201305,64.2,3.3
201306,70.9,0.6
201307,72.4,-1.9
201308,72.2,0.3
201309,68.5,3.6
201310,54.4,1.2
201311,37.5,-1.6
201312,25.1,-2.4
201401,17.5,-5.8
201402,16.7,-10.4
201403,32.9,-5.0
201404,51.8,2.0
201405,63.5,2.6
201406,72.4,2.1
201407,69.2,-5.1
201408,73.0,1.1
201409,64.1,-0.8
201410,53.1,-0.1
201411,33.8,-5.3
201412,32.5,5.0
201501,23.6,0.3
201502,17.9,-9.2
201503,37.2,-0.7
201504,53.4,3.6
201505,65.2,4.3
201506,71.2,0.9
201507,72.8,-1.5
201508,71.4,-0.5
201509,70.7,5.8
201510,55.4,2.2
201511,45.7,6.6
201512,40.3,12.8
201601,25.4,2.1
201602,32.7,5.6
201603,46.9,9.0
201604,52.2,2.4
201605,61.8,0.9
201606,74.1,3.8
201607,74.7,0.4
201608,75.3,3.4
201609,70.8,5.9
201610,59.2,6.0
201611,47.3,8.2
201612,28.2,0.7
201701,30.8,7.5
201702,40.0,12.9
201703,41.7,3.8
201704,55.7,5.9
201705,60.8,-0.1
201706,72.6,2.3
201707,74.6,0.3
201708,69.5,-2.4
201709,68.1,3.2
201710,57.8,4.6
201711,40.3,1.2
201712,28.3,0.8
201801,22.0,-1.3
201802,29.7,2.6
201803,37.1,-0.8
201804,43.0,-6.8
201805,70.6,9.7
201806,73.8,3.5
201807,73.5,-0.8
201808,74.1,2.2
201809,69.7,4.8
201810,53.1,-0.1
201811,34.3,-4.8
201812,33.0,5.5
201901,22.8,-0.5
201902,26.9,-0.2
201903,36.0,-1.9
201904,51.0,1.2
201905,61.8,0.9
201906,70.4,0.1
201907,76.8,2.5
201908,71.4,-0.5
201909,70.1,5.2
201910,53.5,0.3
201911,35.2,-3.9
201912,34.4,6.9
202001,30.5,7.2
