Juneau City and Borough, Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,17.9,0.8
200002,24.1,3.7
200003,28.5,3.0
200004,32.4,0.0
200005,40.0,0.0
200006,46.3,-0.2
200007,47.5,-0.5
200008,48.0,-0.1
200009,41.7,-0.7
200010,34.6,0.0
200011,29.5,4.3
200012,23.2,2.9
200101,28.4,11.3
200102,20.4,0.0
200103,25.8,0.3
200104,32.8,0.4
200105,38.0,-2.0
200106,47.1,0.6
200107,47.3,-0.7
200108,50.0,1.9
200109,43.0,0.6
200110,34.1,-0.5
200111,24.7,-0.5
200112,20.4,0.1
200201,22.5,5.4
200202,22.1,1.7
200203,20.8,-4.7
200204,28.8,-3.6
200205,39.7,-0.3
200206,47.2,0.7
200207,46.9,-1.1
200208,48.2,0.1
200209,42.9,0.5
200210,37.1,2.5
200211,32.2,7.0
200212,23.4,3.1
200301,22.4,5.3
200302,23.0,2.6
200303,23.2,-2.3
200304,34.0,1.6
200305,40.2,0.2
200306,46.5,0.0
200307,50.3,2.3
200308,48.3,0.2
200309,41.5,-0.9
200310,36.6,2.0
200311,22.8,-2.4
200312,22.3,2.0
200401,15.6,-1.5
200402,26.6,6.2
200403,26.9,1.4
200404,33.2,0.8
200405,44.2,4.2
200406,50.5,4.0
200407,50.0,2.0
200408,52.2,4.1
200409,42.2,-0.2
200410,34.5,-0.1
200411,28.5,3.3
200412,24.0,3.7
200501,16.2,-0.9
200502,21.2,0.8
200503,29.2,3.7
200504,36.1,3.7
200505,46.0,6.0
200506,49.0,2.5
200507,47.9,-0.1
200508,49.8,1.7
200509,43.3,0.9
200510,34.6,0.0
200511,27.6,2.4
200512,26.0,5.7
200601,19.9,2.8
200602,20.6,0.2
200603,20.5,-5.0
200604,31.3,-1.1
200605,40.3,0.3
200606,46.9,0.4
200607,47.8,-0.2
200608,46.2,-1.9
200609,42.7,0.3
200610,35.0,0.4
200611,12.4,-12.8
200612,25.0,4.7
200701,21.5,4.4
200702,17.4,-3.0
200703,20.1,-5.4
200704,31.1,-1.3
200705,38.8,-1.2
200706,46.4,-0.1
200707,47.8,-0.2
200708,48.8,0.7
200709,42.2,-0.2
200710,33.7,-0.9
200711,26.5,1.3
200712,17.5,-2.8
200801,16.4,-0.7
200802,18.4,-2.0
200803,26.3,0.8
200804,30.2,-2.2
200805,39.4,-0.6
200806,43.2,-3.3
200807,44.3,-3.7
200808,46.3,-1.8
200809,41.5,-0.9
200810,33.6,-1.0
200811,26.8,1.6
200812,14.8,-5.5
200901,16.6,-0.5
200902,18.8,-1.6
200903,21.5,-4.0
200904,31.3,-1.1
200905,40.4,0.4
200906,47.1,0.6
200907,50.9,2.9
200908,48.4,0.3
200909,42.1,-0.3
200910,35.2,0.6
200911,25.6,0.4
200912,19.2,-1.1
201001,20.5,3.4
201002,27.1,6.7
201003,28.0,2.5
201004,33.5,1.1
201005,42.4,2.4
201006,46.1,-0.4
201007,46.0,-2.0
201008,48.6,0.5
201009,44.0,1.6
201010,35.3,0.7
201011,26.0,0.8
201012,15.5,-4.8
201101,19.7,2.6
201102,17.6,-2.8
201103,21.7,-3.8
201104,31.6,-0.8
201105,40.5,0.5
201106,46.9,0.4
201107,47.4,-0.6
201108,45.7,-2.4
201109,41.7,-0.7
201110,34.9,0.3
201111,20.7,-4.5
201112,26.1,5.8
201201,17.6,0.5
201202,25.6,5.2
201203,25.3,-0.2
201204,34.0,1.6
201205,36.9,-3.1
201206,44.3,-2.2
201207,46.3,-1.7
