McLeod County, Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,13.0,2.7
200002,26.0,10.2
200003,40.4,11.4
200004,45.4,0.8
200005,59.6,2.3
200006,65.3,-1.5
200007,71.1,-0.6
200008,69.6,0.7
200009,60.5,0.7
200010,51.8,4.1
200011,29.6,-1.2
200012,6.1,-10.1
200101,17.7,7.4
200102,8.5,-7.3
200103,24.8,-4.2
200104,46.1,1.5
200105,58.8,1.5
200106,68.0,1.2
200107,73.5,1.8
200108,71.2,2.3
200109,59.1,-0.7
200110,47.2,-0.5
200111,44.1,13.3
200112,24.8,8.6
200201,23.0,12.7
200202,27.2,11.4
200203,22.4,-6.6
200204,44.0,-0.6
200205,52.9,-4.4
200206,69.6,2.8
200207,74.7,3.0
200208,68.6,-0.3
200209,62.6,2.8
200210,40.4,-7.3
200211,31.2,0.4
200212,25.0,8.8
200301,13.6,3.3
200302,13.8,-2.0
200303,29.5,0.5
200304,46.8,2.2
200305,56.0,-1.3
200306,66.2,-0.6
200307,71.0,-0.7
200308,71.9,3.0
200309,60.0,0.2
200310,50.1,2.4
200311,29.6,-1.2
200312,22.6,6.4
200401,11.5,1.2
200402,19.4,3.6
200403,35.8,6.8
200404,47.9,3.3
200405,54.7,-2.6
200406,63.3,-3.5
200407,69.0,-2.7
200408,63.1,-5.8
200409,65.3,5.5
200410,49.6,1.9
200411,36.0,5.2
200412,21.2,5.0
200501,13.3,3.0
200502,24.4,8.6
200503,29.9,0.9
200504,50.0,5.4
200505,54.0,-3.3
200506,71.0,4.2
200507,73.2,1.5
200508,68.7,-0.2
200509,64.2,4.4
200510,50.4,2.7
200511,35.4,4.6
200512,16.6,0.4
200601,26.2,15.9
200602,17.1,1.3
200603,31.3,2.3
200604,51.1,6.5
200605,58.7,1.4
200606,68.8,2.0
200607,75.4,3.7
200608,70.3,1.4
200609,57.9,-1.9
200610,45.1,-2.6
200611,34.7,3.9
200612,26.7,10.5
200701,17.9,7.6
200702,10.2,-5.6
200703,35.0,6.0
200704,44.6,0.0
200705,62.5,5.2
200706,70.0,3.2
200707,73.1,1.4
200708,68.9,0.0
200709,62.4,2.6
200710,52.3,4.6
200711,33.2,2.4
200712,13.6,-2.6
200801,10.4,0.1
200802,13.0,-2.8
200803,26.8,-2.2
200804,42.0,-2.6
200805,55.2,-2.1
200806,66.6,-0.2
200807,72.4,0.7
200808,69.1,0.2
200809,61.4,1.6
200810,48.2,0.5
200811,33.0,2.2
200812,11.5,-4.7
200901,5.8,-4.5
200902,18.8,3.0
200903,29.5,0.5
200904,45.4,0.8
200905,57.6,0.3
200906,65.4,-1.4
200907,67.0,-4.7
200908,66.5,-2.4
200909,64.1,4.3
200910,41.6,-6.1
200911,40.0,9.2
200912,15.1,-1.1
201001,9.3,-1.0
201002,13.6,-2.2
201003,36.5,7.5
201004,53.0,8.4
201005,58.6,1.3
201006,67.2,0.4
201007,72.6,0.9
201008,73.1,4.2
201009,58.3,-1.5
201010,51.4,3.7
201011,32.3,1.5
201012,13.3,-2.9
201101,8.3,-2.0
201102,15.1,-0.7
201103,25.4,-3.6
201104,44.3,-0.3
201105,55.8,-1.5
201106,66.8,0.0
201107,76.0,4.3
201108,70.2,1.3
201109,60.1,0.3
201110,52.2,4.5
201111,35.5,4.7
201112,25.2,9.0
201201,22.1,11.8
201202,25.6,9.8
201203,45.8,16.8
201204,49.0,4.4
201205,62.5,5.2
201206,69.6,2.8
201207,77.7,6.0
201208,68.9,0.0
201209,60.4,0.6
201210,45.4,-2.3
201211,34.3,3.5
201212,19.3,3.1
201301,14.5,4.2
201302,15.4,-0.4
201303,22.9,-6.1
201304,37.3,-7.3
201305,55.3,-2.0
201306,66.4,-0.4
201307,72.0,0.3
201308,70.4,1.5
201309,64.5,4.7
201310,47.1,-0.6
201311,30.0,-0.8
201312,10.3,-5.9
201401,6.7,-3.6
201402,7.0,-8.8
201403,23.6,-5.4
201404,41.4,-3.2
201405,56.1,-1.2
201406,67.9,1.1
201407,69.1,-2.6
201408,70.4,1.5
201409,60.8,1.0
201410,47.8,0.1
201411,23.2,-7.6
201412,22.9,6.7
201501,17.1,6.8
201502,10.2,-5.6
201503,33.0,4.0
201504,46.8,2.2
201505,55.8,-1.5
201506,67.6,0.8
201507,70.2,-1.5
201508,67.3,-1.6
201509,65.9,6.1
201510,50.0,2.3
201511,38.6,7.8
201512,26.3,10.1
201601,15.7,5.4
201602,24.2,8.4
201603,39.4,10.4
201604,47.2,2.6
201605,58.5,1.2
201606,68.9,2.1
201607,71.3,-0.4
201608,70.2,1.3
201609,63.5,3.7
201610,50.3,2.6
201611,41.9,11.1
201612,17.3,1.1
201701,18.3,8.0
201702,29.9,14.1
201703,32.1,3.1
201704,48.1,3.5
201705,56.1,-1.2
201706,68.2,1.4
201707,71.8,0.1
201708,65.9,-3.0
201709,64.0,4.2
201710,49.6,1.9
201711,31.6,0.8
201712,18.2,2.0
201801,13.9,3.6
201802,12.5,-3.3
201803,30.6,1.6
201804,33.9,-10.7
201805,64.6,7.3
201806,69.8,3.0
201807,71.4,-0.3
201808,69.7,0.8
201809,63.0,3.2
201810,43.6,-4.1
201811,25.6,-5.2
201812,23.2,7.0
201901,11.5,1.2
201902,7.8,-8.0
201903,25.1,-3.9
201904,44.4,-0.2
201905,52.6,-4.7
201906,67.0,0.2
201907,72.0,0.3
201908,67.3,-1.6
201909,63.6,3.8
201910,44.5,-3.2
201911,28.3,-2.5
201912,19.2,3.0
202001,17.5,7.2
