Erie County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.8,1.3
200002,30.5,6.6
200003,40.9,7.7
200004,45.4,0.9
200005,58.7,3.2
200006,66.0,1.3
200007,65.9,-3.2
200008,66.0,-1.1
200009,60.5,-0.4
200010,51.7,1.7
200011,37.7,-1.0
200012,21.1,-7.1
200101,25.0,1.5
200102,29.0,5.1
200103,31.2,-2.0
200104,48.3,3.8
200105,58.4,2.9
200106,65.2,0.5
200107,68.2,-0.9
200108,69.9,2.8
200109,59.0,-1.9
200110,51.7,1.7
200111,46.5,7.8
200112,35.2,7.0
200201,31.6,8.1
200202,31.6,7.7
200203,35.3,2.1
200204,47.7,3.2
200205,52.3,-3.2
200206,67.0,2.3
200207,71.7,2.6
200208,69.8,2.7
200209,65.1,4.2
200210,49.0,-1.0
200211,38.5,-0.2
200212,27.4,-0.8
200301,17.9,-5.6
200302,20.3,-3.6
200303,35.4,2.2
200304,45.4,0.9
200305,54.6,-0.9
200306,63.0,-1.7
200307,68.1,-1.0
200308,69.1,2.0
200309,60.4,-0.5
200310,48.2,-1.8
200311,44.2,5.5
200312,31.1,2.9
200401,18.1,-5.4
200402,24.8,0.9
200403,37.6,4.4
200404,46.3,1.8
200405,60.1,4.6
200406,63.6,-1.1
200407,68.0,-1.1
200408,65.3,-1.8
200409,63.3,2.4
200410,50.9,0.9
200411,42.1,3.4
200412,29.3,1.1
200501,24.3,0.8
200502,27.1,3.2
200503,29.7,-3.5
200504,46.8,2.3
200505,51.9,-3.6
200506,70.2,5.5
200507,72.0,2.9
200508,70.6,3.5
200509,64.2,3.3
200510,52.2,2.2
200511,42.8,4.1
200512,25.7,-2.5
200601,35.0,11.5
200602,28.0,4.1
200603,34.4,1.2
200604,48.1,3.6
200605,56.8,1.3
200606,64.1,-0.6
200607,71.4,2.3
200608,68.9,1.8
200609,59.5,-1.4
200610,47.6,-2.4
200611,43.0,4.3
200612,35.9,7.7
200701,29.5,6.0
200702,16.7,-7.2
200703,36.4,3.2
200704,42.9,-1.6
200705,58.4,2.9
200706,66.4,1.7
200707,67.4,-1.7
200708,69.0,1.9
200709,63.6,2.7
200710,57.8,7.8
200711,39.0,0.3
200712,29.9,1.7
200801,28.4,4.9
200802,24.4,0.5
200803,31.0,-2.2
200804,50.1,5.6
200805,52.7,-2.8
200806,67.9,3.2
200807,70.4,1.3
200808,66.5,-0.6
200809,63.0,2.1
200810,48.8,-1.2
200811,38.7,0.0
200812,29.5,1.3
200901,18.1,-5.4
200902,27.2,3.3
200903,35.5,2.3
200904,47.2,2.7
200905,56.9,1.4
200906,62.9,-1.8
200907,65.0,-4.1
200908,68.2,1.1
200909,61.2,0.3
200910,47.7,-2.3
200911,44.1,5.4
200912,27.7,-0.5
201001,22.9,-0.6
201002,22.9,-1.0
201003,37.5,4.3
201004,50.7,6.2
201005,59.0,3.5
201006,67.0,2.3
201007,72.0,2.9
201008,70.6,3.5
201009,61.6,0.7
201010,50.4,0.4
201011,40.1,1.4
201012,24.0,-4.2
201101,20.2,-3.3
201102,25.3,1.4
201103,32.3,-0.9
201104,46.4,1.9
201105,58.3,2.8
201106,66.0,1.3
201107,73.4,4.3
201108,68.8,1.7
201109,63.2,2.3
201110,50.3,0.3
201111,45.2,6.5
201112,34.4,6.2
201201,28.9,5.4
201202,32.2,8.3
201203,47.4,14.2
201204,44.6,0.1
201205,62.2,6.7
201206,66.8,2.1
201207,72.8,3.7
201208,68.0,0.9
201209,60.7,-0.2
201210,51.2,1.2
201211,37.8,-0.9
201212,35.4,7.2
201301,28.6,5.1
201302,25.0,1.1
201303,31.2,-2.0
201304,46.3,1.8
201305,59.9,4.4
201306,65.2,0.5
201307,70.7,1.6
201308,67.0,-0.1
201309,60.4,-0.5
201310,52.7,2.7
201311,36.8,-1.9
201312,28.7,0.5
201401,18.2,-5.3
201402,18.5,-5.4
201403,26.7,-6.5
201404,46.4,1.9
201405,57.3,1.8
201406,67.3,2.6
201407,66.8,-2.3
201408,66.8,-0.3
201409,61.4,0.5
201410,51.7,1.7
201411,36.0,-2.7
201412,33.3,5.1
201501,19.4,-4.1
201502,10.8,-13.1
201503,29.3,-3.9
201504,46.3,1.8
201505,61.8,6.3
201506,65.0,0.3
201507,68.5,-0.6
201508,67.8,0.7
201509,66.4,5.5
201510,51.0,1.0
201511,45.4,6.7
201512,41.3,13.1
201601,25.0,1.5
201602,29.7,5.8
201603,41.4,8.2
201604,43.6,-0.9
201605,57.0,1.5
201606,66.3,1.6
201607,71.1,2.0
201608,72.6,5.5
201609,65.5,4.6
201610,54.4,4.4
201611,44.1,5.4
201612,29.3,1.1
201701,30.8,7.3
201702,35.2,11.3
201703,34.4,1.2
201704,51.8,7.3
201705,55.8,0.3
201706,66.0,1.3
201707,69.4,0.3
201708,67.0,-0.1
201709,63.0,2.1
201710,55.6,5.6
201711,39.2,0.5
201712,25.6,-2.6
201801,22.4,-1.1
201802,32.2,8.3
201803,30.3,-2.9
201804,40.3,-4.2
201805,63.1,7.6
201806,66.4,1.7
201807,71.6,2.5
201808,71.7,4.6
201809,66.6,5.7
201810,51.8,1.8
201811,35.4,-3.3
201812,33.3,5.1
201901,23.6,0.1
201902,28.2,4.3
201903,32.1,-1.1
201904,47.3,2.8
201905,57.6,2.1
201906,64.5,-0.2
201907,72.3,3.2
201908,68.6,1.5
201909,65.3,4.4
201910,53.7,3.7
201911,35.6,-3.1
201912,33.4,5.2
202001,31.4,7.9
