Davidson County, Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,38.4,1.0
200002,46.0,5.7
200003,52.6,3.7
200004,55.4,-2.8
200005,69.0,2.2
200006,75.4,0.5
200007,78.5,0.2
200008,78.2,1.1
200009,70.0,-1.1
200010,62.3,2.7
200011,47.6,-0.4
200012,30.0,-9.6
200101,34.7,-2.7
200102,44.2,3.9
200103,44.6,-4.3
200104,62.4,4.2
200105,67.8,1.0
200106,72.5,-2.4
200107,78.5,0.2
200108,78.0,0.9
200109,69.2,-1.9
200110,57.6,-2.0
200111,53.5,5.5
200112,44.7,5.1
200201,41.1,3.7
200202,40.7,0.4
200203,48.9,0.0
200204,60.9,2.7
200205,64.5,-2.3
200206,76.1,1.2
200207,79.5,1.2
200208,79.0,1.9
200209,74.3,3.2
200210,60.7,1.1
200211,45.8,-2.2
200212,39.8,0.2
200301,32.1,-5.3
200302,37.6,-2.7
200303,51.4,2.5
200304,60.0,1.8
200305,66.5,-0.3
200306,71.0,-3.9
200307,77.4,-0.9
200308,78.2,1.1
200309,69.1,-2.0
200310,59.3,-0.3
200311,52.8,4.8
200312,39.6,0.0
200401,37.6,0.2
200402,39.7,-0.6
200403,52.8,3.9
200404,57.9,-0.3
200405,71.0,4.2
200406,74.7,-0.2
200407,76.6,-1.7
200408,72.8,-4.3
200409,70.8,-0.3
200410,63.3,3.7
200411,53.2,5.2
200412,39.3,-0.3
200501,43.4,6.0
200502,44.9,4.6
200503,47.1,-1.8
200504,59.0,0.8
200505,64.2,-2.6
200506,75.2,0.3
200507,80.0,1.7
200508,80.4,3.3
200509,73.9,2.8
200510,60.1,0.5
200511,50.8,2.8
200512,36.7,-2.9
200601,45.8,8.4
200602,39.7,-0.6
200603,50.2,1.3
200604,64.0,5.8
200605,65.2,-1.6
200606,74.3,-0.6
200607,79.6,1.3
200608,80.4,3.3
200609,68.6,-2.5
200610,57.2,-2.4
200611,49.5,1.5
200612,44.2,4.6
200701,41.0,3.6
200702,35.8,-4.5
200703,57.5,8.6
200704,56.0,-2.2
200705,69.9,3.1
200706,76.3,1.4
200707,78.2,-0.1
200708,85.0,7.9
200709,74.4,3.3
200710,64.2,4.6
200711,48.6,0.6
200712,45.2,5.6
200801,36.9,-0.5
200802,42.1,1.8
200803,49.4,0.5
200804,57.1,-1.1
200805,65.3,-1.5
200806,76.8,1.9
200807,78.1,-0.2
200808,76.5,-0.6
200809,72.6,1.5
200810,58.9,-0.7
200811,45.8,-2.2
200812,39.8,0.2
200901,34.3,-3.1
200902,42.9,2.6
200903,50.6,1.7
200904,57.7,-0.5
200905,66.8,0.0
200906,76.8,1.9
200907,74.7,-3.6
200908,76.1,-1.0
200909,71.4,0.3
200910,56.2,-3.4
200911,50.9,2.9
200912,38.4,-1.2
201001,32.7,-4.7
201002,33.9,-6.4
201003,48.2,-0.7
201004,61.8,3.6
201005,69.7,2.9
201006,80.1,5.2
201007,81.6,3.3
201008,80.8,3.7
201009,72.3,1.2
201010,60.5,0.9
201011,50.6,2.6
201012,33.4,-6.2
201101,34.1,-3.3
201102,43.0,2.7
201103,51.3,2.4
201104,61.5,3.3
201105,66.3,-0.5
201106,77.4,2.5
201107,81.8,3.5
201108,79.2,2.1
201109,68.6,-2.5
201110,57.7,-1.9
201111,51.7,3.7
201112,43.0,3.4
201201,43.0,5.6
201202,44.9,4.6
201203,60.8,11.9
201204,60.5,2.3
201205,71.6,4.8
201206,75.3,0.4
201207,82.1,3.8
