Polk County, Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.2,4.6
200002,35.2,10.7
200003,44.6,8.1
200004,51.2,1.5
200005,64.0,2.7
200006,68.9,-1.7
200007,73.2,-2.3
200008,74.3,1.4
200009,66.6,2.1
200010,56.9,3.8
200011,34.0,-3.5
200012,10.9,-13.6
200101,22.9,3.3
200102,19.8,-4.7
200103,31.5,-5.0
200104,55.0,5.3
200105,61.7,0.4
200106,69.7,-0.9
200107,76.8,1.3
200108,74.2,1.3
200109,62.7,-1.8
200110,51.5,-1.6
200111,49.6,12.1
200112,32.5,8.0
200201,30.7,11.1
200202,31.5,7.0
200203,33.3,-3.2
200204,50.0,0.3
200205,58.5,-2.8
200206,73.8,3.2
200207,77.5,2.0
200208,71.7,-1.2
200209,67.0,2.5
200210,47.6,-5.5
200211,35.8,-1.7
200212,30.4,5.9
200301,20.8,1.2
200302,21.2,-3.3
200303,36.3,-0.2
200304,52.2,2.5
200305,59.7,-1.6
200306,68.8,-1.8
200307,74.3,-1.2
200308,75.7,2.8
200309,62.1,-2.4
200310,54.0,0.9
200311,37.4,-0.1
200312,30.2,5.7
200401,19.0,-0.6
200402,24.0,-0.5
200403,42.0,5.5
200404,52.5,2.8
200405,62.2,0.9
200406,67.9,-2.7
200407,71.4,-4.1
200408,67.4,-5.5
200409,67.3,2.8
200410,53.1,0.0
200411,41.7,4.2
200412,28.2,3.7
200501,20.1,0.5
200502,32.9,8.4
200503,37.8,1.3
200504,55.3,5.6
200505,59.0,-2.3
200506,73.6,3.0
200507,76.0,0.5
200508,73.0,0.1
200509,68.6,4.1
200510,53.8,0.7
200511,41.2,3.7
200512,21.6,-2.9
200601,34.5,14.9
200602,26.9,2.4
200603,38.2,1.7
200604,55.4,5.7
200605,61.7,0.4
200606,72.1,1.5
200607,77.3,1.8
200608,73.4,0.5
200609,61.6,-2.9
200610,49.7,-3.4
200611,41.0,3.5
200612,33.5,9.0
200701,23.2,3.6
200702,17.6,-6.9
200703,43.9,7.4
200704,48.2,-1.5
200705,65.7,4.4
200706,71.6,1.0
200707,75.3,-0.2
200708,75.8,2.9
200709,65.5,1.0
200710,56.9,3.8
200711,38.3,0.8
200712,22.2,-2.3
200801,18.0,-1.6
200802,18.9,-5.6
200803,34.4,-2.1
200804,47.1,-2.6
200805,58.9,-2.4
200806,70.7,0.1
200807,74.0,-1.5
200808,71.1,-1.8
200809,64.6,0.1
200810,52.7,-0.4
200811,38.6,1.1
200812,19.7,-4.8
200901,15.0,-4.6
200902,28.5,4.0
200903,39.2,2.7
200904,48.4,-1.3
200905,60.9,-0.4
200906,70.5,-0.1
200907,69.3,-6.2
200908,69.7,-3.2
200909,64.8,0.3
200910,45.9,-7.2
200911,44.8,7.3
200912,20.8,-3.7
201001,15.0,-4.6
201002,17.6,-6.9
201003,39.0,2.5
201004,56.7,7.0
201005,60.8,-0.5
201006,72.2,1.6
201007,75.6,0.1
201008,75.5,2.6
201009,64.6,0.1
201010,55.4,2.3
201011,39.7,2.2
201012,21.0,-3.5
201101,16.3,-3.3
201102,24.9,0.4
201103,37.0,0.5
201104,49.0,-0.7
201105,60.4,-0.9
201106,70.9,0.3
201107,79.5,4.0
201108,73.4,0.5
201109,61.4,-3.1
201110,54.6,1.5
201111,40.9,3.4
201112,30.8,6.3
201201,28.9,9.3
201202,30.7,6.2
201203,52.9,16.4
201204,54.3,4.6
201205,66.3,5.0
201206,72.7,2.1
201207,81.1,5.6
