Pulaski County, Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,42.4,2.0
200002,50.0,5.7
200003,55.4,3.0
200004,60.5,-1.1
200005,71.9,2.3
200006,76.2,-1.4
200007,81.7,0.4
200008,85.4,5.0
200009,74.9,1.1
200010,64.9,2.2
200011,47.8,-2.9
200012,32.1,-10.4
200101,38.2,-2.2
200102,46.5,2.2
200103,49.5,-2.9
200104,66.8,5.2
200105,71.1,1.5
200106,76.8,-0.8
200107,82.8,1.5
200108,81.3,0.9
200109,71.9,-1.9
200110,60.2,-2.5
200111,55.7,5.0
200112,46.2,3.7
200201,44.2,3.8
200202,43.2,-1.1
200203,49.1,-3.3
200204,64.8,3.2
200205,68.0,-1.6
200206,77.9,0.3
200207,81.7,0.4
200208,81.0,0.6
200209,76.2,2.4
200210,60.7,-2.0
200211,49.4,-1.3
200212,43.2,0.7
200301,37.6,-2.8
200302,40.5,-3.8
200303,51.8,-0.6
200304,62.8,1.2
200305,70.6,1.0
200306,73.6,-4.0
200307,81.0,-0.3
200308,82.0,1.6
200309,71.4,-2.4
200310,64.4,1.7
200311,55.2,4.5
200312,43.6,1.1
200401,42.4,2.0
200402,41.9,-2.4
200403,57.5,5.1
200404,62.0,0.4
200405,71.5,1.9
200406,76.9,-0.7
200407,79.3,-2.0
200408,76.8,-3.6
200409,73.8,0.0
200410,66.3,3.6
200411,54.2,3.5
200412,42.9,0.4
200501,45.4,5.0
200502,48.7,4.4
200503,51.8,-0.6
200504,61.9,0.3
200505,68.5,-1.1
200506,78.6,1.0
200507,80.8,-0.5
200508,83.1,2.7
200509,77.5,3.7
200510,62.8,0.1
200511,54.4,3.7
200512,41.7,-0.8
200601,48.4,8.0
200602,41.8,-2.5
200603,54.3,1.9
200604,67.3,5.7
200605,70.8,1.2
200606,77.3,-0.3
200607,82.5,1.2
200608,83.0,2.6
200609,71.0,-2.8
200610,60.9,-1.8
200611,52.2,1.5
200612,45.9,3.4
200701,40.5,0.1
200702,42.2,-2.1
200703,60.5,8.1
200704,58.3,-3.3
200705,72.0,2.4
200706,78.4,0.8
200707,78.5,-2.8
200708,85.4,5.0
200709,75.0,1.2
200710,64.4,1.7
200711,53.3,2.6
200712,44.6,2.1
200801,40.1,-0.3
200802,44.8,0.5
200803,52.9,0.5
200804,59.8,-1.8
200805,69.3,-0.3
200806,78.5,0.9
200807,82.1,0.8
200808,79.0,-1.4
200809,72.4,-1.4
200810,61.2,-1.5
200811,49.9,-0.8
200812,41.9,-0.6
200901,39.6,-0.8
200902,48.5,4.2
200903,54.0,1.6
200904,60.6,-1.0
200905,68.4,-1.2
200906,79.6,2.0
200907,77.9,-3.4
200908,77.4,-3.0
200909,72.1,-1.7
200910,57.5,-5.2
200911,54.6,3.9
200912,39.0,-3.5
201001,38.1,-2.3
201002,37.4,-6.9
201003,52.3,-0.1
201004,64.6,3.0
201005,72.5,2.9
201006,82.9,5.3
201007,83.4,2.1
201008,84.8,4.4
201009,75.9,2.1
201010,64.7,2.0
201011,52.5,1.8
201012,39.8,-2.7
201101,38.6,-1.8
201102,45.2,0.9
201103,53.1,0.7
201104,64.8,3.2
201105,68.3,-1.3
201106,83.1,5.5
201107,85.6,4.3
201108,83.4,3.0
201109,70.8,-3.0
201110,61.1,-1.6
201111,54.5,3.8
201112,44.3,1.8
201201,45.3,4.9
201202,48.6,4.3
201203,63.5,11.1
201204,65.6,4.0
201205,74.5,4.9
201206,79.2,1.6
201207,86.0,4.7
