Somerset County, Pennsylvania, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.7,-0.2
200002,32.3,5.9
200003,40.9,5.6
200004,46.3,0.6
200005,59.2,2.8
200006,65.7,1.4
200007,64.6,-3.5
200008,65.0,-1.3
200009,58.6,-1.5
200010,51.3,1.9
200011,35.5,-2.7
200012,19.8,-8.4
200101,25.0,0.1
200102,31.8,5.4
200103,31.7,-3.6
200104,49.7,4.0
200105,56.2,-0.2
200106,64.4,0.1
200107,65.2,-2.9
200108,68.8,2.5
200109,58.5,-1.6
200110,49.6,0.2
200111,44.9,6.7
200112,35.4,7.2
200201,32.2,7.3
200202,32.2,5.8
200203,37.4,2.1
200204,48.7,3.0
200205,54.1,-2.3
200206,66.3,2.0
200207,70.0,1.9
200208,68.9,2.6
200209,62.9,2.8
200210,48.2,-1.2
200211,37.7,-0.5
200212,26.4,-1.8
200301,19.5,-5.4
200302,23.2,-3.2
200303,37.7,2.4
200304,47.6,1.9
200305,54.5,-1.9
200306,61.6,-2.7
200307,67.3,-0.8
200308,68.2,1.9
200309,59.0,-1.1
200310,47.0,-2.4
200311,43.5,5.3
200312,28.5,0.3
200401,20.1,-4.8
200402,26.1,-0.3
200403,38.5,3.2
200404,47.2,1.5
200405,62.1,5.7
200406,63.3,-1.0
200407,67.0,-1.1
200408,65.2,-1.1
200409,61.7,1.6
200410,49.4,0.0
200411,42.6,4.4
200412,30.4,2.2
200501,27.9,3.0
200502,29.9,3.5
200503,31.5,-3.8
200504,48.4,2.7
200505,52.0,-4.4
200506,67.0,2.7
200507,70.6,2.5
200508,69.5,3.2
200509,63.7,3.6
200510,51.2,1.8
200511,41.6,3.4
200512,25.2,-3.0
200601,34.7,9.8
200602,28.3,1.9
200603,36.0,0.7
200604,49.9,4.2
200605,54.5,-1.9
200606,63.4,-0.9
200607,69.8,1.7
200608,68.9,2.6
200609,57.7,-2.4
200610,47.4,-2.0
200611,42.3,4.1
200612,36.2,8.0
200701,30.6,5.7
200702,18.8,-7.6
200703,38.0,2.7
200704,43.7,-2.0
200705,58.9,2.5
200706,65.2,0.9
200707,65.9,-2.2
200708,68.9,2.6
200709,62.3,2.2
200710,55.6,6.2
200711,38.3,0.1
200712,31.8,3.6
200801,27.2,2.3
200802,27.4,1.0
200803,35.3,0.0
200804,50.0,4.3
200805,53.0,-3.4
200806,66.1,1.8
200807,68.3,0.2
200808,64.6,-1.7
200809,61.0,0.9
200810,47.7,-1.7
200811,36.6,-1.6
200812,29.7,1.5
200901,20.6,-4.3
200902,28.8,2.4
200903,37.8,2.5
200904,47.1,1.4
200905,56.8,0.4
200906,63.2,-1.1
200907,64.4,-3.7
200908,67.9,1.6
200909,59.8,-0.3
200910,46.8,-2.6
200911,43.8,5.6
200912,26.8,-1.4
201001,22.9,-2.0
201002,22.3,-4.1
201003,39.3,4.0
201004,51.6,5.9
201005,58.8,2.4
201006,67.4,3.1
201007,70.6,2.5
201008,68.5,2.2
201009,61.6,1.5
201010,50.5,1.1
201011,39.1,0.9
201012,21.8,-6.4
201101,20.9,-4.0
201102,29.6,3.2
201103,35.9,0.6
201104,49.6,3.9
201105,59.5,3.1
201106,65.3,1.0
201107,71.7,3.6
201108,67.2,0.9
201109,61.5,1.4
201110,48.8,-0.6
201111,44.1,5.9
201112,33.9,5.7
201201,29.2,4.3
201202,33.1,6.7
201203,47.1,11.8
201204,46.3,0.6
201205,62.2,5.8
201206,63.8,-0.5
201207,71.6,3.5
201208,66.9,0.6
